 	la	pluie	fait	pousser	les	légumes	verts	</S>
a23	0.257671	0.148498	0.150682	0.124606	0.139985	0.0945809	0.0418087	0.04217
a99	0.429367	0.21314	0.144221	0.0755491	0.0636038	0.0312745	0.0173735	0.0254709
a38	0.414602	0.226987	0.128888	0.0625238	0.0415804	0.0312964	0.0333149	0.0608077
a53	0.365487	0.172401	0.0958626	0.0504389	0.0383168	0.0433343	0.0984697	0.13569
a15	0.475449	0.247231	0.136703	0.047534	0.0230064	0.0165214	0.0275459	0.0260094
a73	0.369696	0.242118	0.166746	0.0792845	0.0337928	0.0300636	0.0364419	0.0418571
a85	0.222937	0.235997	0.208204	0.147963	0.0676849	0.0462378	0.0360309	0.0349446
a73	0.268215	0.233947	0.187822	0.115883	0.0627023	0.0480764	0.0423809	0.0409745
a7	0.153139	0.182271	0.168616	0.140422	0.0889435	0.0825338	0.0899668	0.0941067
a26	0.133191	0.191507	0.18074	0.15489	0.0794164	0.0685062	0.0920036	0.0997461
a90	0.0940941	0.183345	0.183009	0.187478	0.111857	0.090275	0.0712321	0.0787098
a94	0.0820727	0.167312	0.195056	0.200642	0.106309	0.0855636	0.080296	0.0827493
a11	0.0816854	0.126519	0.148061	0.170477	0.1205	0.121351	0.112102	0.119305
a0	0.055748	0.0898101	0.10728	0.147067	0.138637	0.172741	0.135932	0.152785
a75	0.053374	0.0665371	0.0773879	0.103746	0.114141	0.193216	0.187289	0.204309
a85	0.0540516	0.0453353	0.0322679	0.0345416	0.0409692	0.0845542	0.272543	0.435737
a36	0.0402092	0.0353773	0.0272746	0.0329955	0.0471104	0.11487	0.311375	0.390788
a27	0.033456	0.0328973	0.0280666	0.0360772	0.0380018	0.0735441	0.289756	0.468201
a11	0.0129482	0.0117756	0.0129192	0.0204108	0.0304789	0.0705345	0.266302	0.574631
a94	0.00346278	0.00212648	0.00223408	0.00378921	0.00949339	0.033826	0.19809	0.746978
a83	0.0033205	0.002537	0.00244869	0.00496294	0.0103512	0.03188	0.242311	0.702189
a9	0.00272529	0.00226947	0.00247985	0.00557594	0.015582	0.0438656	0.221676	0.705826
a87	0.0102981	0.00488043	0.00418628	0.00639021	0.0196419	0.0568106	0.204092	0.6937
a23	0.1335	0.0630926	0.066031	0.0615217	0.086818	0.0933861	0.116668	0.378982
a97	0.0469473	0.0215655	0.0215299	0.0194793	0.0406638	0.0724566	0.252559	0.524798
</S>	0.00867045	0.00726177	0.0111803	0.0159308	0.0310048	0.0585176	0.211789	0.655645
