 	il	pétrit	la	peau	pour	s'	assouplir	</S>
a23	0.495828	0.218645	0.0595191	0.0371422	0.0308196	0.0375774	0.0452934	0.0751755
a85	0.341962	0.236475	0.159941	0.118222	0.0493445	0.0295483	0.0255041	0.0390024
a87	0.312616	0.255562	0.12108	0.0779875	0.045239	0.0468297	0.0520083	0.0886785
a23	0.258073	0.295447	0.182895	0.117505	0.0518529	0.0347923	0.024902	0.0345326
a20	0.256374	0.284961	0.163361	0.0897568	0.03665	0.034549	0.043216	0.0911321
a37	0.491648	0.316792	0.0851488	0.0403874	0.0195809	0.0156939	0.0131085	0.0176408
a30	0.332292	0.342199	0.16403	0.0857385	0.0328095	0.0204291	0.0109671	0.0115343
a41	0.274893	0.29361	0.211087	0.131645	0.0490407	0.0218733	0.00985639	0.00799452
a2	0.211469	0.229724	0.217706	0.168081	0.0919182	0.0454601	0.0204166	0.0152249
a40	0.135508	0.15972	0.204618	0.215293	0.13884	0.0725389	0.0380961	0.035386
a76	0.15365	0.168863	0.194654	0.183718	0.127257	0.0872049	0.0474766	0.0371763
a73	0.166824	0.172174	0.207696	0.193719	0.1174	0.0752832	0.0396147	0.0272905
a84	0.140526	0.150302	0.202198	0.205914	0.130455	0.0849274	0.0471305	0.0385474
a24	0.0697995	0.0974815	0.166572	0.205127	0.151915	0.11562	0.0820439	0.111441
a21	0.0620606	0.0721023	0.117439	0.172019	0.18866	0.170195	0.104727	0.112798
a12	0.0635993	0.0651063	0.0996114	0.144777	0.161267	0.191276	0.150728	0.123634
a32	0.0655354	0.0628035	0.0737931	0.105636	0.151587	0.195791	0.163551	0.181303
a25	0.0687986	0.067972	0.0715426	0.0926061	0.134916	0.192594	0.159816	0.211755
a40	0.0654311	0.0710982	0.0771779	0.0978028	0.133783	0.187636	0.139502	0.227569
a53	0.0466297	0.0395065	0.042775	0.0594954	0.0969692	0.163328	0.220014	0.331283
a76	0.0435688	0.0408462	0.0455006	0.0576537	0.0872255	0.167214	0.205878	0.352113
a20	0.0348347	0.0330094	0.0462193	0.0611381	0.10344	0.200375	0.244287	0.276697
a76	0.0261205	0.0230394	0.0364027	0.0520863	0.0756576	0.119609	0.207296	0.459789
a20	0.0196232	0.0162832	0.0313895	0.0508384	0.0932918	0.160334	0.248407	0.379833
a84	0.0211521	0.0183501	0.0308186	0.0470349	0.0808829	0.150176	0.2239	0.427685
a87	0.00805532	0.00710843	0.0106291	0.0147453	0.0225226	0.0571761	0.201929	0.677834
a23	0.0178029	0.0105429	0.0115946	0.0148217	0.0224835	0.0574879	0.234646	0.63062
a99	0.0144208	0.00883616	0.0143528	0.0233923	0.0388688	0.102387	0.253774	0.543968
a20	0.0140562	0.0108671	0.0159043	0.025558	0.0346381	0.0695935	0.205863	0.62352
a30	0.0240791	0.0160667	0.0158845	0.0219616	0.0457682	0.105114	0.222129	0.548997
a73	0.0161313	0.0145579	0.019348	0.0315203	0.0580678	0.114258	0.242716	0.5034
a30	0.00372166	0.00374231	0.00525943	0.00812789	0.0178146	0.0564882	0.210992	0.693854
a41	0.00415242	0.00454598	0.00673896	0.00947764	0.0171118	0.0557709	0.2298	0.672403
a61	0.00515885	0.00372875	0.00470359	0.0067577	0.0141998	0.0530742	0.224605	0.687773
a24	0.00471473	0.0040479	0.00561876	0.00975262	0.0235592	0.0721216	0.22867	0.651515
a54	0.00222188	0.00209434	0.00336491	0.00623945	0.0139677	0.0438995	0.197254	0.730959
a76	0.0079821	0.00646301	0.00914841	0.013824	0.028259	0.074524	0.232335	0.627465
a94	0.0146277	0.0113375	0.0157916	0.021132	0.0376236	0.0870695	0.216746	0.595672
a84	0.00210662	0.00197349	0.00397648	0.00719797	0.0138702	0.0335628	0.148108	0.789204
a58	0.00150436	0.00134828	0.00269348	0.00513477	0.010912	0.0314069	0.179422	0.767578
a76	0.00189288	0.00120167	0.0023898	0.00479082	0.0103852	0.0305731	0.167246	0.781521
a20	0.00858427	0.00591396	0.00820518	0.0107036	0.0172891	0.0417129	0.136072	0.771519
a84	0.00352639	0.00241723	0.00425847	0.00746738	0.0148782	0.0353119	0.146443	0.785697
a87	0.00314752	0.00214697	0.00364665	0.00598065	0.0125434	0.0364917	0.196685	0.739358
</S>	0.00923208	0.00471624	0.00644238	0.00924563	0.0166207	0.0471362	0.212248	0.694359
