 	notre	père	lui	a	donné	un	habit	</S>
a66	0.344117	0.15897	0.128171	0.104922	0.0961071	0.0723713	0.0546279	0.0407134
a87	0.278914	0.156017	0.140792	0.110451	0.0952833	0.0671451	0.068909	0.0824885
a23	0.523983	0.140996	0.0885162	0.061715	0.0491107	0.0375162	0.038716	0.0594471
a40	0.442725	0.130818	0.0931935	0.0720644	0.0671129	0.0555219	0.056934	0.0816296
a36	0.334205	0.132288	0.110317	0.0945665	0.097504	0.0869356	0.0762158	0.0679679
a26	0.335163	0.203956	0.163183	0.115204	0.0750834	0.048875	0.0298325	0.0287032
a37	0.278453	0.237947	0.177711	0.118632	0.0735396	0.0494218	0.0338034	0.0304925
a0	0.213028	0.238668	0.194296	0.124882	0.0767795	0.0567348	0.0476603	0.0479522
a75	0.127358	0.171713	0.177351	0.139207	0.108768	0.0936874	0.0899627	0.0919527
a6	0.0960185	0.143455	0.138735	0.126866	0.127881	0.124472	0.116287	0.126285
a36	0.0637815	0.117168	0.133007	0.139827	0.145657	0.137569	0.120777	0.142214
a26	0.0456834	0.0765482	0.0920535	0.108053	0.133752	0.148679	0.162042	0.233189
a75	0.0426178	0.0575385	0.0713584	0.0871624	0.121564	0.152567	0.183397	0.283795
a92	0.0259046	0.0457408	0.057883	0.0861616	0.153475	0.205372	0.202727	0.222737
a44	0.0240926	0.0391214	0.0515214	0.0844897	0.163615	0.21907	0.206318	0.211773
a15	0.0217358	0.0329807	0.0420677	0.0667803	0.138416	0.226669	0.219778	0.251574
a7	0.00874279	0.0151153	0.0226525	0.044099	0.116694	0.225431	0.244588	0.322678
a69	0.00617093	0.0094693	0.0131867	0.0244127	0.0673432	0.166265	0.276596	0.436556
a58	0.00756018	0.0101219	0.0143594	0.0260264	0.067752	0.165993	0.289109	0.419078
a40	0.00321694	0.00415374	0.00570776	0.0127287	0.0400621	0.104014	0.257649	0.572468
a54	0.00437969	0.00533055	0.0074393	0.0169246	0.0554587	0.146157	0.292295	0.472015
a47	0.00104446	0.00144685	0.0022197	0.00532001	0.0206215	0.0752039	0.25794	0.636204
a37	0.000699923	0.00123415	0.00210371	0.00524563	0.021302	0.0774545	0.26452	0.62744
a36	0.00161609	0.00229106	0.00296554	0.00649244	0.0230082	0.0673864	0.242463	0.653777
a26	0.00774721	0.00734149	0.00783961	0.0131238	0.0350676	0.0787196	0.237537	0.612624
a57	0.0463125	0.0417588	0.0436596	0.0544043	0.0923777	0.134155	0.222942	0.364391
a87	0.0841774	0.0511738	0.047105	0.0532449	0.0832218	0.12136	0.222556	0.337161
a23	0.280443	0.118175	0.0831892	0.0699703	0.0790848	0.0891042	0.121376	0.158657
a87	0.173197	0.0732715	0.0523247	0.0525666	0.0725799	0.100351	0.161915	0.313795
</S>	0.041726	0.0234828	0.019461	0.023536	0.0425116	0.0873105	0.219538	0.542434
