 	beaucoup	d'	hommes	sont	partis	travailler	en	ville	</S>
a85	0.46008	0.210336	0.133972	0.0692903	0.0409311	0.02629	0.0199979	0.0177603	0.0213434
a87	0.294913	0.185613	0.121407	0.114332	0.0781847	0.0510096	0.0440231	0.0497824	0.0607351
a23	0.284708	0.201117	0.124176	0.0934083	0.0710668	0.0507151	0.0439768	0.0561727	0.0746587
a40	0.219853	0.115655	0.0682174	0.0421415	0.0328737	0.0386952	0.0690878	0.139334	0.274142
a20	0.411325	0.192344	0.163875	0.0903997	0.0545783	0.0302294	0.0205419	0.0183052	0.0184024
a84	0.311629	0.222065	0.237662	0.122509	0.0631925	0.0192208	0.00915938	0.00724466	0.00731704
a57	0.219748	0.192299	0.224867	0.167691	0.104147	0.0398617	0.0192017	0.0157774	0.0164073
a20	0.120106	0.112022	0.121325	0.118126	0.117266	0.107327	0.0904169	0.0948377	0.118572
a41	0.141262	0.133823	0.145853	0.146166	0.124802	0.0747607	0.0609546	0.078862	0.0935168
a24	0.159816	0.152148	0.15201	0.147659	0.152437	0.10271	0.0511438	0.0452762	0.0368003
a71	0.139876	0.127767	0.112989	0.13306	0.169341	0.137444	0.074886	0.0599703	0.0446663
a25	0.0972541	0.11854	0.114231	0.140976	0.160135	0.135647	0.0926673	0.0788261	0.0617229
a40	0.0638258	0.0881255	0.110568	0.16755	0.172986	0.139211	0.100603	0.0853896	0.0717413
a73	0.0949646	0.12462	0.131322	0.164202	0.160353	0.137473	0.0797683	0.0618849	0.0454126
a94	0.0821853	0.104477	0.107356	0.115776	0.122491	0.176702	0.124087	0.0967299	0.0701952
a26	0.051904	0.0624157	0.0653007	0.0939094	0.118291	0.18564	0.165975	0.150116	0.106447
a24	0.024823	0.0286388	0.0280345	0.0478287	0.0729393	0.174024	0.21265	0.230841	0.180221
a76	0.0273005	0.0250023	0.0201243	0.0337101	0.0631932	0.157763	0.202795	0.253235	0.216876
a94	0.00639052	0.00595612	0.00620964	0.0155157	0.0453016	0.1755	0.256648	0.292298	0.196181
a24	0.00752769	0.00719757	0.00681054	0.0135393	0.0336063	0.130521	0.227446	0.276524	0.296828
a41	0.00214685	0.00162778	0.00129599	0.00272296	0.0092995	0.0733173	0.203744	0.328295	0.37755
a12	0.00176244	0.00143539	0.00119641	0.00316672	0.0107108	0.0763984	0.207251	0.332633	0.365447
a41	0.0020762	0.00148137	0.00124727	0.00262471	0.00849239	0.0643848	0.185362	0.332295	0.402036
a27	0.00194203	0.00138111	0.001216	0.00290876	0.00894622	0.0681247	0.201231	0.326876	0.387374
a82	0.00314391	0.00209037	0.00160733	0.00247327	0.00465752	0.0284299	0.110431	0.282916	0.56425
a87	0.00504334	0.00280249	0.00181201	0.00257785	0.00511198	0.0274743	0.0998643	0.250556	0.604758
</S>	0.00519289	0.00384255	0.00283704	0.00411762	0.00909888	0.044577	0.135433	0.257244	0.537657
