 	mes	vêtements-	ci	sont	encore	neufs	</S>
a66	0.233524	0.241231	0.222534	0.100029	0.15287	0.0345209	0.015291
a87	0.282155	0.252205	0.215559	0.120707	0.089391	0.0241256	0.0158571
a23	0.465938	0.369613	0.11508	0.0190182	0.0112513	0.00939832	0.00970155
a87	0.51103	0.342906	0.102261	0.0235165	0.00600687	0.00474358	0.00953565
a23	0.490413	0.352351	0.106608	0.024751	0.00839007	0.00604293	0.0114443
a97	0.438203	0.351671	0.0941332	0.0291061	0.0174578	0.0259698	0.0434596
a87	0.398039	0.313729	0.11451	0.0637743	0.0317377	0.032293	0.0459169
a23	0.445641	0.297284	0.102099	0.0508563	0.0269978	0.0315193	0.045603
a83	0.378216	0.261971	0.139414	0.0516256	0.0357479	0.070568	0.0624565
a9	0.312215	0.224513	0.271612	0.110107	0.0354664	0.026791	0.0192967
a75	0.319243	0.197302	0.188269	0.137008	0.0695603	0.0505284	0.038089
a85	0.167873	0.131411	0.297033	0.265072	0.0865828	0.0311896	0.0208376
a6	0.0736286	0.0734464	0.258274	0.383276	0.149364	0.0359472	0.0260631
a85	0.161417	0.104406	0.234512	0.271494	0.124829	0.0551517	0.0481904
a37	0.0549024	0.0571372	0.193288	0.372158	0.197006	0.0752027	0.0503056
a85	0.158357	0.130436	0.205538	0.274227	0.141133	0.0478094	0.0425007
a5	0.032453	0.0392862	0.0959273	0.30304	0.243679	0.140176	0.145438
a12	0.070918	0.0849129	0.169704	0.298504	0.201277	0.0850391	0.0896453
a43	0.0332208	0.0386231	0.0816519	0.259955	0.268634	0.122821	0.195095
a75	0.0197125	0.0186249	0.0304238	0.195239	0.350569	0.164047	0.221384
a85	0.00591544	0.00503511	0.00567785	0.0375602	0.13485	0.306022	0.50494
a6	0.00347582	0.00342727	0.00387763	0.0248352	0.100022	0.292738	0.571624
a36	0.00271968	0.00260341	0.00284129	0.0131742	0.0733799	0.334013	0.571268
a0	0.00245005	0.00166537	0.000820787	0.00302492	0.0142836	0.172457	0.805298
a56	0.00142723	0.000940378	0.000569821	0.000952999	0.00439063	0.0882953	0.903424
a70	0.00140491	0.000973961	0.00079159	0.00188385	0.00844866	0.110234	0.876263
a13	0.00141471	0.00094677	0.000768216	0.00256251	0.0137141	0.133929	0.846665
a57	0.00320808	0.00191878	0.00172268	0.00438463	0.023336	0.174515	0.790915
a9	0.0152536	0.00714627	0.0090039	0.0129299	0.0316824	0.166759	0.757225
a99	0.0912695	0.0435557	0.0431238	0.0437118	0.0781547	0.229467	0.470717
a87	0.143241	0.0768128	0.0541328	0.0532536	0.0823608	0.208655	0.381544
a23	0.239862	0.153912	0.0803302	0.0541023	0.0717953	0.151404	0.248594
a87	0.092827	0.0531701	0.0267272	0.0324761	0.0494224	0.218037	0.52734
</S>	0.016017	0.00899347	0.00774462	0.0100698	0.0203061	0.185936	0.750933
