 	un	oiseau	est	perché	sur	la	branche	du	safoutier	</S>
a66	0.433176	0.2296	0.145683	0.0859459	0.031673	0.020957	0.0133976	0.0106497	0.0130831	0.0158348
a87	0.36151	0.25504	0.188383	0.0906115	0.0273487	0.0166589	0.00995971	0.0101592	0.0149743	0.0253549
a23	0.475969	0.296986	0.126132	0.0289702	0.0150115	0.0111514	0.0105386	0.00921644	0.0108212	0.015204
a83	0.251101	0.296923	0.185092	0.0687114	0.0321485	0.0261158	0.0250272	0.0277029	0.0347092	0.0524687
a37	0.279872	0.236372	0.153658	0.0830515	0.0420008	0.0427284	0.0344087	0.0337336	0.0385305	0.0556444
a43	0.403922	0.238256	0.159446	0.0877269	0.0382617	0.0248307	0.0155967	0.0109616	0.00994805	0.0110499
a0	0.223772	0.270666	0.254875	0.140624	0.0442463	0.0232737	0.0137294	0.00998744	0.00911012	0.00971675
a31	0.151652	0.241417	0.290916	0.206625	0.0527501	0.0211924	0.0109028	0.00760146	0.00771003	0.00923322
a41	0.145847	0.201329	0.263682	0.243098	0.0798349	0.0336951	0.0126411	0.00664813	0.00615906	0.00706587
a5	0.0704514	0.0928727	0.13894	0.274687	0.148572	0.0936683	0.0607675	0.037507	0.0385119	0.0440223
a12	0.0667666	0.082235	0.129196	0.214599	0.184001	0.107456	0.0651055	0.0419251	0.048373	0.0603424
a43	0.04293	0.0567879	0.0804264	0.113324	0.170414	0.147098	0.105114	0.0751305	0.0932284	0.115546
a75	0.0238804	0.0252221	0.0393106	0.0788434	0.158313	0.198556	0.144045	0.0920743	0.105279	0.134475
a85	0.00951689	0.00992793	0.0125804	0.0268678	0.0709115	0.143197	0.211041	0.17145	0.167235	0.177273
a5	0.00563797	0.00557612	0.00697841	0.0196143	0.0719568	0.160713	0.240836	0.174695	0.155143	0.15885
a36	0.00876096	0.00900562	0.0125332	0.0249069	0.0550327	0.106574	0.179715	0.15499	0.192094	0.256387
a85	0.00849532	0.00574658	0.00728109	0.0121696	0.0299127	0.0649147	0.127853	0.139753	0.212017	0.391857
a79	0.00310125	0.00218029	0.00263669	0.00545573	0.0201165	0.0675223	0.18848	0.179547	0.210543	0.320418
a92	0.00125255	0.00109063	0.00147299	0.00354943	0.0146906	0.0502563	0.182416	0.212296	0.231795	0.30118
a25	0.00143328	0.000826304	0.00103108	0.0025945	0.0158119	0.0526884	0.176054	0.228635	0.246354	0.274571
a56	0.00109251	0.000845831	0.00100916	0.00218949	0.00975756	0.0304945	0.118621	0.194736	0.286566	0.354689
a75	0.000758554	0.000360565	0.000429522	0.000849202	0.00565451	0.0203273	0.101501	0.179564	0.28682	0.403736
a47	0.000690056	0.000407929	0.000515968	0.00129147	0.00687391	0.0280387	0.117994	0.195739	0.286277	0.362172
a36	0.00134263	0.000891437	0.00102556	0.00332737	0.0101684	0.034662	0.150502	0.19348	0.256531	0.34807
a2	0.031892	0.0163938	0.0105935	0.0158182	0.022062	0.0427064	0.113705	0.141669	0.232394	0.372767
a57	0.138933	0.0755573	0.0362876	0.0319898	0.0414351	0.0633775	0.106835	0.117166	0.17146	0.216958
a87	0.387028	0.200271	0.0886259	0.0437815	0.034034	0.038823	0.054976	0.0471274	0.049545	0.0557882
a23	0.47424	0.278703	0.125803	0.0458467	0.0173828	0.0124433	0.0127788	0.010142	0.0107487	0.0119117
a99	0.161686	0.101005	0.0576401	0.0259988	0.0199822	0.0256254	0.0587952	0.109906	0.20741	0.231951
a2	0.0298928	0.0155186	0.0100677	0.00918969	0.0132992	0.0254725	0.085633	0.147993	0.279844	0.383089
</S>	0.0197319	0.0113356	0.00829134	0.0079974	0.015545	0.0325949	0.0865081	0.147578	0.282035	0.388383
