 	mais	c'	est	toi	qui	met	en	doute	tout	ce	que	dit	le	curé	</S>
a66	0.108039	0.104745	0.100438	0.0751108	0.0613012	0.0636335	0.0681833	0.0817862	0.0951836	0.126331	0.0639817	0.0238076	0.0126685	0.00918558	0.00560503
a87	0.22742	0.165532	0.111678	0.0762555	0.052732	0.0546596	0.0650711	0.0619327	0.0523364	0.047085	0.0308707	0.0163202	0.0147023	0.0121092	0.011295
a23	0.214422	0.16591	0.123731	0.10049	0.082481	0.0715605	0.0716714	0.0668526	0.0411136	0.0265646	0.0132336	0.00742323	0.0052949	0.0044922	0.00475886
a30	0.195546	0.11933	0.0816768	0.0677961	0.0724021	0.0824063	0.0960727	0.116372	0.0579096	0.0322375	0.0153325	0.0139556	0.0150019	0.0190219	0.0149396
a57	0.121936	0.0848047	0.0693077	0.0657395	0.087666	0.106264	0.11681	0.137427	0.0827615	0.0574814	0.0227064	0.0132551	0.0109928	0.0134175	0.00943028
a93	0.112793	0.084125	0.068207	0.055775	0.0730841	0.0827395	0.0947988	0.107856	0.0864272	0.0897411	0.0576156	0.0313199	0.0196623	0.0220342	0.0138211
a96	0.116829	0.0961203	0.0944377	0.0951788	0.110297	0.109029	0.108262	0.0830302	0.0572162	0.0591953	0.0273482	0.0138928	0.0111281	0.0109462	0.00708958
a62	0.0784518	0.0751363	0.0797563	0.101529	0.118744	0.104787	0.0990941	0.0962305	0.0744525	0.0610649	0.0367042	0.0200649	0.0192931	0.0198935	0.014798
a70	0.0640788	0.0608498	0.0648678	0.0890312	0.103544	0.0925086	0.0898543	0.106101	0.103106	0.0807846	0.0526097	0.0260621	0.0242067	0.0233723	0.0190225
a83	0.051293	0.052932	0.0600587	0.0829642	0.0990427	0.0954346	0.101313	0.127949	0.106955	0.0767806	0.0490586	0.0256992	0.0231926	0.0240606	0.0232656
a90	0.0463205	0.0475492	0.0537037	0.0695117	0.0792971	0.0778104	0.0814342	0.116077	0.109132	0.0773422	0.0576036	0.0357208	0.0408013	0.0521389	0.0555574
a92	0.0381952	0.0435288	0.0518184	0.0606061	0.069662	0.0753625	0.0829804	0.118153	0.136276	0.110137	0.0695943	0.0354112	0.031433	0.0355646	0.0412776
a37	0.0257686	0.0316737	0.0407295	0.0476594	0.0570546	0.0699713	0.0731898	0.0906987	0.12038	0.120622	0.0855558	0.0575815	0.0510032	0.0584232	0.0696893
a56	0.0249789	0.0316409	0.0421209	0.0468739	0.0566822	0.0716099	0.0735603	0.101402	0.146187	0.141683	0.0791921	0.0399111	0.0371184	0.0459736	0.0610659
a75	0.0228211	0.0290306	0.0387481	0.0416037	0.0471826	0.0589964	0.0573214	0.0684484	0.112317	0.12948	0.107599	0.0679942	0.0581337	0.0682589	0.0920646
a21	0.0101936	0.0137952	0.0197217	0.0224139	0.0255187	0.0357533	0.0334494	0.0310915	0.0537096	0.0750153	0.120507	0.139141	0.108368	0.136032	0.17529
a12	0.0115828	0.0134933	0.0174753	0.0216338	0.0272459	0.0402325	0.0399527	0.0345872	0.0478592	0.0604276	0.0961175	0.128251	0.11844	0.132969	0.209733
