 	ces	petits	enfants	ont	collé	des	feuilles	sur	leurs	visages	</S>
a66	0.223286	0.174514	0.143062	0.14556	0.0497159	0.0847727	0.0729823	0.0581292	0.026032	0.0123948	0.00955089
a87	0.470309	0.0823576	0.0568565	0.031164	0.0245819	0.0582225	0.0755951	0.0800898	0.0362303	0.0323311	0.0522617
a79	0.591623	0.121042	0.0742828	0.0399029	0.0149999	0.0250644	0.0234569	0.0310241	0.02439	0.0206561	0.0335572
a36	0.594288	0.095416	0.0816965	0.0383088	0.0123631	0.0213269	0.0194675	0.0226286	0.0218393	0.0303674	0.0622978
a54	0.280821	0.180337	0.125591	0.0549398	0.0219835	0.0263489	0.0221433	0.0252987	0.0358609	0.07992	0.146757
a47	0.158286	0.122052	0.10661	0.0826058	0.0679185	0.0660094	0.0600059	0.0572055	0.058549	0.107654	0.113104
a6	0.10144	0.0735018	0.0780437	0.0747545	0.0809749	0.0704449	0.0670148	0.0631148	0.0615665	0.135213	0.193931
a36	0.111219	0.100704	0.117299	0.10701	0.0835536	0.0790983	0.0737542	0.0646951	0.0558518	0.0943571	0.112458
a12	0.112521	0.105348	0.129071	0.155306	0.12381	0.0925256	0.0812376	0.0624053	0.0447243	0.0458393	0.0472111
a61	0.0774463	0.0969349	0.122885	0.172414	0.152553	0.107488	0.0894854	0.0698622	0.0473236	0.0339273	0.0296809
a0	0.0567182	0.0923236	0.114238	0.171755	0.151209	0.115089	0.0919034	0.080662	0.0544609	0.0381136	0.0335278
a88	0.0306216	0.0760771	0.117046	0.203522	0.164174	0.120394	0.0924493	0.0736026	0.0497534	0.038072	0.0342888
a71	0.0176329	0.052804	0.0919459	0.185962	0.213741	0.146295	0.110202	0.0787145	0.0394216	0.028314	0.0349666
a54	0.025229	0.0516856	0.0859766	0.188033	0.200758	0.132399	0.109172	0.0774394	0.0432702	0.0339415	0.0520951
a47	0.019101	0.038961	0.0498104	0.0864061	0.169028	0.141837	0.12939	0.116611	0.0734737	0.0652395	0.110141
a36	0.0215086	0.0686168	0.086583	0.130351	0.177398	0.135882	0.118394	0.096513	0.0482975	0.0401609	0.0762948
a2	0.0198867	0.0539446	0.0920596	0.151337	0.160255	0.123722	0.121023	0.0895473	0.0515197	0.045731	0.0909737
a40	0.0188894	0.0340446	0.0646809	0.126658	0.216409	0.151788	0.147881	0.101659	0.0534909	0.0331303	0.0513694
a6	0.0218842	0.0476474	0.0696283	0.102255	0.141866	0.11721	0.111732	0.0986587	0.0647784	0.0736045	0.150735
a37	0.00533148	0.0293614	0.0437919	0.0760312	0.155756	0.105021	0.117521	0.117984	0.085928	0.0888276	0.174446
a66	0.00448642	0.0216574	0.0427307	0.10023	0.170277	0.123075	0.136383	0.122078	0.0859368	0.0646334	0.128512
a38	0.00623772	0.0156273	0.0318526	0.0654636	0.158363	0.113508	0.137154	0.10523	0.0798256	0.0908096	0.195929
a5	0.00473521	0.0127976	0.0262708	0.0565997	0.137522	0.101855	0.12961	0.107603	0.09505	0.116091	0.211866
a18	0.00302252	0.0125366	0.022786	0.0528575	0.111867	0.0821231	0.102494	0.108877	0.0996941	0.126661	0.277082
a61	0.00215591	0.00679715	0.0121782	0.0252041	0.0955778	0.0702152	0.0923056	0.0924409	0.0954113	0.15922	0.348494
a0	0.00258256	0.00813687	0.0134481	0.0295865	0.095159	0.0705782	0.0884618	0.0908369	0.0905684	0.160243	0.350398
a75	0.00270663	0.0072213	0.0133243	0.0268703	0.0975772	0.07235	0.0814895	0.0748503	0.0819275	0.162424	0.379259
a18	0.00192892	0.006949	0.0112838	0.0203611	0.050122	0.0346029	0.047981	0.0618644	0.0844548	0.184406	0.496047
a40	0.00204808	0.00495092	0.00926755	0.0157715	0.0588196	0.0433907	0.0533855	0.0470452	0.0618614	0.186102	0.517358
a75	0.00154141	0.0057067	0.0104259	0.0203954	0.0624823	0.0426938	0.0474901	0.0410202	0.0501577	0.178628	0.539459
a6	0.00287842	0.0107557	0.0189252	0.0338439	0.0808099	0.052064	0.0573035	0.066601	0.0957244	0.168674	0.41242
a0	0.00146565	0.00519228	0.00874393	0.0168456	0.0516905	0.030727	0.0369999	0.0480052	0.0777956	0.188339	0.534195
a11	0.000852567	0.00327229	0.0055807	0.0115118	0.0341488	0.0248309	0.0293576	0.0265148	0.0366288	0.147959	0.679343
a50	0.00152669	0.00377559	0.00649997	0.0108134	0.0435584	0.0324373	0.04037	0.0351203	0.0433995	0.163184	0.619314
a88	0.00223814	0.00535286	0.00851662	0.0133251	0.0525284	0.0343466	0.0406634	0.0396318	0.0494394	0.152693	0.601265
a62	0.000933093	0.00246956	0.00422972	0.00687153	0.0378989	0.0246912	0.0308452	0.0295866	0.0371118	0.136187	0.689175
a88	0.00119586	0.00238474	0.00373596	0.00636151	0.029399	0.0218648	0.0313913	0.0386482	0.0553046	0.182634	0.62708
a71	0.00203809	0.00449526	0.0074682	0.0108763	0.04994	0.0320354	0.0382151	0.037266	0.0434283	0.136487	0.63775
a9	0.00486477	0.00751704	0.0109015	0.0132574	0.0329325	0.0215731	0.0263251	0.0236986	0.040667	0.162958	0.655305
a87	0.0244205	0.0373407	0.042362	0.0459845	0.0430956	0.0367566	0.0464484	0.0567021	0.11046	0.184715	0.371714
</S>	0.0895736	0.0771483	0.0720871	0.0579469	0.0580058	0.0574148	0.0781251	0.101094	0.130121	0.115467	0.163016
