 	aucun	homme	n'	est	venu	hier	</S>
a23	0.219471	0.184977	0.15972	0.150882	0.120376	0.0865824	0.0779919
a87	0.179981	0.149962	0.142884	0.113294	0.101538	0.121438	0.190903
a23	0.217931	0.148716	0.102087	0.104027	0.106477	0.137642	0.18312
a44	0.304119	0.19513	0.106626	0.077521	0.0945767	0.0953871	0.12664
a20	0.637923	0.225105	0.0743992	0.0241662	0.0151729	0.0109433	0.0122906
a73	0.518891	0.261655	0.114541	0.0426927	0.0235449	0.01796	0.0207151
a84	0.459743	0.280342	0.141062	0.0504286	0.0255183	0.020507	0.0223994
a53	0.283114	0.221049	0.177976	0.103129	0.0676428	0.065992	0.0810977
a20	0.254779	0.229192	0.20441	0.102122	0.0735336	0.0635604	0.0724022
a73	0.278728	0.271374	0.177796	0.100018	0.0647692	0.054983	0.0523313
a84	0.228002	0.262893	0.221626	0.106614	0.0626031	0.0572928	0.060969
a57	0.119618	0.158636	0.181264	0.114418	0.0995358	0.122451	0.204076
a87	0.107821	0.155245	0.206223	0.134973	0.0950416	0.109011	0.191684
a23	0.120632	0.180726	0.250779	0.200167	0.108166	0.0657049	0.073825
a10	0.0625986	0.0989991	0.186591	0.195278	0.141315	0.132502	0.182716
a24	0.10316	0.114847	0.159377	0.139046	0.140756	0.131756	0.211058
a71	0.156401	0.167932	0.203257	0.144185	0.128381	0.0955924	0.104252
a38	0.0915009	0.112123	0.208087	0.194257	0.165495	0.108427	0.120111
a31	0.0739646	0.0906592	0.174171	0.182079	0.170221	0.132981	0.175923
a98	0.0883299	0.100606	0.139388	0.146343	0.16226	0.164101	0.198972
a71	0.0796738	0.0824523	0.0942402	0.117695	0.160855	0.180853	0.284231
a9	0.0353753	0.0437026	0.0690346	0.114026	0.189148	0.23024	0.318474
a53	0.0184961	0.025014	0.0460037	0.102486	0.163162	0.254428	0.390411
a76	0.0270445	0.0248517	0.0302244	0.0478272	0.138692	0.26284	0.46852
a41	0.0339332	0.0305132	0.0411862	0.0796149	0.165883	0.272419	0.376451
a32	0.0126348	0.012336	0.0216169	0.049895	0.1368	0.280044	0.486673
a11	0.00816733	0.00758267	0.0124453	0.0246204	0.0948194	0.272668	0.579697
a75	0.00541716	0.00496075	0.00769368	0.0144017	0.0558505	0.253001	0.658676
a41	0.00641263	0.00493189	0.00736873	0.0167493	0.0746467	0.275987	0.613904
a27	0.00374461	0.00313336	0.00521168	0.0133032	0.0684763	0.270104	0.636027
a38	0.00164645	0.00165609	0.00305447	0.00849343	0.0339029	0.233045	0.718202
a73	0.00291968	0.00215937	0.00350038	0.00846654	0.0334379	0.24975	0.699766
a84	0.00303224	0.00219378	0.00305836	0.00852759	0.0392005	0.255445	0.688543
a57	0.00717151	0.00607376	0.00965821	0.0211497	0.0624366	0.294903	0.598607
a87	0.00512221	0.00364658	0.00564982	0.0170525	0.054551	0.316028	0.59795
</S>	0.00692993	0.00516258	0.00879901	0.0286799	0.0929796	0.322992	0.534457
