 	il	se	tut	avant	sa	colère	</S>
a53	0.331821	0.106975	0.0690036	0.0766012	0.0792235	0.113819	0.222557
a15	0.213306	0.10898	0.091515	0.108306	0.120741	0.136673	0.220479
a73	0.418162	0.212305	0.144564	0.064234	0.0561766	0.0473305	0.0572278
a84	0.377121	0.250298	0.165504	0.0597186	0.0518316	0.0460717	0.0494551
a40	0.182991	0.181029	0.164174	0.0992042	0.119775	0.117215	0.135612
a73	0.172894	0.181453	0.190041	0.100431	0.117294	0.118052	0.119836
a0	0.136887	0.130277	0.156954	0.138064	0.156225	0.142807	0.138785
a32	0.124121	0.112999	0.142662	0.138062	0.161381	0.156919	0.163856
a90	0.132316	0.125901	0.168892	0.156937	0.173079	0.128958	0.113916
a94	0.111761	0.092539	0.107643	0.128902	0.181699	0.189946	0.18751
a20	0.0838605	0.0746418	0.0971503	0.125138	0.189372	0.202455	0.227382
a58	0.08284	0.0738512	0.0967804	0.117796	0.175144	0.21138	0.242208
a82	0.0577412	0.0566731	0.0923328	0.123701	0.219038	0.217604	0.23291
a87	0.0602537	0.0599205	0.0852967	0.11708	0.203924	0.21947	0.254055
a79	0.0475264	0.0550525	0.109493	0.160527	0.204556	0.206015	0.21683
a61	0.0560101	0.042487	0.0908037	0.134363	0.182358	0.199551	0.294426
a31	0.0979876	0.09192	0.140294	0.126438	0.172287	0.177437	0.193637
a24	0.0545779	0.0699369	0.118789	0.135434	0.199572	0.211237	0.210453
a9	0.0329841	0.0390718	0.0592194	0.0855148	0.161428	0.239437	0.382345
a87	0.0114571	0.0143397	0.0188453	0.0491143	0.110586	0.247874	0.547784
a23	0.0162048	0.0189812	0.0365676	0.0744489	0.123516	0.282351	0.447931
a87	0.00574885	0.00633325	0.016745	0.0526295	0.112674	0.316462	0.489407
a23	0.00611554	0.00644339	0.0177575	0.0498898	0.116371	0.313538	0.489885
a87	0.0105141	0.00898335	0.0210128	0.0590487	0.130741	0.332749	0.436951
a40	0.0119376	0.0127796	0.0335757	0.0817823	0.142914	0.29669	0.420321
a73	0.0422708	0.030935	0.0709386	0.100962	0.161115	0.239134	0.354645
a44	0.038574	0.0374102	0.0623839	0.0686241	0.140377	0.24473	0.407901
a93	0.0215821	0.0234197	0.0376983	0.0511148	0.11829	0.250052	0.497843
a24	0.0189605	0.0191986	0.0311838	0.0548954	0.122873	0.24476	0.508128
a98	0.0188481	0.0205956	0.0320986	0.0378608	0.0955919	0.235161	0.559844
a38	0.0163043	0.0209385	0.0316658	0.0397917	0.0988198	0.237743	0.554736
a9	0.00951773	0.0129379	0.0204602	0.0260584	0.0712412	0.20423	0.655555
a11	0.0038621	0.00516808	0.0091894	0.0193076	0.0600872	0.220645	0.681741
a75	0.00574748	0.00673135	0.0118762	0.0217129	0.0611568	0.198469	0.694306
a41	0.0200353	0.0226086	0.0414202	0.0492279	0.0985122	0.205457	0.562739
a56	0.0057747	0.00833998	0.0161841	0.0207771	0.0603879	0.184079	0.704458
a75	0.0117208	0.0156946	0.0282419	0.0354767	0.0755853	0.169638	0.663643
a62	0.0157458	0.0187502	0.0346506	0.0422564	0.0916515	0.178002	0.618943
a75	0.013356	0.0167108	0.0308783	0.0329083	0.0718492	0.17204	0.662257
a66	0.0193366	0.0223572	0.0412789	0.0477209	0.0979222	0.187976	0.583408
a38	0.00604391	0.00719717	0.0135594	0.0257836	0.0629923	0.19126	0.693163
a75	0.00956786	0.0105928	0.0242478	0.0425999	0.0881828	0.204254	0.620555
a56	0.0169503	0.0178788	0.0348453	0.0477159	0.101595	0.196216	0.584799
a15	0.0131882	0.0149268	0.0315077	0.041686	0.0864424	0.183416	0.628833
a73	0.00600823	0.00680588	0.015019	0.029152	0.0737505	0.205307	0.663957
a20	0.00930466	0.0105707	0.0216283	0.0389708	0.0875943	0.202243	0.629688
a58	0.0132314	0.0142337	0.0260738	0.0388614	0.0835243	0.197249	0.626827
a84	0.00380386	0.00484272	0.0111316	0.0277345	0.0688959	0.193283	0.690308
a87	0.00617207	0.00686412	0.0177104	0.0438218	0.0946701	0.23756	0.593202
</S>	0.00438198	0.00395986	0.0105656	0.0377333	0.0888875	0.259309	0.595162
