 	mon	coeur	palpite	parce	que	la	nourriture	que	j'	ai	mangée	était	trop	salée	</S>
a66	0.158907	0.204913	0.179569	0.106092	0.0703471	0.0634142	0.0491861	0.0341471	0.0293968	0.0264296	0.0306228	0.0196525	0.0125917	0.007434	0.00729804
a87	0.408111	0.237292	0.0867698	0.0446305	0.0236816	0.020138	0.0181359	0.0154049	0.0176262	0.0199385	0.0443043	0.0263958	0.0157949	0.0107142	0.0110624
a23	0.433693	0.197542	0.102817	0.0613528	0.0335327	0.0255751	0.019444	0.0149065	0.0138771	0.0164232	0.031732	0.0206585	0.0112012	0.0064303	0.0108146
a13	0.373807	0.144131	0.0737729	0.0556226	0.0368293	0.0342857	0.0335966	0.0330277	0.0301201	0.0326219	0.0503245	0.0328719	0.0217054	0.0193508	0.0279327
a53	0.133531	0.12576	0.121536	0.0963662	0.0572051	0.0458099	0.0404027	0.034281	0.0363563	0.0494642	0.0804403	0.0457079	0.0341998	0.0431842	0.0557562
a93	0.223167	0.235536	0.164371	0.0940326	0.058533	0.0445261	0.0319246	0.0195068	0.0152608	0.0172466	0.0198869	0.0147786	0.0155792	0.0211682	0.0244815
a4	0.116724	0.171028	0.188556	0.140764	0.0942975	0.064884	0.0437941	0.024478	0.0188839	0.0175097	0.0225156	0.015184	0.0166589	0.0252502	0.0394719
a75	0.0535168	0.084657	0.114811	0.164269	0.136571	0.101567	0.0721379	0.0527994	0.0434901	0.0426712	0.0454016	0.0240922	0.0167889	0.0170456	0.0301814
a34	0.0312738	0.0602303	0.0857034	0.12859	0.124518	0.111978	0.0956321	0.0670812	0.0528143	0.0442244	0.0473865	0.0326831	0.0304101	0.0363769	0.0510985
a92	0.0567687	0.0884655	0.115131	0.146211	0.13049	0.105232	0.0779236	0.0586042	0.0474927	0.0446575	0.0475493	0.0245472	0.015766	0.0158748	0.0252866
a44	0.0271852	0.0487282	0.0718205	0.129615	0.127584	0.121645	0.0998394	0.0729638	0.0561553	0.0479216	0.0489624	0.0345418	0.0288166	0.0332234	0.0509981
a93	0.0422786	0.071294	0.0965069	0.145112	0.13869	0.119269	0.0893948	0.0649668	0.0496098	0.0444474	0.0440569	0.0265954	0.01824	0.0192611	0.0302783
a44	0.0491056	0.0810441	0.107041	0.137202	0.128052	0.110396	0.0824502	0.0605022	0.0467405	0.0413557	0.0392974	0.0303261	0.0257672	0.025053	0.0356674
a56	0.0218587	0.0403758	0.0585291	0.127749	0.140244	0.127912	0.0995787	0.0753654	0.0603233	0.054032	0.0563522	0.0399977	0.0291843	0.0280161	0.0404821
