 	nous	avons	ramassé	des	champignons	dans	la	forêt	</S>
a66	0.336977	0.17722	0.147889	0.10648	0.0866256	0.0637424	0.0378123	0.0240525	0.0192008
a38	0.406981	0.227736	0.17895	0.0922547	0.0387773	0.0183091	0.0136853	0.0100458	0.0132602
a0	0.237272	0.202895	0.150899	0.119209	0.0893017	0.0607037	0.0446254	0.0414011	0.0536927
a75	0.312933	0.257002	0.194669	0.104836	0.0473446	0.0227906	0.0166525	0.0179869	0.025786
a21	0.300401	0.217383	0.21963	0.117272	0.0517023	0.0318176	0.022412	0.019541	0.0198417
a5	0.178132	0.227096	0.247094	0.193622	0.0924268	0.0355594	0.0124141	0.00733843	0.00631613
a75	0.110853	0.168307	0.208777	0.206779	0.159427	0.0805485	0.0317615	0.017769	0.0157798
a98	0.0956607	0.138815	0.211315	0.232625	0.180828	0.0838415	0.0285496	0.0150372	0.0133265
a85	0.070902	0.106159	0.192882	0.240249	0.19216	0.106518	0.0419663	0.0249985	0.024165
a6	0.0479529	0.063491	0.114323	0.17982	0.213998	0.157979	0.0918224	0.0666237	0.0639901
a0	0.0489185	0.0520863	0.107667	0.167695	0.215645	0.153414	0.0908563	0.0796197	0.0840986
a21	0.0173408	0.0164736	0.027492	0.0605565	0.136466	0.176217	0.150129	0.179598	0.235728
a47	0.0128072	0.0116701	0.0143375	0.0389009	0.125811	0.205016	0.187545	0.196986	0.206926
a31	0.00797601	0.00750995	0.00881997	0.0203043	0.0812325	0.184005	0.220901	0.220617	0.248634
a75	0.00316803	0.00339698	0.00395348	0.00809151	0.0392668	0.123633	0.232548	0.292432	0.293509
a79	0.000525817	0.000531336	0.000723984	0.00239145	0.0212574	0.088297	0.216847	0.336121	0.333305
a7	0.000209857	0.000230234	0.000476191	0.00161296	0.0115822	0.0461872	0.150553	0.346041	0.443108
a79	0.000190734	0.000161744	0.000296848	0.000661444	0.00459444	0.0221009	0.0976917	0.326751	0.547551
a69	0.000125888	0.000134863	0.000260013	0.000685449	0.00416106	0.0202506	0.0905669	0.324322	0.559493
a58	0.000156978	0.000166737	0.000374515	0.000954407	0.0054496	0.024868	0.110618	0.332592	0.52482
a27	0.000537887	0.000573777	0.000858926	0.00134983	0.00596173	0.0208802	0.0976574	0.323084	0.549097
a82	0.021752	0.0205374	0.0273378	0.0252142	0.0439023	0.0813244	0.13618	0.261539	0.382213
a87	0.105819	0.0621114	0.0580154	0.0410166	0.0536847	0.0866595	0.12664	0.197138	0.268915
a23	0.276571	0.184926	0.155442	0.0963067	0.0674734	0.0604381	0.050698	0.0510918	0.0570528
a38	0.0350436	0.0176709	0.0170094	0.0221241	0.0508897	0.0931929	0.160265	0.28155	0.322254
</S>	0.0157844	0.00914399	0.00971892	0.0137131	0.0339555	0.0758318	0.165474	0.282976	0.393402
