 	ta	femme	est	en	train	de	ligoter	des	fagots	de	bois	</S>
a66	0.0732028	0.0552772	0.0830636	0.0880617	0.15259	0.140519	0.278433	0.102078	0.0149969	0.0061768	0.00347069	0.00213134
a87	0.208935	0.117056	0.0956384	0.0695677	0.0738246	0.0678925	0.144842	0.0847538	0.0365681	0.0399558	0.0279437	0.0330227
a23	0.178952	0.126995	0.110007	0.0869899	0.0849979	0.112509	0.140967	0.10667	0.0272364	0.0092246	0.00607581	0.00937545
a87	0.227011	0.180999	0.132249	0.0809515	0.064565	0.0851579	0.0817029	0.0675124	0.037451	0.018527	0.0104165	0.0134575
a23	0.178397	0.166611	0.14535	0.0980696	0.0777798	0.0953332	0.0932434	0.073814	0.0301292	0.0160939	0.0109609	0.0142171
a53	0.166793	0.125312	0.0908486	0.0542068	0.0473455	0.0625076	0.103508	0.127109	0.104558	0.0495107	0.0319872	0.0363138
a44	0.10204	0.0851601	0.107265	0.0895682	0.116033	0.110497	0.161213	0.0931128	0.0497038	0.0366677	0.0284378	0.0203019
a79	0.163327	0.147301	0.147993	0.119856	0.10245	0.102061	0.0922955	0.0639274	0.0309604	0.0127079	0.00894429	0.00817637
a98	0.127641	0.0997078	0.0998753	0.0978294	0.101758	0.11476	0.174543	0.0872382	0.0486455	0.0215273	0.0134419	0.0130328
a41	0.10395	0.0942897	0.101432	0.104358	0.107056	0.117248	0.176811	0.0831346	0.0478171	0.0244205	0.0196346	0.0198493
a75	0.102691	0.0964991	0.103913	0.107171	0.105936	0.118423	0.165752	0.0655053	0.0494459	0.0311716	0.0256807	0.0278101
a56	0.0873004	0.0885295	0.102113	0.10843	0.103988	0.104726	0.163395	0.0878844	0.0489581	0.035126	0.0330419	0.0365073
a90	0.0868053	0.0853906	0.0962256	0.117905	0.122334	0.130588	0.16029	0.0554496	0.0393297	0.0355677	0.0335292	0.0365862
a98	0.0775095	0.0765173	0.0890508	0.11121	0.108587	0.109839	0.121546	0.0655827	0.0592285	0.0600877	0.0590803	0.061761
a85	0.0506901	0.0545129	0.062005	0.0853228	0.082018	0.0842243	0.105074	0.0793323	0.066927	0.0958686	0.108241	0.125784
a47	0.0366675	0.0361305	0.0376416	0.0511878	0.0506804	0.0481328	0.0566275	0.0395687	0.0780552	0.144495	0.188741	0.232072
a85	0.0105678	0.00843638	0.00753179	0.013307	0.018903	0.0171822	0.0185726	0.0126489	0.0714807	0.174872	0.2691	0.377397
a92	0.00955858	0.00721583	0.006255	0.0107185	0.0130865	0.0112794	0.0140435	0.0178767	0.0819594	0.179141	0.282216	0.36665
a85	0.00793324	0.00519037	0.00405351	0.00631333	0.0074588	0.0067699	0.00693237	0.0127956	0.0999274	0.196312	0.275063	0.37125
a47	0.00506672	0.00308066	0.00193854	0.00259696	0.00315629	0.00266234	0.00300528	0.00799405	0.0960276	0.194762	0.281602	0.398107
a36	0.00273013	0.00153219	0.000705893	0.000860005	0.000981016	0.000789377	0.00113473	0.00384625	0.0496091	0.187325	0.302844	0.447642
a90	0.00271009	0.00111484	0.00037421	0.000441085	0.000561021	0.000488026	0.000639807	0.00106882	0.0191698	0.117134	0.291583	0.564715
a79	0.00296031	0.00126841	0.000540181	0.000571647	0.000574779	0.000512825	0.000846591	0.00150427	0.0141203	0.0908854	0.280034	0.606181
a44	0.000855961	0.000317791	8.73622e-05	9.20268e-05	9.0686e-05	7.68689e-05	0.000126248	0.000430461	0.0070586	0.0989915	0.304505	0.587368
a66	0.00302337	0.00138735	0.000436499	0.000395955	0.000362776	0.000328728	0.000565107	0.00131511	0.0101978	0.108413	0.309234	0.56434
a57	0.00234833	0.00129655	0.000511964	0.000474113	0.000458417	0.000438325	0.000918211	0.00208404	0.0160479	0.10733	0.295288	0.572804
a82	0.00475454	0.00252803	0.0011455	0.00153267	0.00257833	0.00293532	0.00711211	0.00658352	0.0253833	0.109911	0.276724	0.558811
a99	0.0987943	0.0533986	0.0371599	0.0422812	0.0468972	0.0542759	0.0529454	0.0328631	0.0449848	0.0805645	0.155321	0.300514
a97	0.127857	0.0755134	0.0443593	0.0411917	0.0439786	0.0511607	0.0604478	0.0416943	0.0452025	0.0967105	0.146089	0.225795
a87	0.0814727	0.0502773	0.0315287	0.0287002	0.0297763	0.0335052	0.0385326	0.0313447	0.0598868	0.15061	0.189746	0.274619
a23	0.0462757	0.0317168	0.0223209	0.0211752	0.0227436	0.0250167	0.0293032	0.0253618	0.0873391	0.191274	0.213306	0.284167
a87	0.0210716	0.0113414	0.00761781	0.00718754	0.00672676	0.00624189	0.0072201	0.00987275	0.0828211	0.205239	0.24193	0.39273
a97	0.0124611	0.00822602	0.00581278	0.00533595	0.00567367	0.00743683	0.0123076	0.0147705	0.0671005	0.151506	0.239489	0.46988
</S>	0.0244902	0.0160037	0.0115828	0.0127636	0.0157041	0.0188719	0.0254024	0.0237847	0.0647037	0.136149	0.204742	0.445802
