 	il	est	en	train	de	faire	craquer	ses	doigts	</S>
a66	0.23313	0.151681	0.104378	0.0870748	0.10062	0.0993796	0.134923	0.0414055	0.0280899	0.0193179
a87	0.119498	0.091863	0.089681	0.0958587	0.124372	0.150162	0.188184	0.0699187	0.0513382	0.019124
a97	0.071771	0.0608665	0.0632211	0.0856518	0.167174	0.255907	0.16553	0.0656649	0.0471851	0.0170285
a30	0.0862648	0.0795956	0.0796506	0.109189	0.203856	0.2554	0.117825	0.0345024	0.0203319	0.0133853
a90	0.0797095	0.0783884	0.0804421	0.117285	0.23088	0.261612	0.0940491	0.0290397	0.0163373	0.0122568
a69	0.170559	0.146212	0.116563	0.118759	0.180466	0.16108	0.0497565	0.026928	0.018008	0.0116679
a90	0.227698	0.197974	0.152158	0.120284	0.121908	0.114871	0.029431	0.0175647	0.0118591	0.0062532
a98	0.200264	0.189459	0.162083	0.134114	0.115339	0.128691	0.0384123	0.0152014	0.01013	0.00630621
a85	0.148208	0.168443	0.17958	0.166179	0.122522	0.119542	0.0475266	0.0192612	0.0169527	0.0117865
a47	0.132423	0.161334	0.180082	0.157885	0.116021	0.12063	0.0645185	0.0249673	0.0230944	0.0190443
a37	0.0979448	0.129562	0.164502	0.150103	0.121726	0.122396	0.0866099	0.0363349	0.0442166	0.0466033
a21	0.103946	0.11438	0.143232	0.149441	0.146766	0.158311	0.10189	0.0267173	0.0276445	0.0276714
a12	0.0769452	0.0703827	0.0769386	0.0853383	0.104726	0.138324	0.241147	0.0763982	0.0666328	0.0631679
a31	0.0385783	0.0384748	0.0478382	0.0581087	0.0808733	0.12206	0.276781	0.109006	0.100045	0.128235
a21	0.0255773	0.0250374	0.0326635	0.0449804	0.0730467	0.121017	0.305443	0.138058	0.111296	0.122881
a12	0.0166807	0.016478	0.0220893	0.0309197	0.0508625	0.0839579	0.253838	0.162519	0.164834	0.197821
a62	0.0148201	0.0141801	0.0176185	0.0233199	0.0357207	0.0599775	0.207096	0.167358	0.208295	0.251614
a21	0.00635087	0.00715456	0.00898083	0.0121713	0.0206048	0.0441461	0.18684	0.161165	0.270857	0.28173
a61	0.00558402	0.00577154	0.00709597	0.00916593	0.0146913	0.0270039	0.105054	0.123412	0.276134	0.426087
a62	0.00185509	0.0021089	0.00270036	0.00407398	0.00866138	0.0174975	0.0970502	0.101331	0.237409	0.527313
a0	0.00152236	0.00177876	0.00225217	0.00306755	0.00640637	0.0153003	0.0885091	0.103321	0.228645	0.549197
a75	0.0027077	0.00261891	0.00341588	0.00453153	0.00758104	0.0139666	0.0877166	0.115508	0.216283	0.545671
a5	0.0010563	0.00103518	0.00124108	0.00185696	0.0032004	0.00360363	0.020949	0.0480943	0.144523	0.77444
a36	0.00110482	0.00108657	0.0012751	0.001804	0.00333724	0.00469005	0.0335502	0.0567228	0.153719	0.74271
a27	0.0021757	0.00205101	0.00288927	0.00406318	0.00662321	0.00911133	0.0677568	0.100032	0.179308	0.625989
a82	0.0675514	0.0519916	0.0594615	0.0742234	0.0850685	0.083735	0.143177	0.10264	0.103555	0.228596
a3	0.0778496	0.0471118	0.0452551	0.0607561	0.0998704	0.115028	0.223821	0.12603	0.0812518	0.123026
a97	0.0657041	0.0441527	0.0402759	0.0434464	0.0583464	0.0761991	0.187663	0.174444	0.176691	0.133078
a3	0.0376757	0.0273833	0.027715	0.035329	0.0608877	0.0961212	0.245839	0.175162	0.163113	0.130774
a97	0.0360722	0.0292543	0.031687	0.0390518	0.0603174	0.089993	0.195411	0.166827	0.192676	0.15871
</S>	0.0336373	0.0274686	0.0308466	0.0423751	0.0641517	0.0905998	0.208871	0.156112	0.169562	0.176376
