 	le	panier	que	j'	avais	laissé	sur	la	termitière	a	dégringolé	</S>
a23	0.379126	0.196261	0.114325	0.0888689	0.0789647	0.0498079	0.0273158	0.0177525	0.0154583	0.010492	0.0106659	0.010962
a83	0.337023	0.206515	0.110422	0.0785236	0.0436793	0.026333	0.0201025	0.0196701	0.028229	0.0369789	0.0435264	0.0489975
a94	0.363578	0.251986	0.135669	0.0671618	0.0392592	0.0250055	0.0231806	0.02161	0.0205519	0.0147297	0.0147566	0.0225113
a76	0.370675	0.299967	0.161542	0.0715786	0.0322024	0.0143684	0.0084443	0.00563929	0.00646689	0.0076702	0.00947119	0.0119746
a25	0.324333	0.264618	0.159696	0.0757993	0.038133	0.0207055	0.0167314	0.0138457	0.0170705	0.0174064	0.0245449	0.0271163
a56	0.191704	0.191296	0.17505	0.136734	0.0982418	0.0553963	0.031876	0.0190478	0.0195184	0.02007	0.0280533	0.0330127
a31	0.116175	0.153894	0.177896	0.159053	0.12432	0.070632	0.0408855	0.0246167	0.0235606	0.0234827	0.0364771	0.0490073
a61	0.0876647	0.131934	0.179797	0.174571	0.138834	0.0787485	0.0432872	0.0250356	0.0250244	0.0240087	0.0413556	0.0497391
a31	0.0888598	0.135971	0.199956	0.193296	0.144687	0.0732646	0.0360309	0.0204532	0.0195427	0.0177818	0.0312885	0.0388684
a88	0.0564142	0.0783715	0.135314	0.171843	0.167091	0.106452	0.0643857	0.0392685	0.0368741	0.0318275	0.0527529	0.0594053
a9	0.0325494	0.0487421	0.112738	0.178521	0.194129	0.138834	0.0766319	0.0403664	0.0345856	0.031259	0.0525398	0.0591039
a53	0.0178019	0.025753	0.0689015	0.11768	0.143449	0.112909	0.0746781	0.0472324	0.0453419	0.0548902	0.131636	0.159728
a90	0.0278231	0.0379259	0.0796601	0.137645	0.172655	0.123766	0.0878317	0.0627873	0.0568934	0.0465621	0.0793568	0.0870941
a56	0.0270239	0.0331904	0.0534311	0.0887575	0.129533	0.118371	0.0986095	0.0823783	0.0808035	0.0692114	0.103382	0.115308
a0	0.0178793	0.020393	0.0316415	0.0541557	0.0925847	0.108421	0.116441	0.104247	0.0982597	0.0888619	0.126974	0.140142
a75	0.0124206	0.0131837	0.0212427	0.0341504	0.0562785	0.0796557	0.111175	0.102265	0.0983067	0.0863897	0.168114	0.216818
a56	0.0100989	0.0102778	0.017082	0.027276	0.0485784	0.0691712	0.101539	0.107944	0.102995	0.105336	0.188092	0.211611
a96	0.00615885	0.00716585	0.0133105	0.0229803	0.0415156	0.0645465	0.110983	0.122059	0.113261	0.103129	0.17973	0.215161
a90	0.00318538	0.00359639	0.00696148	0.0127096	0.0228266	0.0375962	0.0816808	0.115885	0.127326	0.115129	0.208206	0.264897
a96	0.00401694	0.00457758	0.00882335	0.0161468	0.0276236	0.0408268	0.0733038	0.0912979	0.0988389	0.0980676	0.232517	0.30396
a62	0.00194832	0.00230259	0.00383225	0.00636	0.00988676	0.0160281	0.0384629	0.0709829	0.0990204	0.123196	0.257725	0.370254
a70	0.00102489	0.00104453	0.00156603	0.00270332	0.00445828	0.00737127	0.0171165	0.0338685	0.05594	0.0901493	0.296357	0.4884
a90	0.000558259	0.000535896	0.000759705	0.00150585	0.00277033	0.00485141	0.0113357	0.022941	0.0373919	0.0717463	0.322478	0.523126
a75	0.000943446	0.00124436	0.00212974	0.00339192	0.00481685	0.00715044	0.0132318	0.0216769	0.0349204	0.0681885	0.310358	0.531948
a34	0.00195132	0.00239638	0.00343425	0.00447466	0.00456437	0.00498596	0.00749719	0.0126188	0.0228988	0.0545138	0.278511	0.602153
a75	0.000305949	0.000325984	0.000458877	0.000884088	0.00141177	0.00241014	0.00617327	0.0134896	0.0217892	0.0593298	0.321688	0.571734
a6	0.000465581	0.000515993	0.000651935	0.00104493	0.0014076	0.00204949	0.00411784	0.00832732	0.0163396	0.0546661	0.324018	0.586396
a7	0.000452037	0.00054055	0.000703647	0.00122738	0.00164913	0.00238316	0.00544837	0.0119092	0.0242411	0.0770934	0.335141	0.539211
a26	0.00090458	0.00097703	0.0014922	0.00366223	0.00698054	0.0107556	0.0234737	0.0432803	0.0571179	0.130723	0.342168	0.378465
a57	0.0183169	0.0117743	0.0103747	0.011731	0.013798	0.0196452	0.0405262	0.0723595	0.097696	0.170382	0.238863	0.294533
a87	0.0721975	0.046416	0.0252565	0.0216036	0.0209027	0.023387	0.040859	0.0738057	0.0974508	0.157464	0.210086	0.210571
</S>	0.25151	0.167654	0.0875103	0.0535167	0.0345427	0.0255324	0.0284209	0.0434165	0.0536627	0.0754206	0.0908114	0.0880023
