 	son	père	a	besoin	de	lui	pour	aller	à	la	chasse	</S>
a23	0.415019	0.162902	0.0691569	0.0325381	0.0233168	0.0295036	0.0349614	0.0372064	0.0449563	0.0453068	0.047574	0.0575594
a54	0.300414	0.119095	0.0842789	0.062593	0.0522564	0.0580761	0.0521894	0.057326	0.0561751	0.0515549	0.050583	0.0554578
a41	0.347382	0.205856	0.166909	0.0918304	0.0437202	0.027187	0.0219393	0.0201328	0.0176154	0.0147338	0.0202582	0.0224358
a44	0.297218	0.262109	0.231479	0.104072	0.0353858	0.0207058	0.015062	0.011204	0.00818666	0.00519512	0.00464625	0.00473515
a26	0.2281	0.214846	0.212078	0.131611	0.065175	0.0449193	0.0308134	0.0219936	0.0148814	0.0115698	0.0111222	0.0128907
a24	0.158397	0.175276	0.200032	0.15213	0.0898424	0.0652923	0.0466162	0.0327655	0.0226148	0.0181416	0.0180655	0.0208259
a25	0.137954	0.150018	0.175647	0.157817	0.113579	0.0903217	0.0648447	0.0387175	0.0224014	0.0160761	0.0152139	0.0174105
a38	0.0860675	0.0927437	0.123263	0.166012	0.164119	0.136444	0.0918891	0.0518168	0.0296443	0.0196569	0.0176753	0.0206686
a75	0.0851061	0.0923065	0.129427	0.1645	0.155556	0.132024	0.0920628	0.0529923	0.0298726	0.0207799	0.020352	0.0250208
a41	0.102812	0.111138	0.126661	0.135187	0.130208	0.114772	0.0932435	0.0619828	0.0369217	0.0260029	0.0277565	0.0333151
a94	0.086348	0.0991649	0.113011	0.131533	0.141862	0.125228	0.0961222	0.0638165	0.0444097	0.0312482	0.0305407	0.0367159
a76	0.0757721	0.0825695	0.0958606	0.106061	0.132251	0.13909	0.11404	0.075675	0.0513388	0.0364218	0.0383682	0.0525532
a94	0.0793508	0.0785099	0.0813511	0.0791427	0.0935855	0.11225	0.109604	0.0940847	0.0775316	0.0607157	0.0598574	0.0740161
a24	0.048382	0.045399	0.0564626	0.07487	0.109606	0.142285	0.140614	0.110351	0.0809145	0.0555212	0.0567011	0.0788934
a32	0.0307649	0.0288334	0.0357912	0.0543384	0.0955567	0.129594	0.140713	0.121979	0.102769	0.0773013	0.0781337	0.104225
a71	0.0261485	0.0207211	0.0252253	0.0379754	0.0735337	0.114096	0.145942	0.149352	0.117363	0.0827699	0.0872215	0.119651
a38	0.01948	0.0156352	0.0215081	0.0359411	0.0806649	0.132759	0.176007	0.176928	0.118775	0.072786	0.0662428	0.0832736
a24	0.0242624	0.0194107	0.0266683	0.0420332	0.0783714	0.124596	0.170323	0.170696	0.115282	0.0727743	0.0686689	0.0869139
a76	0.018984	0.0137171	0.0172915	0.0283898	0.0601125	0.0908695	0.127861	0.149383	0.134497	0.116	0.113309	0.129586
a90	0.0226065	0.0184666	0.0272313	0.0447297	0.0723894	0.0892222	0.104935	0.115205	0.11199	0.107159	0.120019	0.166046
a38	0.0248378	0.0201272	0.0314804	0.0538655	0.0858376	0.101097	0.11207	0.123287	0.116053	0.104012	0.103403	0.12393
a21	0.0216692	0.016494	0.0250234	0.046118	0.0809821	0.095318	0.103965	0.114309	0.114028	0.116358	0.121952	0.143782
a24	0.0286404	0.0257674	0.0345421	0.0485521	0.0686191	0.0743757	0.0805836	0.094487	0.109915	0.125487	0.138671	0.170359
a98	0.0147916	0.0105315	0.0140522	0.02435	0.0488067	0.0613375	0.0708878	0.0834136	0.0986661	0.141884	0.194893	0.236386
a75	0.0142929	0.0111105	0.016922	0.0329951	0.05465	0.0608015	0.066238	0.0760857	0.0992072	0.14114	0.184937	0.24162
a41	0.025226	0.0192492	0.0277866	0.0453305	0.0708182	0.0769875	0.0790354	0.0848927	0.100145	0.120063	0.144577	0.205889
a76	0.0120157	0.0109622	0.0158541	0.0258392	0.0392939	0.0469089	0.0573846	0.0782853	0.119872	0.158758	0.193915	0.24091
a41	0.0247504	0.0192494	0.0278631	0.0457861	0.0706508	0.0760603	0.0758186	0.0843866	0.101029	0.126967	0.152169	0.19527
a12	0.0117377	0.0109479	0.0173628	0.0334602	0.0550762	0.0616955	0.0647191	0.0730212	0.0956033	0.139591	0.191167	0.245618
a96	0.0122201	0.0110003	0.016052	0.0278378	0.049986	0.058339	0.0630611	0.0690299	0.0837559	0.128774	0.200284	0.27966
a24	0.00798867	0.00781374	0.0123114	0.0221218	0.0436029	0.0553426	0.0630131	0.0701475	0.0796912	0.12288	0.209476	0.305612
a41	0.00762489	0.00602209	0.00790761	0.0119663	0.0215697	0.0286668	0.0347139	0.0426244	0.0559426	0.109393	0.234941	0.438627
a94	0.00275847	0.00198229	0.00291754	0.00478758	0.00955013	0.0129993	0.0170535	0.0254183	0.0465436	0.127264	0.295089	0.453636
a69	0.00368173	0.00251044	0.00396393	0.00765009	0.0168472	0.0254086	0.0333221	0.0442179	0.0527607	0.109918	0.255848	0.443872
a58	0.00437924	0.00278032	0.00429873	0.00905501	0.0221398	0.0317448	0.0373895	0.046465	0.0595876	0.1159	0.237275	0.428985
a57	0.00367046	0.00209302	0.00241616	0.00442367	0.0106817	0.0192952	0.0281607	0.0429824	0.0632238	0.131577	0.264916	0.42656
a87	0.00357115	0.00243732	0.00197716	0.00269816	0.00522967	0.00887927	0.0136287	0.0249305	0.0470913	0.119966	0.28148	0.48811
a23	0.00898096	0.009884	0.0071827	0.00613629	0.00754644	0.00927199	0.0130323	0.0261858	0.0643148	0.144093	0.263335	0.440037
a87	0.0218367	0.0224927	0.0179731	0.0160656	0.0185268	0.0190943	0.0241923	0.0369634	0.0751049	0.160464	0.261608	0.325678
a23	0.0157655	0.0118333	0.0104825	0.0132576	0.0193583	0.0230232	0.0283851	0.0445567	0.0782034	0.140016	0.238822	0.376297
a87	0.0364506	0.0290316	0.0253297	0.0283614	0.0349461	0.0379606	0.043791	0.0547543	0.084282	0.13342	0.208056	0.283616
</S>	0.0204788	0.014933	0.0141531	0.0173051	0.0227117	0.025382	0.0299817	0.0424896	0.0725936	0.134781	0.239419	0.365771
