 	j'	en	ai	assez	des	doutes	de	mon	père	</S>
a66	0.278781	0.196244	0.158893	0.141033	0.0837234	0.0395667	0.0358245	0.0303203	0.019812	0.0158022
a87	0.362867	0.218457	0.132498	0.0687137	0.0608285	0.0455849	0.0313699	0.0273561	0.0255353	0.0267901
a23	0.299364	0.21995	0.158888	0.086744	0.0643504	0.0466175	0.0386845	0.0327245	0.0251121	0.0275652
a62	0.287959	0.202531	0.133308	0.0468597	0.0424007	0.0343451	0.0489583	0.0565474	0.0624075	0.0846831
a96	0.294018	0.171764	0.121533	0.0746094	0.105154	0.0639363	0.0570192	0.0398673	0.0386127	0.0334871
a0	0.31457	0.234073	0.192296	0.0832698	0.103731	0.0399022	0.0139445	0.00720701	0.00650996	0.00449765
a56	0.155045	0.133773	0.153399	0.0990532	0.179744	0.153501	0.0617232	0.0274536	0.0236441	0.0126636
a12	0.160982	0.139615	0.172846	0.126915	0.167782	0.115776	0.0537891	0.0264019	0.0235081	0.0123862
a75	0.126392	0.108313	0.143409	0.123517	0.186652	0.136222	0.0723846	0.0418972	0.0377737	0.0234394
a98	0.058556	0.0577278	0.0882396	0.111832	0.205415	0.186144	0.111898	0.0725235	0.0665331	0.0411307
a85	0.04846	0.0556962	0.0897485	0.130745	0.238601	0.217734	0.0929972	0.0517968	0.0452732	0.0289485
a6	0.0470936	0.0519738	0.0703279	0.101909	0.167175	0.201087	0.133518	0.0925075	0.0788556	0.0555529
a36	0.0675796	0.0685035	0.077212	0.126725	0.158717	0.175102	0.129852	0.0796092	0.0693821	0.0473183
a85	0.0299932	0.0257009	0.0261007	0.066615	0.0693388	0.0825102	0.144584	0.178804	0.184677	0.191676
a6	0.021862	0.0213035	0.0240804	0.0600633	0.0642925	0.0862763	0.153387	0.177839	0.21133	0.179566
a37	0.0175166	0.0142428	0.0128347	0.0257356	0.0283718	0.0472556	0.11575	0.189042	0.270043	0.279208
a43	0.00326322	0.0020508	0.00157769	0.00264453	0.00343697	0.0113753	0.0397305	0.122429	0.291299	0.522193
a96	0.00074849	0.000415628	0.000367157	0.00096732	0.00212527	0.00873933	0.0415729	0.110507	0.250784	0.583773
a62	0.000694535	0.000400177	0.000357248	0.000944038	0.0023196	0.0099097	0.049588	0.133944	0.262061	0.539781
a88	0.00059053	0.000347766	0.000300593	0.000665122	0.00143834	0.00623169	0.0389704	0.124242	0.258917	0.568297
a38	0.000443943	0.000265708	0.000261402	0.000725117	0.00218526	0.00934401	0.0447228	0.126037	0.234193	0.581822
a70	0.000751553	0.000443852	0.000458545	0.00155919	0.00453591	0.0154935	0.0536886	0.133301	0.226685	0.563083
a13	0.00100875	0.000655998	0.000753186	0.00306043	0.00959309	0.0262068	0.0839621	0.168841	0.2268	0.479118
a71	0.00385064	0.0025475	0.00250554	0.00818263	0.0171978	0.038416	0.0966427	0.164871	0.216185	0.449601
a9	0.0685613	0.041822	0.0300249	0.0445736	0.0507996	0.066612	0.109493	0.143216	0.160919	0.283979
a99	0.311617	0.190715	0.103176	0.0842743	0.0641999	0.0535861	0.0502299	0.0481857	0.0425117	0.0515038
a87	0.223196	0.12997	0.0797015	0.0746935	0.0657341	0.0655833	0.0683235	0.0847549	0.0884191	0.119623
a23	0.211915	0.151215	0.115569	0.109071	0.0846046	0.0727888	0.0585063	0.0565513	0.0583933	0.0813852
a99	0.0436506	0.0276286	0.0198796	0.0181154	0.0168073	0.0233289	0.0536746	0.10858	0.204446	0.483889
a97	0.0256846	0.0159361	0.0114541	0.0105896	0.0100539	0.0137318	0.0401591	0.118932	0.245813	0.507645
</S>	0.00538833	0.00316066	0.00246619	0.00336186	0.00361126	0.00698441	0.0369284	0.137738	0.270851	0.529509
