 	le	chasseur	est	en	train	de	dépécer	l'	animal	</S>
a66	0.195844	0.153429	0.1138	0.134222	0.144539	0.104021	0.0877736	0.0352199	0.0180218	0.0131289
a87	0.344152	0.210277	0.120566	0.101292	0.0743046	0.0895055	0.0401254	0.00988685	0.0057248	0.00416596
a23	0.273308	0.22467	0.158788	0.160443	0.111595	0.042582	0.0140349	0.0045491	0.00522234	0.00480868
a30	0.271409	0.270254	0.171152	0.15561	0.0644692	0.0209503	0.0076132	0.00756351	0.0149643	0.0160149
a13	0.342362	0.253782	0.134255	0.107088	0.0634462	0.0391077	0.025651	0.0116907	0.012304	0.010313
a75	0.245063	0.17565	0.127728	0.132738	0.174347	0.0927268	0.0324525	0.0122509	0.00430105	0.00274331
a12	0.16231	0.120697	0.101304	0.113756	0.225738	0.184301	0.0672209	0.0162066	0.00525329	0.003212
a61	0.154713	0.139405	0.137464	0.142167	0.184943	0.13929	0.0522361	0.0286939	0.0142101	0.0068782
a75	0.171626	0.146794	0.140967	0.154279	0.173805	0.136506	0.0407386	0.018174	0.0106363	0.00647382
a92	0.0982738	0.0807764	0.0967245	0.114815	0.191197	0.281531	0.0863126	0.0289829	0.0136459	0.00774083
a85	0.114545	0.0924194	0.102532	0.113288	0.165132	0.223277	0.0820857	0.0494672	0.0328489	0.0244049
a5	0.0327356	0.0344726	0.0532808	0.0670611	0.130181	0.29124	0.173349	0.111378	0.0639787	0.0423224
a36	0.0927843	0.0983966	0.109026	0.117182	0.117343	0.141635	0.09198	0.0835614	0.0774862	0.0706055
a21	0.0462717	0.0463321	0.0491521	0.05155	0.0629014	0.0959068	0.130356	0.161108	0.175106	0.181316
a43	0.0407037	0.042765	0.0471262	0.0523315	0.0452996	0.0544577	0.105354	0.172656	0.204047	0.235259
a21	0.0126591	0.0128868	0.0139507	0.0142958	0.0132651	0.0172848	0.0524937	0.193601	0.31949	0.350073
a12	0.00508868	0.00484752	0.00460325	0.00497075	0.00390842	0.0064744	0.0302431	0.145811	0.336636	0.457417
a75	0.00186383	0.00205277	0.00220253	0.00244159	0.00185733	0.00350361	0.0172628	0.0895358	0.327925	0.551355
a5	0.000401147	0.000448328	0.000396972	0.000401224	0.000345773	0.00123898	0.00902948	0.0721686	0.286597	0.628973
a37	0.000815029	0.000873022	0.000721287	0.000581719	0.000526029	0.00217065	0.0110199	0.0436212	0.257988	0.681683
a26	0.00127203	0.00125464	0.00105801	0.000836659	0.00106491	0.00537948	0.0177384	0.0460808	0.281585	0.64373
a82	0.0210147	0.0139447	0.0105911	0.00738961	0.0106528	0.0142502	0.0250008	0.0882975	0.263756	0.545102
a87	0.217759	0.14089	0.125753	0.115073	0.135458	0.0532791	0.0263969	0.0329708	0.0557134	0.0967068
a23	0.238175	0.178899	0.183148	0.168511	0.1298	0.0659185	0.0119109	0.00697379	0.00683617	0.00982688
a87	0.0905081	0.0579242	0.0519465	0.0412231	0.0387091	0.0298783	0.0166753	0.0536587	0.203526	0.41595
</S>	0.0175089	0.0138439	0.0147082	0.013957	0.0148453	0.0183492	0.0161669	0.0716939	0.261776	0.55715
