 	il	mérite	d'	être	battu	</S>
a23	0.636034	0.17704	0.040524	0.0183829	0.0335375	0.0944817
a87	0.632611	0.105302	0.0679625	0.0424369	0.0568841	0.0948033
a23	0.67557	0.0980232	0.0456316	0.0414139	0.0559822	0.0833789
a79	0.405433	0.0693184	0.0261724	0.031706	0.111137	0.356234
a20	0.280849	0.0898211	0.0718066	0.0808847	0.15036	0.326279
a94	0.451013	0.193299	0.0926014	0.0831796	0.0830915	0.0968148
a20	0.420292	0.319391	0.119507	0.0603771	0.0405521	0.0398814
a73	0.325059	0.286604	0.152737	0.102333	0.0710975	0.0621696
a7	0.314965	0.323825	0.200835	0.0814687	0.0436398	0.0352669
a2	0.275449	0.213984	0.254993	0.125958	0.0681808	0.061435
a53	0.224768	0.18097	0.267695	0.156191	0.088916	0.08146
a20	0.131226	0.117532	0.187286	0.181309	0.170845	0.211801
a73	0.0996146	0.0808035	0.19907	0.232198	0.1922	0.196114
a76	0.0899703	0.0667594	0.152801	0.204965	0.211952	0.273552
a73	0.0518918	0.0586493	0.140752	0.183216	0.231043	0.334448
a94	0.0324627	0.0317936	0.133154	0.239479	0.270631	0.29248
a76	0.0600569	0.048116	0.140434	0.230413	0.238958	0.282022
a69	0.0291603	0.0363797	0.113389	0.237507	0.284855	0.298709
a76	0.0206021	0.0144518	0.0736882	0.182173	0.291487	0.417598
a20	0.0239539	0.0141486	0.0599866	0.165675	0.30799	0.428246
a84	0.0121858	0.00524765	0.038913	0.125631	0.29815	0.519872
a57	0.00512459	0.00123851	0.00771886	0.0375975	0.200741	0.747579
a87	0.0173449	0.00355323	0.0163709	0.0588123	0.231781	0.672137
</S>	0.00525241	0.00319544	0.0160953	0.0546475	0.220793	0.700017
