 	il	n'	y	a	personne	pour	fermer	cette	maison	</S>
a66	0.202219	0.163596	0.12365	0.111368	0.149403	0.10982	0.0556561	0.0360545	0.0281328	0.0201017
a87	0.233931	0.178972	0.146803	0.124355	0.12712	0.106288	0.0301469	0.0208871	0.0190325	0.0124647
a23	0.252845	0.23136	0.221193	0.15412	0.0938378	0.031338	0.00480656	0.00309616	0.0037105	0.00369262
a83	0.247237	0.246847	0.22638	0.139735	0.0793975	0.0259674	0.00588805	0.00641462	0.00964328	0.0124906
a21	0.218471	0.212427	0.172066	0.103165	0.0836129	0.0545558	0.0278727	0.0372237	0.0411514	0.049455
a12	0.151581	0.180012	0.174274	0.128242	0.140321	0.100736	0.0424636	0.0332796	0.0275242	0.0215673
a47	0.116853	0.128187	0.148443	0.144364	0.154114	0.126586	0.0684925	0.0463176	0.0384819	0.0281611
a12	0.0674019	0.0740877	0.077879	0.0960053	0.119377	0.143206	0.134287	0.112592	0.0952418	0.0799228
a62	0.0524	0.0579493	0.0747726	0.108302	0.149221	0.1809	0.140689	0.092935	0.0761359	0.0666944
a88	0.0523148	0.0534734	0.0638123	0.0952316	0.136674	0.181888	0.146703	0.100573	0.0876109	0.0817187
a75	0.026614	0.0244417	0.0310256	0.0597191	0.0940945	0.195069	0.19097	0.134799	0.121749	0.121518
a98	0.0301533	0.0320293	0.0416827	0.0853212	0.145959	0.171779	0.140739	0.114572	0.121246	0.116519
a79	0.0409116	0.03952	0.0471494	0.0853825	0.12288	0.145186	0.133671	0.11302	0.124892	0.147387
a90	0.0222315	0.016562	0.0171896	0.0350965	0.0631395	0.123582	0.205392	0.160232	0.163633	0.192942
a4	0.0219336	0.0149547	0.0132161	0.0220952	0.0385086	0.104167	0.238102	0.175638	0.167979	0.203405
a54	0.0229618	0.0160449	0.0120366	0.0155655	0.0192978	0.0512112	0.161985	0.188924	0.212412	0.299561
a98	0.00422034	0.0026285	0.00219099	0.0031952	0.00424384	0.0174654	0.101455	0.16598	0.266472	0.432148
a47	0.00186454	0.00121382	0.00107289	0.00185598	0.00280117	0.0154508	0.106738	0.183284	0.279805	0.405915
a7	0.000832314	0.000455722	0.000378989	0.000555617	0.000690981	0.00515494	0.077983	0.186987	0.292028	0.434933
a26	0.00198962	0.00120438	0.000873188	0.000931233	0.000680196	0.00160232	0.0155553	0.0975123	0.248144	0.631507
a57	0.0157802	0.0102233	0.0071784	0.00619625	0.00467076	0.00760823	0.0190115	0.0829153	0.22296	0.623456
a97	0.0403088	0.0272103	0.0226328	0.0200827	0.0149116	0.0194598	0.0327523	0.0849693	0.201725	0.535947
a87	0.188981	0.126124	0.116579	0.0807867	0.0527252	0.0303647	0.0358609	0.0674463	0.111935	0.189197
a23	0.233678	0.169189	0.15544	0.113292	0.0716477	0.0319429	0.0263628	0.0433619	0.0693748	0.0857109
a87	0.172152	0.128854	0.134918	0.10487	0.076844	0.0472801	0.0522257	0.0681782	0.100171	0.114507
a23	0.0463829	0.035122	0.047191	0.0503825	0.0433938	0.0467765	0.0884642	0.121142	0.220697	0.300448
a87	0.0715	0.0543755	0.0699133	0.0705796	0.065456	0.0656773	0.0994594	0.116886	0.180778	0.205375
</S>	0.0403007	0.0330306	0.050016	0.0517157	0.0463447	0.060445	0.118888	0.129966	0.206771	0.262522
