 	le	prêtre	fait	du	bien	aux	pauvres	</S>
a66	0.352762	0.270968	0.130639	0.0919956	0.0483098	0.0328425	0.0306045	0.0418787
a87	0.273787	0.230561	0.142008	0.121634	0.0964901	0.0578363	0.040551	0.0371332
a23	0.349225	0.21277	0.171297	0.111859	0.0611884	0.0404583	0.0283754	0.0248279
a87	0.308156	0.176686	0.168071	0.13402	0.0679293	0.0509316	0.0488088	0.0453975
a23	0.319808	0.199444	0.165164	0.121674	0.0646231	0.0474621	0.0436973	0.0381282
a5	0.274225	0.207671	0.146265	0.11462	0.0753067	0.0669604	0.0590444	0.055907
a85	0.221403	0.242284	0.172154	0.14206	0.077817	0.0612771	0.0433093	0.0396952
a5	0.133343	0.158981	0.17759	0.218351	0.14528	0.0862439	0.0475652	0.0326457
a6	0.103277	0.1273	0.195784	0.2454	0.15984	0.0925275	0.0456136	0.0302568
a37	0.0702399	0.10343	0.173314	0.235811	0.175129	0.112327	0.0722966	0.0574521
a98	0.0681725	0.0672043	0.105768	0.150303	0.177562	0.177127	0.132101	0.121761
a47	0.042436	0.0495204	0.0815335	0.116439	0.170547	0.190562	0.165801	0.183162
a36	0.00918066	0.00788471	0.0108025	0.0178551	0.0672969	0.195215	0.28629	0.405476
a47	0.00372612	0.00267632	0.00328882	0.00436025	0.0154575	0.0565831	0.237692	0.676216
a26	0.00207135	0.00162708	0.00212529	0.00321502	0.0125664	0.0490651	0.230887	0.698443
a57	0.00706416	0.00462208	0.00554615	0.00455369	0.0085188	0.0240271	0.141175	0.804493
a87	0.046052	0.0299968	0.0305612	0.02255	0.0338764	0.065023	0.183924	0.588017
a23	0.169825	0.10531	0.107003	0.0691257	0.070508	0.0913955	0.143591	0.243242
a87	0.137461	0.0779647	0.0669999	0.0514514	0.0579395	0.0890942	0.184668	0.334421
</S>	0.0193767	0.0140083	0.0166412	0.0204927	0.0442118	0.10705	0.285272	0.492947
