 	le	voleur	est	resté	seul	dans	la	prison	</S>
a66	0.326166	0.153651	0.102225	0.10637	0.118148	0.104574	0.0566025	0.018801	0.0134618
a87	0.158251	0.114764	0.147782	0.185162	0.158	0.12192	0.0565176	0.0300861	0.0275166
a23	0.408013	0.293068	0.125814	0.0698326	0.0321925	0.0189519	0.0161125	0.0167411	0.019275
a99	0.349183	0.305296	0.148373	0.0871199	0.0354525	0.0158333	0.0135731	0.0176802	0.0274888
a38	0.30428	0.22502	0.118295	0.0831883	0.0543503	0.0394287	0.041588	0.0592719	0.0745777
a94	0.320311	0.213298	0.106817	0.0647999	0.0460388	0.0355256	0.0465701	0.0805925	0.0860467
a90	0.225934	0.311904	0.19803	0.10762	0.0579703	0.0296036	0.0209142	0.0236435	0.0243807
a4	0.124513	0.245389	0.200867	0.14788	0.100772	0.0566305	0.0361484	0.0426523	0.0451487
a94	0.109921	0.200291	0.184001	0.152628	0.109923	0.0698697	0.045413	0.0585735	0.0693807
a11	0.0982255	0.161761	0.184113	0.168492	0.124942	0.0774353	0.0475561	0.061199	0.0762762
a94	0.0957803	0.127086	0.164806	0.170185	0.139959	0.0907649	0.0565754	0.0698081	0.085035
a35	0.0751801	0.0830314	0.107784	0.131745	0.156351	0.117935	0.0800812	0.105125	0.142768
a76	0.0559054	0.0525079	0.0749751	0.102907	0.152633	0.165207	0.104603	0.122809	0.168453
a98	0.0131114	0.011018	0.0181267	0.0378476	0.0941036	0.216961	0.203455	0.181642	0.223736
a79	0.0103725	0.008654	0.0150086	0.0337882	0.0868198	0.20417	0.240356	0.179087	0.221743
a85	0.00730838	0.00480109	0.00834444	0.0173375	0.0452859	0.113274	0.18745	0.249299	0.366899
a5	0.00831133	0.00576365	0.00918918	0.016252	0.0351628	0.0796186	0.161137	0.277048	0.407517
a43	0.00971624	0.00571331	0.00704164	0.0102409	0.0188736	0.046427	0.140981	0.323205	0.437801
a75	0.00694354	0.00378452	0.00390478	0.00424487	0.00574905	0.0131383	0.0606034	0.352381	0.549251
a25	0.00144142	0.000857142	0.00123296	0.00190779	0.00354008	0.0102101	0.0652555	0.343782	0.571773
a56	0.000838559	0.000581914	0.00082013	0.00107448	0.00158245	0.0051354	0.0407519	0.343941	0.605274
a75	0.00373356	0.00205424	0.00226098	0.00248764	0.00317612	0.00767291	0.0446439	0.3242	0.609771
a92	0.00158854	0.000878632	0.00117109	0.00159685	0.00236437	0.00660823	0.052019	0.335025	0.598748
a37	0.00235891	0.00126886	0.0015597	0.00184185	0.00257148	0.00737095	0.05926	0.33328	0.590488
a66	0.00302214	0.00172338	0.00214379	0.00241596	0.00363107	0.0166381	0.11822	0.369909	0.482297
a26	0.0187318	0.0096816	0.00822978	0.0078986	0.010655	0.0327663	0.116671	0.311101	0.484264
a82	0.318157	0.108458	0.0593958	0.0446989	0.039392	0.050507	0.0654052	0.123546	0.190439
a87	0.392681	0.179698	0.0908933	0.0628843	0.0410429	0.0415699	0.0578916	0.0652805	0.0680586
a23	0.376096	0.222783	0.105185	0.0602375	0.0312326	0.0273708	0.0494644	0.0670689	0.0605623
a87	0.151242	0.0875797	0.0440263	0.0301795	0.0186387	0.0240048	0.0842442	0.250107	0.309978
</S>	0.0363779	0.0215615	0.0132572	0.00970279	0.00786577	0.0198035	0.0977896	0.35601	0.437632
