 	maman	a	mis	le	manioc	dans	un	panier	pour	faire	couler	l'	eau	</S>
a15	0.202738	0.131005	0.0758463	0.065746	0.0745878	0.08764	0.0903411	0.0889782	0.0651985	0.0488728	0.031639	0.0143249	0.0118522	0.0112298
a66	0.320342	0.132572	0.0572852	0.0465894	0.0518663	0.0632338	0.0579027	0.0560818	0.0489137	0.0428346	0.0415623	0.02725	0.0266344	0.0269318
a87	0.451392	0.199649	0.0909384	0.0592896	0.0414438	0.0352088	0.0269239	0.0194201	0.0148148	0.0127469	0.011454	0.00935068	0.0119751	0.0153929
a23	0.342268	0.194397	0.106783	0.0672426	0.0481603	0.0466558	0.0424785	0.0364204	0.0303656	0.0242832	0.0171669	0.0117789	0.0134368	0.0185629
a99	0.237959	0.117384	0.0709196	0.0598686	0.0555783	0.0574113	0.0528586	0.0496477	0.0528125	0.0452286	0.0414831	0.0371122	0.05102	0.0707169
a40	0.118687	0.0770307	0.0671876	0.0655282	0.0650838	0.0723507	0.0705522	0.0723515	0.071685	0.0561574	0.0553965	0.0528186	0.0691722	0.0859984
a36	0.192922	0.162468	0.137986	0.112274	0.066876	0.0528743	0.0409833	0.0409159	0.0348108	0.0346833	0.0376614	0.0297732	0.029303	0.0264686
a5	0.0763144	0.0965754	0.110301	0.108737	0.073102	0.0663109	0.0558001	0.0594773	0.0591214	0.0538476	0.0625036	0.0537634	0.0620832	0.0620631
a61	0.0740003	0.0932969	0.118052	0.125195	0.0863412	0.072479	0.0607673	0.0579195	0.0553601	0.0518196	0.050162	0.0432568	0.0503229	0.0610269
a88	0.0845844	0.106239	0.129744	0.132849	0.0874618	0.0691545	0.0549609	0.048471	0.0433843	0.0438305	0.0424882	0.043239	0.0500644	0.063529
a40	0.056465	0.0745528	0.109898	0.138563	0.106739	0.0874941	0.0703645	0.0593248	0.0513306	0.0488201	0.0435086	0.0423874	0.0482273	0.0623251
a76	0.0266388	0.0367612	0.0565879	0.077521	0.079195	0.0749404	0.0656454	0.056935	0.0544719	0.0545866	0.0641222	0.0838307	0.114008	0.154756
a98	0.0258884	0.0384221	0.0618643	0.085045	0.0905525	0.0856051	0.0746065	0.0617415	0.0552749	0.0539094	0.0579483	0.0739681	0.0997072	0.135467
a92	0.0214091	0.0288309	0.0460535	0.0642838	0.0790186	0.0784077	0.0705506	0.0581363	0.0515979	0.0486387	0.0519725	0.077353	0.124763	0.198984
a41	0.0258175	0.0285111	0.0372061	0.0466355	0.0613476	0.0647286	0.0649678	0.060025	0.0561318	0.0588369	0.0648813	0.0911457	0.136607	0.203158
a75	0.0176159	0.0191488	0.027567	0.038058	0.064869	0.0778412	0.0856096	0.0805494	0.0707109	0.0629745	0.0615546	0.0821337	0.126665	0.184703
a5	0.0188791	0.0202289	0.0257234	0.0349292	0.0573417	0.0725016	0.0789285	0.0760426	0.0739137	0.0664366	0.0672148	0.0889106	0.131277	0.187673
a43	0.0141236	0.013156	0.0171037	0.0233744	0.0413491	0.0545039	0.0713667	0.0768468	0.0756103	0.0723827	0.0704071	0.0989563	0.150643	0.220177
a75	0.0107997	0.0103856	0.0152139	0.0218744	0.0395278	0.0507606	0.0697387	0.0823892	0.0921993	0.0866253	0.0755971	0.0927573	0.1384	0.213731
