 	je	l'	ai	vu	hierva	vite	au	marché	</S>
a66	0.35696	0.234629	0.0971757	0.0649762	0.042892	0.0594045	0.0651946	0.0474542	0.0313143
a87	0.287526	0.164718	0.096232	0.0753268	0.038019	0.0729767	0.101169	0.092392	0.0716404
a97	0.372915	0.228896	0.155024	0.0897655	0.0343002	0.0330485	0.0323196	0.027453	0.0262776
a87	0.379874	0.244098	0.150891	0.0701889	0.0328877	0.0419264	0.0326379	0.024174	0.0233221
a97	0.364537	0.253099	0.151849	0.0803888	0.0374705	0.0420289	0.0319101	0.0207741	0.0179421
a13	0.376143	0.262041	0.135191	0.0648194	0.0369287	0.0476748	0.0354323	0.0226038	0.0191663
a50	0.440921	0.303961	0.156962	0.0525941	0.013521	0.00962801	0.0082604	0.00677345	0.00737867
a24	0.440442	0.276368	0.162886	0.0683616	0.0167772	0.0122225	0.00937438	0.00683592	0.00673236
a18	0.321537	0.253615	0.186834	0.102229	0.0491939	0.0364549	0.0242767	0.0150771	0.0107825
a88	0.257024	0.260495	0.200989	0.119356	0.0567043	0.0403152	0.0296401	0.0200168	0.0154594
a21	0.131557	0.199415	0.238552	0.19126	0.104078	0.057284	0.0372979	0.0237888	0.0167672
a92	0.112862	0.186566	0.258349	0.206674	0.11017	0.0573245	0.0342305	0.0211242	0.0126988
a25	0.0504485	0.107673	0.18506	0.201451	0.200043	0.113308	0.0693144	0.0446814	0.0280207
a98	0.02244	0.0506681	0.102787	0.161421	0.183524	0.172975	0.132563	0.0992012	0.0744205
a47	0.0392326	0.0647133	0.134075	0.199997	0.159346	0.128806	0.10948	0.0915645	0.0727862
a36	0.0305971	0.0355414	0.0503226	0.0666587	0.0795089	0.167705	0.191996	0.198057	0.179613
a7	0.008031	0.00671069	0.0093802	0.0175389	0.0468273	0.1353	0.214298	0.291455	0.27046
a44	0.00228478	0.00158087	0.00196859	0.00417538	0.0181319	0.0747255	0.164465	0.325425	0.407243
a69	0.000821596	0.000544603	0.00066508	0.00148608	0.00895638	0.0548763	0.148846	0.323933	0.459871
a58	0.000173295	0.00015364	0.000208521	0.000578934	0.00469875	0.0361539	0.11122	0.310959	0.535854
a57	0.000186403	0.000217684	0.000244186	0.000474785	0.00172449	0.0210389	0.0914757	0.298317	0.58632
a82	0.00985048	0.00665439	0.00517415	0.0066668	0.0181556	0.0599041	0.104945	0.250908	0.537741
a97	0.14863	0.0754731	0.0416364	0.0341962	0.0650547	0.138527	0.127176	0.14956	0.219747
a87	0.196625	0.123362	0.073442	0.0550959	0.0713449	0.1578	0.115692	0.0972463	0.109393
a97	0.152755	0.110901	0.0786137	0.0657552	0.0720048	0.171991	0.12682	0.107354	0.113805
a99	0.0337288	0.0312137	0.0341277	0.0398692	0.068656	0.150419	0.153424	0.210739	0.277823
a97	0.00922261	0.0167942	0.0290774	0.0446228	0.0988927	0.141832	0.160139	0.228929	0.27049
</S>	0.0218804	0.0307976	0.0454756	0.0618199	0.0990403	0.133122	0.142658	0.198915	0.266292
