 	leur	parcelle	est	divisée	</S>
a66	0.537794	0.279474	0.116152	0.0494659	0.017114
a87	0.489369	0.302854	0.14472	0.0504259	0.0126311
a23	0.483227	0.26639	0.105874	0.0869505	0.0575586
a5	0.402221	0.276835	0.142328	0.103015	0.0756012
a36	0.548199	0.210337	0.107678	0.087252	0.046534
a47	0.501122	0.258333	0.113319	0.0802589	0.0469662
a6	0.509767	0.279575	0.111622	0.0564228	0.0426132
a92	0.421337	0.326408	0.156912	0.0636532	0.0316895
a85	0.427879	0.292088	0.157274	0.0735185	0.0492402
a5	0.310749	0.284411	0.214333	0.108587	0.0819189
a12	0.337797	0.250807	0.169226	0.12726	0.11491
a62	0.127019	0.182663	0.216961	0.216605	0.256753
a61	0.0454821	0.100664	0.208408	0.278372	0.367074
a47	0.0332848	0.0760479	0.180709	0.307349	0.40261
a61	0.0160159	0.0344327	0.0872409	0.281998	0.580312
a75	0.00679724	0.0228585	0.0714972	0.273374	0.625474
a98	0.00125705	0.00634374	0.034791	0.214005	0.743603
a15	0.000615748	0.00291288	0.016978	0.153231	0.826262
a47	0.000817345	0.00291499	0.0133254	0.151185	0.831757
a7	0.00277338	0.00794817	0.0246402	0.191117	0.773522
a2	0.0167511	0.0362589	0.0680126	0.240328	0.638649
a57	0.107391	0.114117	0.140245	0.245916	0.392332
a87	0.225839	0.165694	0.138873	0.220543	0.24905
a23	0.312013	0.244871	0.158828	0.16133	0.122957
a99	0.0537664	0.0558533	0.0844227	0.317333	0.488624
</S>	0.0159635	0.022418	0.0578929	0.295271	0.608454
