 	elle	a	une	mauvaise	manière	de	partager	la	nourriture	</S>
a66	0.231857	0.228651	0.186152	0.149844	0.0826281	0.0592375	0.0276199	0.0159985	0.010534	0.00747811
a87	0.235077	0.20713	0.15842	0.143563	0.0966491	0.0759264	0.0391356	0.0229508	0.0130965	0.00805095
a23	0.211206	0.173783	0.165424	0.169933	0.11371	0.0739283	0.0388378	0.0234207	0.0147118	0.0150454
a5	0.151218	0.13779	0.154511	0.228127	0.140675	0.0746886	0.0401193	0.0296593	0.0209953	0.0222163
a18	0.205834	0.213394	0.200086	0.171718	0.0805984	0.0539419	0.0297452	0.0194224	0.0140195	0.0112416
a75	0.176752	0.193529	0.203427	0.175285	0.10676	0.0661623	0.035717	0.0218656	0.0125232	0.00797952
a85	0.15162	0.159299	0.174671	0.136766	0.142796	0.0935948	0.0658341	0.0405393	0.0225296	0.0123509
a79	0.106158	0.134217	0.160984	0.120732	0.147614	0.100664	0.0852119	0.0666551	0.0450932	0.0326706
a92	0.120803	0.143977	0.158769	0.129696	0.141057	0.0914332	0.0681915	0.0588729	0.047678	0.0395222
a98	0.119612	0.12452	0.146655	0.141249	0.123541	0.0772886	0.0712027	0.0709101	0.065034	0.0599867
a15	0.0984822	0.109581	0.13875	0.133279	0.142883	0.101388	0.079165	0.0738333	0.065315	0.057323
a98	0.0757328	0.0862456	0.115453	0.140157	0.140493	0.117826	0.101094	0.0897042	0.0707873	0.0625072
a85	0.068132	0.0666504	0.0845636	0.101685	0.124073	0.126097	0.121963	0.117956	0.101394	0.0874866
a5	0.0416959	0.0346697	0.0424722	0.0605212	0.0992018	0.14279	0.174112	0.166321	0.137099	0.101117
a21	0.0423505	0.0329988	0.0388985	0.0592049	0.0813391	0.123385	0.176258	0.177589	0.144689	0.123287
a12	0.0120997	0.00929091	0.0110025	0.0225569	0.0410061	0.0788127	0.158557	0.212179	0.219819	0.234677
a62	0.00852631	0.00608865	0.00711294	0.0119376	0.0218193	0.0490576	0.115563	0.187706	0.236235	0.355954
a83	0.00576343	0.00494293	0.00661199	0.0108863	0.0177041	0.0348836	0.0960798	0.164952	0.250406	0.407769
a62	0.00761379	0.00687091	0.00862604	0.0127681	0.0175972	0.029171	0.0717431	0.135131	0.228253	0.482225
a88	0.00504978	0.00461181	0.00636479	0.010982	0.018324	0.0377277	0.0964015	0.166719	0.26259	0.39123
a71	0.00298745	0.00295488	0.00339237	0.00624464	0.0105959	0.0230173	0.0659285	0.142233	0.263298	0.479348
a9	0.011657	0.0102299	0.0102224	0.0115211	0.0152478	0.028078	0.0658805	0.158721	0.233434	0.455009
a97	0.0846635	0.0611623	0.0533061	0.0516909	0.0589346	0.0685486	0.101829	0.136911	0.148938	0.234016
a87	0.135757	0.100298	0.0949287	0.10617	0.10004	0.0951807	0.104214	0.105248	0.0781363	0.0800284
a23	0.0907245	0.0721551	0.069819	0.0972684	0.11483	0.129051	0.128064	0.121078	0.0878362	0.0891741
a99	0.0248199	0.0167287	0.0161668	0.017481	0.0295516	0.0568191	0.103364	0.17132	0.204529	0.359219
a87	0.0125455	0.00925949	0.0105317	0.0161899	0.0338104	0.0575736	0.0919638	0.162312	0.212703	0.39311
a3	0.0115811	0.00710402	0.00679198	0.00867854	0.0207081	0.0373253	0.0694718	0.128787	0.206588	0.502964
</S>	0.0601855	0.0413007	0.0382912	0.0425558	0.065278	0.0717222	0.0801942	0.114516	0.15331	0.332646
