 	il	y	a	un	endroit	diffìcile	à	pénétrer	devant	mon	champ	où	un	grand	arbre	est	tombé	</S>
a66	0.0954354	0.0732084	0.0611629	0.0515718	0.0510192	0.0866714	0.0935191	0.0774694	0.0565319	0.0753378	0.0758111	0.0651753	0.0561296	0.0375639	0.0193599	0.0104194	0.00682591	0.00678753
a53	0.125637	0.10505	0.0782619	0.0621905	0.0490177	0.0425648	0.0409365	0.0243028	0.0386289	0.0601843	0.0672434	0.0712341	0.0774778	0.0430546	0.0293829	0.0263019	0.0238855	0.0346454
a4	0.153765	0.14007	0.102133	0.0857972	0.082963	0.0918676	0.0561829	0.0226081	0.0319131	0.0273545	0.0417303	0.0305086	0.0335923	0.0253459	0.0163407	0.0134972	0.0136595	0.0306716
a13	0.20106	0.168873	0.150623	0.12294	0.0827245	0.0574688	0.0325971	0.0160159	0.0170789	0.017048	0.0194701	0.0237108	0.029576	0.0234079	0.0123091	0.00784353	0.00693947	0.0103138
a93	0.150098	0.118838	0.135299	0.130842	0.0946293	0.066733	0.0503483	0.0339047	0.036279	0.0324508	0.0327696	0.0353913	0.0303814	0.0185259	0.00914805	0.00717957	0.00665311	0.0105277
a11	0.0899884	0.0694463	0.0873018	0.0963547	0.0819363	0.0727184	0.0657994	0.0596483	0.0669686	0.0581837	0.0561784	0.0544382	0.0414573	0.0275374	0.0173978	0.0157518	0.0155859	0.0233074
a98	0.0496632	0.0406749	0.0571829	0.0707982	0.06898	0.0831747	0.0833868	0.0829026	0.0919734	0.080717	0.0779212	0.0655674	0.0475316	0.031782	0.0187098	0.0149051	0.014658	0.0194711
a92	0.0522356	0.0401097	0.0466526	0.0523472	0.0511855	0.0517233	0.0585936	0.0540471	0.0722715	0.0815488	0.0864922	0.0973583	0.08675	0.0616872	0.0326013	0.0239012	0.0208293	0.0296655
a56	0.0488572	0.0385076	0.0511267	0.0624561	0.0609283	0.0678843	0.0783221	0.07077	0.0870662	0.0876097	0.0889305	0.0901148	0.0705919	0.0437327	0.0199987	0.0120823	0.00928789	0.0117331
a92	0.0295925	0.0240193	0.0347914	0.0512147	0.0638947	0.0900254	0.107086	0.104093	0.116443	0.102296	0.0963353	0.0773495	0.0501089	0.0269068	0.00962782	0.00548113	0.0046867	0.00604837
a37	0.0222833	0.0195272	0.0284477	0.0419906	0.0516949	0.0653977	0.0907372	0.0916945	0.109472	0.103622	0.0999005	0.0962553	0.0715145	0.0465808	0.023048	0.0139636	0.0107389	0.0131312
a92	0.0133075	0.0138187	0.0210935	0.0330611	0.0446092	0.0690773	0.0874596	0.103499	0.116768	0.120013	0.121926	0.0973707	0.0698259	0.0407535	0.0177547	0.0100651	0.00904116	0.0105563
a37	0.011387	0.0107291	0.0150401	0.0223196	0.0297292	0.0380291	0.0673642	0.0877819	0.105123	0.115719	0.108881	0.106494	0.0855698	0.0637418	0.0435983	0.0334272	0.0267955	0.0282696
a21	0.0108986	0.010737	0.0150947	0.0220267	0.0308776	0.0446322	0.0753241	0.105375	0.117453	0.125339	0.114958	0.100134	0.0777936	0.0565118	0.0344942	0.0210347	0.0170656	0.0202505
a47	0.00863253	0.00857101	0.0117512	0.0171692	0.023334	0.0371298	0.071457	0.0954137	0.0961175	0.103281	0.0882934	0.0981234	0.0887091	0.0815324	0.0632311	0.043149	0.0314852	0.0326192
