 	ma	mère	est	une	grande	cuisinière	</S>
a66	0.35093	0.292743	0.144968	0.0880308	0.0621342	0.0364194	0.0247741
a87	0.384528	0.304491	0.168219	0.0798637	0.0325714	0.0182713	0.0120546
a23	0.497986	0.318049	0.12035	0.0370851	0.0107171	0.00763668	0.00817642
a83	0.522935	0.294065	0.0922249	0.0252133	0.0103976	0.017341	0.0378234
a70	0.397901	0.253901	0.124511	0.0657698	0.0437382	0.0495318	0.0646474
a90	0.307672	0.282987	0.21138	0.117952	0.0448497	0.0211886	0.01397
a15	0.170607	0.190145	0.220506	0.213609	0.117074	0.0550769	0.0329807
a79	0.0638638	0.0990008	0.162194	0.236044	0.197245	0.133208	0.108444
a98	0.0894377	0.117644	0.158105	0.200099	0.1723	0.139323	0.123091
a47	0.0798743	0.113543	0.187907	0.259489	0.187034	0.102114	0.0700387
a92	0.0597695	0.0842206	0.147483	0.202115	0.154094	0.166143	0.186175
a85	0.0845929	0.100562	0.165846	0.220101	0.166517	0.153996	0.108385
a92	0.0417028	0.0561857	0.103051	0.171544	0.214134	0.232539	0.180844
a37	0.0385965	0.0366569	0.0594263	0.106379	0.202944	0.285208	0.270789
a90	0.0317999	0.0259141	0.0327069	0.0497134	0.126641	0.29167	0.441555
a44	0.0156259	0.0114448	0.0126651	0.0203832	0.0726048	0.275097	0.592179
a96	0.00793677	0.00526115	0.00546863	0.0085059	0.035069	0.203314	0.734445
a21	0.00485486	0.00296094	0.00322036	0.00604546	0.025642	0.144263	0.813013
a12	0.00196533	0.00152849	0.00179486	0.00395222	0.0183826	0.129579	0.842797
a18	0.00115758	0.000914225	0.00112543	0.00238312	0.0103979	0.0910606	0.892961
a25	0.00621124	0.00538073	0.00588369	0.014734	0.0448013	0.165416	0.757573
a87	0.0633751	0.0584152	0.0663788	0.0982179	0.129458	0.187737	0.396418
a23	0.358281	0.299629	0.163911	0.0751693	0.0384956	0.0291591	0.0353552
a87	0.178017	0.128446	0.0763729	0.0438788	0.0464896	0.12581	0.400985
</S>	0.0175342	0.0128307	0.00981885	0.0115734	0.0346225	0.223467	0.690154
