 	j'	ai	entendu	le	bruit	d'	un	éléphant	</S>
a23	0.346808	0.179076	0.107876	0.0715084	0.0810532	0.0965755	0.0517581	0.0351971	0.0301471
a18	0.438723	0.293259	0.103503	0.0437825	0.0368142	0.0261209	0.0180524	0.021092	0.0186524
a61	0.280258	0.249694	0.183099	0.0883549	0.0521348	0.03456	0.0258231	0.0355319	0.0505449
a83	0.346579	0.271281	0.152632	0.103706	0.068991	0.0302333	0.0119846	0.00789828	0.00669446
a90	0.256544	0.282631	0.247333	0.136744	0.0493041	0.0145602	0.00517775	0.00415894	0.00354673
a75	0.194544	0.226038	0.249764	0.201749	0.0691654	0.0236377	0.0115104	0.011212	0.0123807
a34	0.224095	0.233653	0.230886	0.179027	0.0682306	0.0266654	0.0127394	0.0119796	0.0127227
a70	0.152644	0.17051	0.208306	0.223074	0.1151	0.0554637	0.0256574	0.0231791	0.0260663
a90	0.0944336	0.0861853	0.11442	0.180567	0.183615	0.124396	0.072338	0.067413	0.0766322
a92	0.0715066	0.0517043	0.062407	0.122183	0.188472	0.159392	0.103306	0.107104	0.133926
a85	0.0557278	0.0330449	0.0318914	0.070708	0.176785	0.202361	0.144133	0.131924	0.153425
a37	0.0354904	0.027425	0.0296216	0.0553925	0.125421	0.155804	0.151809	0.197484	0.221553
a11	0.0211635	0.012211	0.0114719	0.0173249	0.0510795	0.110808	0.165125	0.256191	0.354625
a56	0.0080229	0.00390847	0.00332058	0.00494653	0.017221	0.0515952	0.133684	0.317461	0.45984
a34	0.00577492	0.00312184	0.00270917	0.00511912	0.0169619	0.0513394	0.138496	0.293713	0.482765
a83	0.0026819	0.00177184	0.00170295	0.00298127	0.00958953	0.0356949	0.120377	0.313035	0.512165
a9	0.0011086	0.000587604	0.000545908	0.00103667	0.00469706	0.0204	0.0918664	0.298714	0.581044
a87	0.014766	0.00613482	0.0042617	0.00512431	0.0125948	0.0427366	0.11741	0.280646	0.516325
a10	0.296732	0.195123	0.0960334	0.0503613	0.0453682	0.0458802	0.0570855	0.0875992	0.125817
</S>	0.222031	0.152106	0.0995279	0.043483	0.047605	0.0696588	0.103906	0.13242	0.129262
