 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
a23	0.290268	0.196527	0.13099	0.129348	0.0790908	0.0660974	0.0396209	0.034127	0.0339304
a83	0.224899	0.235722	0.211837	0.157638	0.0994675	0.0382057	0.0119957	0.00927335	0.0109618
a18	0.240093	0.205333	0.172569	0.111532	0.0704731	0.04426	0.0357572	0.049669	0.0703136
a62	0.321367	0.229335	0.146137	0.0964804	0.0898696	0.0514258	0.0251449	0.0185101	0.0217309
a47	0.429597	0.295767	0.131258	0.0679956	0.0412687	0.0166521	0.00596786	0.00513096	0.00636384
a61	0.361461	0.296624	0.149344	0.082518	0.0377643	0.0192812	0.0136614	0.0171259	0.0222198
a24	0.340282	0.286295	0.159264	0.113183	0.0535758	0.0199364	0.00836619	0.0085069	0.0105906
a75	0.238135	0.217194	0.184735	0.152085	0.0804353	0.0440702	0.0228613	0.0266033	0.0338815
a85	0.228915	0.215573	0.188343	0.157003	0.0693549	0.0373281	0.0252154	0.0341702	0.0440972
a75	0.109412	0.127278	0.193255	0.20693	0.13659	0.0720402	0.0472506	0.0498291	0.0574158
a85	0.139261	0.122828	0.153325	0.155419	0.0894791	0.0756654	0.0715597	0.0921955	0.100268
a61	0.0685662	0.0600683	0.0807775	0.093841	0.0837711	0.0970464	0.121552	0.182328	0.212049
a88	0.151828	0.120345	0.137047	0.121583	0.0712388	0.0726522	0.0713719	0.109009	0.144925
a71	0.0911041	0.0675828	0.0863894	0.100336	0.0677384	0.0757378	0.118585	0.171576	0.22095
a24	0.0490021	0.0304555	0.0355473	0.0495678	0.0352309	0.0644059	0.178954	0.258439	0.298397
a88	0.0227018	0.0149849	0.0176189	0.0244496	0.0196562	0.0475509	0.172867	0.323998	0.356173
a83	0.00868216	0.00636077	0.00892944	0.012927	0.0138558	0.0394824	0.162707	0.346649	0.400406
a9	0.00519073	0.00463597	0.00721515	0.00985198	0.0142318	0.0463542	0.182747	0.340179	0.389594
a87	0.00329995	0.00311878	0.00501585	0.00654218	0.00786767	0.0190571	0.0794066	0.337546	0.538146
a97	0.0511981	0.0381102	0.0381629	0.0404134	0.0483196	0.061812	0.107961	0.254506	0.359517
a87	0.109179	0.0904365	0.0879337	0.0877862	0.0874928	0.123532	0.127897	0.140013	0.145729
a23	0.136419	0.117802	0.101444	0.088532	0.098779	0.154295	0.118267	0.101974	0.0824887
a87	0.0986982	0.0682358	0.0748122	0.0475929	0.0584782	0.0890337	0.156871	0.187066	0.219212
</S>	0.0344094	0.0282406	0.0362568	0.0307135	0.0414218	0.0764456	0.150512	0.267956	0.334044
