 	la	mère	a	renvoyé	l'	enfant	à	la	maison	</S>
a87	0.228679	0.145347	0.149357	0.129313	0.103904	0.0868085	0.0732818	0.0462755	0.0233786	0.0136566
a10	0.255523	0.158285	0.0780179	0.0772805	0.0761736	0.08859	0.0908759	0.0747086	0.0529771	0.047568
a27	0.297485	0.191721	0.101658	0.0957654	0.063628	0.0566088	0.052595	0.04649	0.0433685	0.0506803
a10	0.364609	0.250886	0.159776	0.104562	0.0388646	0.0223816	0.0186186	0.015805	0.0120586	0.0124395
a27	0.383771	0.260696	0.157739	0.0889928	0.0299624	0.0205314	0.0185278	0.0160829	0.0114014	0.0122952
a84	0.425221	0.267497	0.156519	0.0652487	0.0198726	0.0153573	0.0149215	0.0143655	0.00972693	0.0112703
a10	0.318948	0.23881	0.174216	0.072428	0.0298737	0.0259274	0.0312482	0.0385095	0.0315541	0.0384851
a83	0.358398	0.231154	0.140631	0.0579385	0.0280564	0.026492	0.0336435	0.0440795	0.0366797	0.0429273
a34	0.194076	0.1632	0.141878	0.0749583	0.058252	0.0525688	0.0571938	0.0732339	0.0826272	0.102011
a90	0.134476	0.157538	0.202419	0.175115	0.102703	0.0533199	0.0434767	0.0406277	0.0424218	0.0479028
a25	0.0872296	0.113491	0.175078	0.204184	0.130439	0.0647685	0.0514703	0.0474306	0.0556118	0.0702975
a44	0.0828844	0.0951261	0.154197	0.221305	0.166361	0.0747604	0.0522708	0.0422073	0.0469042	0.0639832
a94	0.0627355	0.0630111	0.114407	0.208336	0.175785	0.0913268	0.0721599	0.0618794	0.067068	0.083291
a56	0.0427502	0.0385432	0.0698829	0.161385	0.180613	0.111941	0.0949533	0.0856521	0.0958191	0.118459
a0	0.0455995	0.042034	0.0784255	0.182014	0.178316	0.124227	0.102935	0.0801631	0.0797008	0.0865851
a11	0.0274532	0.0224584	0.0283637	0.0683937	0.111133	0.0967524	0.105933	0.122732	0.178098	0.238683
a50	0.0183608	0.0142162	0.0157574	0.0354937	0.0798561	0.0953144	0.116568	0.145672	0.205964	0.272797
a75	0.0135481	0.0114976	0.0119995	0.0225341	0.0440533	0.0749573	0.11659	0.172126	0.262461	0.270233
a98	0.0202342	0.0144251	0.0148738	0.0287127	0.07019	0.109467	0.138723	0.152508	0.19069	0.260177
a92	0.0124791	0.0103543	0.0123053	0.0195232	0.0550331	0.108181	0.143797	0.171666	0.207002	0.259659
a85	0.00690709	0.00475531	0.00555568	0.0117812	0.0361067	0.0928489	0.131211	0.171411	0.222484	0.31694
a5	0.00667938	0.00497771	0.00521477	0.00840872	0.0236723	0.0609033	0.0964523	0.149494	0.235813	0.408384
a96	0.0107575	0.0068764	0.00608168	0.00923598	0.0204738	0.0525826	0.0941117	0.158671	0.260283	0.380926
a83	0.001051	0.000710072	0.000543395	0.00109152	0.00350789	0.0130814	0.0373983	0.109027	0.282509	0.551081
a47	0.000270234	0.000177552	0.000106456	0.00014903	0.000649025	0.00428892	0.0182574	0.0799573	0.270463	0.625681
a88	0.000357225	0.000237139	0.000162839	0.000264388	0.00122691	0.00730923	0.0259981	0.0943512	0.277085	0.593008
a9	0.000196382	0.000130679	8.23898e-05	0.000129681	0.000566325	0.00298832	0.0116267	0.0580409	0.242513	0.683725
a87	0.00941395	0.00571311	0.00293725	0.00291881	0.0058932	0.0148878	0.0353742	0.104868	0.256688	0.561306
a23	0.0992941	0.0754986	0.0358201	0.0405272	0.0384831	0.0530653	0.0825059	0.140701	0.1989	0.235204
a87	0.0517288	0.041067	0.0184294	0.0219237	0.0268596	0.0401577	0.0637136	0.116288	0.20446	0.415372
</S>	0.015616	0.0170463	0.0104501	0.0146818	0.0196732	0.0334903	0.0482622	0.0917053	0.196176	0.552899
