 	de	la	manière	dont	mon	coeur	palpite	je	ne	tiendrai	pas	jusqu'	à	demain	</S>
a15	0.236659	0.168288	0.0952135	0.14704	0.11648	0.0736718	0.0353095	0.0328234	0.0189105	0.0220909	0.0167577	0.0121711	0.00970812	0.00833251	0.00654442
a66	0.375632	0.21008	0.081312	0.136396	0.0609313	0.0300939	0.0146953	0.0208442	0.0105877	0.0143115	0.00971326	0.00911629	0.00878309	0.00938834	0.00811532
a87	0.360513	0.207403	0.0915009	0.0989268	0.0546143	0.0463168	0.0240471	0.0255923	0.0147734	0.01911	0.0106485	0.00816574	0.00899811	0.0136321	0.0157581
a23	0.326243	0.182246	0.0957077	0.109508	0.0595069	0.0525809	0.033927	0.0441838	0.027446	0.0279726	0.0118797	0.00745688	0.00618369	0.00710291	0.00805482
a83	0.23527	0.163479	0.0971901	0.137062	0.0517815	0.0441764	0.0282919	0.0451447	0.0302126	0.0342353	0.018483	0.0196931	0.0230217	0.0321908	0.0397674
a50	0.144331	0.130005	0.116882	0.156448	0.0880946	0.0725212	0.0342001	0.0364756	0.0289418	0.0372316	0.0215635	0.0262705	0.0289791	0.0377434	0.0403134
a88	0.12016	0.15967	0.209244	0.220862	0.11995	0.0747118	0.0223347	0.0215999	0.0126368	0.00950283	0.00602739	0.00668362	0.00575411	0.00576579	0.00509583
a31	0.0913168	0.143871	0.200756	0.170491	0.117949	0.0820683	0.0329515	0.032895	0.0262587	0.0243862	0.0174161	0.0175886	0.0151708	0.0144479	0.0124329
a47	0.0738611	0.136769	0.212458	0.185044	0.138973	0.0794159	0.0294027	0.0233787	0.0213768	0.0246702	0.0195774	0.0168051	0.0140883	0.0129419	0.0112374
a31	0.0641033	0.101517	0.169836	0.214894	0.145297	0.0907078	0.0401885	0.0301209	0.0267182	0.0307336	0.0232792	0.0195783	0.0159785	0.0144844	0.012563
a93	0.051406	0.093145	0.178099	0.180734	0.159672	0.111792	0.0515285	0.034222	0.0286637	0.030072	0.0248916	0.0183985	0.0138374	0.012431	0.0111064
a70	0.0495386	0.0879468	0.159605	0.158331	0.151669	0.116262	0.0667543	0.0444978	0.0347781	0.0376262	0.0316666	0.0209045	0.0150992	0.0133134	0.0120067
a62	0.0272227	0.0458673	0.101906	0.155178	0.163905	0.15609	0.1032	0.0627785	0.0405423	0.0420322	0.0333269	0.0214561	0.0158148	0.0154732	0.0152072
