 	le	manioc	a	déjà	moisi	</S>
a66	0.44989	0.229304	0.129631	0.0885105	0.0676559	0.0350086
a87	0.376754	0.214632	0.130221	0.114119	0.10503	0.0592438
a23	0.452826	0.290738	0.108138	0.0528854	0.0516954	0.0437166
a79	0.415716	0.291422	0.13355	0.0614449	0.0528892	0.0449772
a5	0.442409	0.291541	0.131698	0.0506327	0.0479953	0.035724
a36	0.266241	0.27917	0.216708	0.10114	0.0770767	0.0596633
a90	0.231408	0.287325	0.262146	0.114956	0.0664192	0.0377458
a92	0.206279	0.279806	0.304443	0.123295	0.0513546	0.0348238
a56	0.155454	0.230081	0.314055	0.166086	0.0774577	0.0568667
a34	0.172055	0.197531	0.249413	0.187215	0.111878	0.0819075
a61	0.143613	0.158389	0.202528	0.211156	0.165922	0.118392
a11	0.0871741	0.0911123	0.126363	0.204674	0.270098	0.220578
a90	0.0459269	0.051833	0.0854886	0.183742	0.313201	0.319808
a93	0.0220034	0.0225152	0.0455208	0.162512	0.357552	0.389898
a4	0.00931571	0.00974463	0.0211101	0.0977681	0.289282	0.572779
a93	0.00345026	0.00315536	0.00554864	0.0346891	0.212621	0.740536
a70	0.00238878	0.00210695	0.00334583	0.0233707	0.204239	0.764549
a54	0.00200087	0.00188441	0.00288336	0.0204778	0.212649	0.760105
a7	0.000800698	0.000952893	0.00198266	0.0141241	0.13595	0.84619
a26	0.00106812	0.00119294	0.00231868	0.0181097	0.165379	0.811931
a57	0.0650121	0.0505108	0.0481241	0.102623	0.239137	0.494593
a97	0.256971	0.148156	0.0769688	0.0883669	0.161955	0.267582
a87	0.287257	0.205943	0.123746	0.0955197	0.132298	0.155235
a23	0.212899	0.17038	0.116202	0.111195	0.179811	0.209513
a40	0.0580304	0.0431476	0.0330374	0.0583833	0.227432	0.579969
</S>	0.0730071	0.0640518	0.0592549	0.112741	0.247145	0.443801
