 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
a23	0.422722	0.167757	0.0931836	0.060462	0.0499725	0.0424836	0.0367289	0.0371195	0.0431031	0.0464681
a79	0.369143	0.152161	0.108532	0.072715	0.0525845	0.0315085	0.0329771	0.0450538	0.0623697	0.072956
a20	0.312473	0.169179	0.093916	0.0650301	0.0444085	0.0330542	0.0383242	0.0582568	0.0813704	0.103988
a94	0.547211	0.238659	0.098946	0.0418432	0.0197205	0.0129027	0.0115049	0.0113866	0.00862387	0.00920179
a38	0.449091	0.317936	0.129155	0.0446009	0.0182605	0.00914899	0.00802319	0.00853418	0.00752115	0.0077288
a24	0.309022	0.295428	0.184983	0.0790443	0.0369929	0.0212259	0.0193183	0.0184231	0.0174106	0.0181509
a76	0.209734	0.253792	0.214724	0.126523	0.0670898	0.0346397	0.0261983	0.0227455	0.0218246	0.0227297
a94	0.217993	0.246719	0.196929	0.122137	0.0766099	0.0438595	0.0287813	0.0220825	0.0218366	0.0230525
a98	0.153826	0.221488	0.223018	0.149937	0.0913326	0.0485227	0.030871	0.0250972	0.0267605	0.0291477
a41	0.119881	0.185358	0.238682	0.185006	0.111193	0.0509445	0.0289734	0.0232694	0.0264326	0.0302595
a94	0.0937738	0.152024	0.197122	0.183332	0.13074	0.0789235	0.052284	0.0381045	0.03714	0.0365552
a75	0.0715723	0.107222	0.159404	0.198917	0.153563	0.0828542	0.0517555	0.0463621	0.0595058	0.068844
a41	0.0652397	0.088548	0.117105	0.172442	0.150737	0.0962045	0.0678543	0.0638376	0.0825202	0.0955113
a96	0.0509202	0.087235	0.120529	0.183499	0.152199	0.101667	0.0818172	0.0700272	0.0736599	0.078446
a62	0.0373238	0.0557675	0.0632411	0.120559	0.159548	0.130958	0.0900521	0.0846187	0.115281	0.142651
a88	0.0473228	0.0516638	0.0489511	0.0806292	0.130848	0.152805	0.121017	0.101834	0.125442	0.139486
a71	0.046713	0.0518594	0.0483077	0.069708	0.114865	0.15603	0.139906	0.119491	0.12932	0.1238
a9	0.0331255	0.0418577	0.0447197	0.0702253	0.137254	0.188108	0.160404	0.117717	0.111161	0.0954273
a38	0.0229997	0.0307717	0.03419	0.0671421	0.13665	0.183516	0.159843	0.124536	0.123489	0.116862
a21	0.0304546	0.0397821	0.0429661	0.0726954	0.133991	0.165068	0.151149	0.131068	0.122952	0.109874
a12	0.067678	0.0600636	0.0419232	0.0491513	0.0793907	0.109505	0.122027	0.15188	0.169401	0.14898
a75	0.0348319	0.0317388	0.027618	0.0339905	0.0612004	0.101823	0.132857	0.186075	0.208096	0.181769
a41	0.0163365	0.0169771	0.019748	0.0374615	0.0685509	0.115766	0.138203	0.171669	0.20776	0.207529
a96	0.017477	0.0225066	0.0250626	0.0441066	0.0699646	0.10978	0.137397	0.171866	0.201625	0.200214
a62	0.0129517	0.0161242	0.019569	0.0359259	0.0575518	0.0991711	0.137395	0.182675	0.225995	0.212641
a41	0.0145678	0.0170021	0.0188465	0.0307032	0.0462976	0.0803049	0.117816	0.188515	0.25902	0.226926
a96	0.0105517	0.0147985	0.0183394	0.0320648	0.0487573	0.0841569	0.123869	0.186191	0.244042	0.237229
a70	0.006903	0.00864825	0.0107856	0.0217635	0.0384762	0.0669732	0.101921	0.181489	0.287325	0.275715
a76	0.0071489	0.00832539	0.0094246	0.017634	0.0322263	0.0545185	0.0865551	0.167152	0.294332	0.322683
a69	0.0099216	0.0144711	0.0201395	0.0348874	0.0464901	0.0579844	0.0776674	0.138846	0.269749	0.329843
a58	0.0133626	0.0165821	0.0229022	0.039568	0.0611203	0.0709137	0.0871687	0.147582	0.262965	0.277835
a82	0.00430517	0.00559465	0.00772849	0.0187382	0.0378822	0.0543256	0.0772671	0.145085	0.29033	0.358743
a53	0.00164379	0.00120667	0.00131097	0.00333061	0.00798335	0.018671	0.0419427	0.123176	0.330045	0.47069
a90	0.00212545	0.00193806	0.00223401	0.00464316	0.0112739	0.0228366	0.0470551	0.128183	0.325378	0.454333
a56	0.00243251	0.00178038	0.00186966	0.00338897	0.00733184	0.0123723	0.0285507	0.110888	0.31163	0.519756
a43	0.00314055	0.00254464	0.00246707	0.00419178	0.00856853	0.0144733	0.0306634	0.108446	0.312872	0.512633
a75	0.00281018	0.00250342	0.0025895	0.00409652	0.00726585	0.0112642	0.0276727	0.111776	0.305818	0.524204
a12	0.00258854	0.00273212	0.00354409	0.00700337	0.0132539	0.0207305	0.0429185	0.139821	0.31955	0.447858
a62	0.00245647	0.00285788	0.00323696	0.00551121	0.00928725	0.0152061	0.0297702	0.09994	0.298059	0.533675
a21	0.00258076	0.00323491	0.00342014	0.006097	0.0096139	0.0180093	0.0341934	0.0984816	0.284879	0.53949
a90	0.00125988	0.00132684	0.00146817	0.00281054	0.00510278	0.0103179	0.0254395	0.100667	0.30433	0.547277
a57	0.00203116	0.00238255	0.00274601	0.00484778	0.00901124	0.0169901	0.0353494	0.116773	0.308273	0.501596
a53	0.00136715	0.0017635	0.0025975	0.00569408	0.0109377	0.0180164	0.036699	0.113975	0.291586	0.517364
a90	0.00317655	0.00325618	0.00363971	0.00562063	0.00998039	0.0164372	0.0308973	0.0980982	0.296818	0.532075
a56	0.00734978	0.00655381	0.00663354	0.00941515	0.0155076	0.024967	0.0415101	0.105871	0.280197	0.501995
a47	0.00646423	0.00616917	0.00608688	0.00846098	0.0136157	0.0215563	0.0372133	0.100019	0.280574	0.51984
a18	0.0050381	0.00491972	0.00523093	0.00792954	0.0128314	0.0191749	0.0333024	0.0947177	0.283158	0.533697
a25	0.00336367	0.00341627	0.00371354	0.00606376	0.00996343	0.0158425	0.032507	0.0987146	0.290458	0.535957
