 	j'	ai	apporté	du	gibier	à	mon	beau-père	</S>
a66	0.265	0.136755	0.078287	0.0713072	0.180169	0.149231	0.0728239	0.0270829	0.0193438
a87	0.333237	0.215723	0.174584	0.104264	0.065119	0.0383509	0.0252164	0.0213275	0.0221783
a23	0.428793	0.280033	0.157465	0.0468078	0.0265268	0.0150215	0.0135415	0.0146061	0.0172058
a99	0.356725	0.321364	0.219638	0.0402748	0.0135862	0.00721409	0.00934511	0.0144491	0.0174032
a24	0.359809	0.300396	0.206756	0.0435105	0.0168022	0.0103096	0.0130667	0.0219988	0.0273519
a88	0.330324	0.26384	0.18732	0.0559	0.0339889	0.0256694	0.0288255	0.0364354	0.0376967
a62	0.308229	0.310934	0.188686	0.0750967	0.0456507	0.0241107	0.0207351	0.0152377	0.0113192
a47	0.13308	0.235618	0.271695	0.159985	0.0836992	0.0401083	0.0316998	0.0264914	0.0176245
a62	0.135237	0.237994	0.268023	0.14987	0.0735806	0.0420776	0.0324595	0.0321878	0.0285701
a83	0.12228	0.180276	0.232529	0.191331	0.127319	0.0692975	0.0366385	0.0222193	0.0181087
a75	0.0947012	0.137869	0.193892	0.203811	0.151111	0.095065	0.052263	0.0374213	0.0338649
a85	0.0500592	0.0638794	0.111595	0.209499	0.207249	0.171435	0.0943388	0.0487597	0.0431843
a47	0.0439849	0.0555495	0.104013	0.195854	0.207888	0.18772	0.108689	0.0540903	0.0422119
a92	0.0295573	0.0270417	0.049909	0.122126	0.186953	0.243979	0.144304	0.0933546	0.102775
a6	0.0260495	0.0255932	0.0427429	0.107524	0.193815	0.256182	0.149105	0.0974165	0.101572
a56	0.0128808	0.0128014	0.0224179	0.0740579	0.178367	0.254168	0.163321	0.135116	0.14687
a43	0.0243462	0.0210113	0.0270705	0.0730003	0.193318	0.245274	0.160566	0.114604	0.14081
a75	0.0161609	0.0133556	0.0157943	0.0335525	0.117747	0.237058	0.188065	0.151898	0.226369
a6	0.00435928	0.00403465	0.0064492	0.0137634	0.0459766	0.155971	0.164651	0.23586	0.368935
a92	0.00331662	0.00291469	0.00451781	0.0111775	0.037015	0.135127	0.165313	0.243874	0.396744
a37	0.00279393	0.00250511	0.00375893	0.00999735	0.0387181	0.132834	0.171025	0.25359	0.384778
a75	0.00370534	0.00285287	0.00254107	0.00415182	0.0102674	0.047578	0.0853145	0.246962	0.596627
a5	0.00100259	0.000827907	0.00107571	0.0022773	0.00656378	0.0374931	0.0818339	0.296533	0.572393
a47	0.00110066	0.000761871	0.000750621	0.00143764	0.00370307	0.0181782	0.0481947	0.296952	0.628922
a61	0.00127746	0.000988415	0.000827289	0.00117869	0.002107	0.00882164	0.0282117	0.269389	0.687199
a88	0.000702859	0.000514562	0.000506575	0.000954669	0.00238429	0.00820834	0.0227862	0.233119	0.730823
a11	0.00031443	0.000282133	0.000325011	0.00054499	0.00117521	0.00454761	0.0130487	0.195118	0.784644
a70	0.00392166	0.00273519	0.0025718	0.00384731	0.00711635	0.0199483	0.0423843	0.241785	0.67569
a66	0.000728213	0.000636626	0.000680001	0.00120297	0.00272877	0.00984889	0.0268985	0.224935	0.732341
a9	0.0062096	0.00350809	0.00325134	0.00546286	0.0104876	0.0320393	0.066985	0.245318	0.626738
a87	0.0281776	0.0135434	0.0105755	0.016072	0.0236906	0.0526799	0.0812496	0.221946	0.552066
a23	0.245307	0.11924	0.0826436	0.0642243	0.0636292	0.0623519	0.0694216	0.117467	0.175715
a87	0.162911	0.0877703	0.0508023	0.0359747	0.023893	0.0375865	0.0565054	0.177496	0.36706
</S>	0.0464947	0.0293971	0.0182384	0.0135201	0.00999022	0.0215196	0.0415455	0.212407	0.606887
