 	j'	ai	oublié	de	l'	argent	à	la	maison	</S>
a66	0.259135	0.146189	0.0812951	0.0919211	0.0995468	0.10998	0.0846472	0.0632997	0.042211	0.0217753
a87	0.133141	0.0685496	0.049454	0.0851651	0.126157	0.149048	0.119502	0.0994154	0.0973591	0.0722093
a10	0.225376	0.121205	0.0800024	0.106009	0.118565	0.108699	0.0775285	0.0597209	0.0553171	0.0475777
a87	0.19975	0.113265	0.101205	0.140621	0.146797	0.114365	0.0738199	0.0468897	0.0353997	0.0278876
a97	0.235607	0.132355	0.0962054	0.120684	0.130733	0.109941	0.0737483	0.0455451	0.0318614	0.0233205
a99	0.188658	0.109214	0.111574	0.139748	0.149547	0.12034	0.0798256	0.0469853	0.0316492	0.0224589
a50	0.291308	0.179571	0.0564097	0.0568985	0.0714613	0.0911243	0.0928256	0.0702181	0.0491483	0.0410359
a96	0.268946	0.179786	0.109944	0.071332	0.0645648	0.0724689	0.0827884	0.0714925	0.0451693	0.0335075
a88	0.261131	0.206256	0.139937	0.0689881	0.0543496	0.0604583	0.0634616	0.0667612	0.0454603	0.033198
a75	0.170978	0.16274	0.156643	0.0920904	0.0815085	0.0768213	0.0698734	0.0758423	0.0630286	0.0504746
a6	0.0842724	0.0999318	0.141812	0.118883	0.11564	0.113754	0.098173	0.0952436	0.0742016	0.0580877
a79	0.0620869	0.0718501	0.132078	0.138122	0.134516	0.1295	0.100092	0.0897894	0.0741854	0.0677809
a69	0.0397245	0.0410452	0.117284	0.161856	0.159759	0.145096	0.0978171	0.0853545	0.0758966	0.0761661
a90	0.0207759	0.0236792	0.0929114	0.165684	0.177727	0.151347	0.106114	0.0905373	0.0816818	0.0895429
a94	0.0146671	0.0172627	0.0788206	0.137473	0.17378	0.169741	0.125864	0.10596	0.0885513	0.0878797
a44	0.00348613	0.00441932	0.0251931	0.0629801	0.122353	0.149242	0.148684	0.145364	0.147873	0.190406
a13	0.00211307	0.00258171	0.0138037	0.0378545	0.0896255	0.125698	0.144994	0.155872	0.179148	0.248309
a47	0.000682154	0.000942374	0.00443532	0.0150497	0.0449248	0.0698925	0.105657	0.130883	0.218755	0.408777
a88	0.000622764	0.000883236	0.00525299	0.0159764	0.048327	0.0743446	0.118973	0.146342	0.225405	0.363873
a71	0.000279645	0.000447199	0.00275815	0.00742677	0.0268936	0.0468333	0.0995362	0.132524	0.244182	0.439119
a9	0.00157704	0.00200049	0.00723213	0.0203293	0.0607407	0.0799286	0.121747	0.136185	0.202613	0.367648
a87	0.0251404	0.0184398	0.0338228	0.0538838	0.100644	0.11087	0.135853	0.135074	0.154898	0.231375
a97	0.0798623	0.0477648	0.0622476	0.0786328	0.114067	0.119755	0.12865	0.117765	0.116877	0.134378
</S>	0.0544505	0.0449152	0.0601628	0.0809244	0.116437	0.11936	0.134819	0.128368	0.13216	0.128403
