 	parmi	vous	deux	qui	ira	à	l'	étranger	avant	l'	autre	</S>
a66	0.215195	0.103636	0.079044	0.0693963	0.0895441	0.104303	0.0872661	0.0821014	0.0548951	0.0391453	0.0340085	0.0414652
a87	0.233227	0.11425	0.068878	0.0530781	0.0570259	0.0688462	0.0515554	0.0472941	0.066582	0.0600473	0.0713743	0.107842
a23	0.481005	0.173325	0.0732997	0.0425417	0.0324949	0.0360179	0.0345959	0.0281551	0.0164179	0.0174817	0.0221158	0.0425488
a87	0.392268	0.173457	0.0661837	0.045069	0.0368028	0.050758	0.043808	0.045025	0.0319052	0.0374317	0.0310371	0.0462544
a10	0.303771	0.140552	0.0588669	0.0516961	0.044525	0.0639047	0.0627011	0.0663425	0.0578302	0.0570245	0.0427924	0.0499928
a54	0.325514	0.142563	0.058855	0.0461401	0.0330498	0.0413648	0.04074	0.0501744	0.0622462	0.067881	0.0613231	0.0701493
a47	0.369285	0.232745	0.0993705	0.0509975	0.0266371	0.0281131	0.0169824	0.016797	0.0219463	0.0349099	0.0414709	0.0607448
a5	0.299259	0.286663	0.114333	0.0561953	0.0294244	0.0307064	0.0182777	0.0178924	0.024451	0.0399737	0.0369285	0.0458968
a41	0.203607	0.232556	0.124614	0.0880768	0.0659074	0.061364	0.0478473	0.0427332	0.0283346	0.0373566	0.0318035	0.035799
a37	0.153679	0.199137	0.160976	0.121679	0.0931242	0.0773777	0.0578285	0.0368502	0.0217428	0.0256507	0.0226996	0.0292552
a66	0.0760105	0.127465	0.155842	0.14572	0.128128	0.0946576	0.0703724	0.0483464	0.0284838	0.0378637	0.0381585	0.0489523
a61	0.0532961	0.0965903	0.147589	0.149905	0.124303	0.0839635	0.0657685	0.0425654	0.0313695	0.0466799	0.0650697	0.0929002
a31	0.0433142	0.0732225	0.128105	0.152097	0.156527	0.110721	0.0870334	0.0569417	0.0334924	0.042254	0.050239	0.0660519
a75	0.0418837	0.0604299	0.113734	0.140911	0.165038	0.12087	0.10037	0.0761507	0.047337	0.0467064	0.041906	0.0446637
a85	0.035051	0.0458958	0.0786045	0.0978802	0.14802	0.127013	0.108679	0.0898373	0.0720683	0.0739531	0.0568965	0.0661018
a44	0.0489474	0.0670948	0.102163	0.111648	0.150897	0.121328	0.0973924	0.0669458	0.0582064	0.0633782	0.0509078	0.0610913
a53	0.0140631	0.0202363	0.0583523	0.0909865	0.180534	0.13986	0.119529	0.0793631	0.0584717	0.0616676	0.0701692	0.106767
a90	0.0160887	0.0183665	0.0388932	0.0545218	0.130061	0.114987	0.105901	0.0747194	0.0708854	0.083772	0.110575	0.181229
a56	0.0197381	0.0222335	0.0432732	0.0507321	0.1101	0.0982324	0.0932825	0.0726397	0.0769101	0.100345	0.124265	0.188247
a70	0.013426	0.0157369	0.0384674	0.0493342	0.114195	0.110633	0.114604	0.0861992	0.0838636	0.0990066	0.115222	0.159312
a61	0.00835814	0.0110885	0.0238866	0.0365278	0.0968485	0.094884	0.0984861	0.0813296	0.101519	0.119067	0.135044	0.192961
a56	0.00951888	0.0127704	0.0270519	0.0399555	0.106635	0.105606	0.108764	0.0932695	0.100839	0.109236	0.11869	0.167665
a96	0.00956555	0.0131807	0.0336247	0.0477248	0.0991516	0.0991337	0.11353	0.0938495	0.10461	0.115534	0.125482	0.144615
a66	0.0049148	0.00708282	0.0190627	0.0310774	0.0735105	0.0700205	0.0751463	0.0714206	0.1115	0.133161	0.160066	0.243038
a90	0.00351105	0.00420478	0.00906025	0.0153695	0.0445785	0.04846	0.0591928	0.0626234	0.136976	0.146819	0.169956	0.299249
