 	le	feu	est	en	train	de	brûler	dans	le	champ	</S>
a66	0.191974	0.154948	0.13336	0.108818	0.115109	0.116488	0.0667255	0.0348187	0.028894	0.0259316	0.0229344
a87	0.242228	0.145734	0.10364	0.0823569	0.08589	0.0892708	0.064646	0.0531622	0.0441008	0.0440918	0.0448805
a23	0.309049	0.231901	0.144542	0.0995116	0.0782469	0.0728906	0.0279937	0.0099237	0.00840224	0.00867623	0.00886232
a83	0.322786	0.22292	0.133523	0.0985487	0.0727473	0.0655057	0.0233827	0.00857336	0.0100798	0.0161695	0.0257628
a62	0.216449	0.104636	0.0635174	0.05331	0.0561913	0.0965016	0.165826	0.0570151	0.0417709	0.0600827	0.0846993
a5	0.143581	0.098284	0.0791907	0.07523	0.110493	0.162919	0.23709	0.0475903	0.0179713	0.0147151	0.0129356
a37	0.0849618	0.0612644	0.0563445	0.0626331	0.0954245	0.153473	0.296277	0.100524	0.036187	0.0278574	0.0250532
a56	0.0435652	0.0391943	0.049261	0.0704539	0.11258	0.195645	0.315858	0.101295	0.0301297	0.0215462	0.0204723
a12	0.0415647	0.0434837	0.0557068	0.0784223	0.118066	0.192675	0.297196	0.108327	0.0266643	0.0197023	0.018193
a47	0.0441978	0.0468508	0.0550973	0.0740015	0.0925763	0.159657	0.26201	0.134539	0.0468246	0.0401023	0.0441437
a34	0.0462629	0.0471214	0.052075	0.069944	0.0860592	0.144182	0.209114	0.169604	0.0654719	0.0501114	0.0600533
a56	0.030276	0.0322385	0.0356256	0.0488094	0.06029	0.0994088	0.144847	0.204662	0.128967	0.103801	0.111075
a98	0.0218893	0.0218142	0.0236744	0.033155	0.0403412	0.0620234	0.0794034	0.172661	0.199908	0.17449	0.170639
a56	0.00883847	0.0097534	0.00985823	0.0127081	0.0147489	0.0231086	0.0361686	0.104528	0.22689	0.268069	0.285328
a75	0.0120086	0.0103216	0.00998149	0.01273	0.0132875	0.015496	0.0135449	0.0508242	0.188346	0.317261	0.356199
a92	0.00109127	0.000934743	0.000906796	0.00113063	0.00112005	0.00129381	0.0019222	0.0167944	0.125532	0.346757	0.502517
a37	0.000494126	0.000399093	0.00035995	0.000458537	0.000499028	0.000619187	0.00106107	0.0100986	0.0795708	0.298743	0.607696
a93	0.00179226	0.00149672	0.00129787	0.00142779	0.00142873	0.00135081	0.0013639	0.00851437	0.0511383	0.226971	0.703218
a94	0.00167743	0.00134467	0.00118915	0.00144317	0.00148134	0.0013406	0.00132876	0.00952936	0.054629	0.232815	0.693222
a70	0.00329568	0.00243853	0.00208612	0.00241321	0.00252879	0.00232618	0.0032045	0.0158465	0.0622604	0.196625	0.706975
a27	0.003754	0.00265168	0.00201049	0.00200054	0.00233001	0.00233134	0.00406525	0.0163104	0.0624483	0.214367	0.687731
a30	0.0701351	0.0448509	0.035212	0.0362011	0.0492043	0.0459934	0.0278718	0.047383	0.0867139	0.154338	0.402097
a10	0.20556	0.116515	0.0780037	0.0766281	0.0800408	0.060593	0.020717	0.031585	0.0560812	0.0959703	0.178306
a87	0.214858	0.13646	0.0961927	0.0929217	0.0892404	0.06709	0.0194722	0.0227389	0.0375782	0.0733749	0.150073
a23	0.234956	0.159618	0.114847	0.105091	0.0954895	0.0743373	0.0248751	0.0255311	0.0324967	0.0520292	0.080729
a87	0.183479	0.121313	0.076919	0.0703241	0.0767318	0.0629459	0.0200523	0.0274753	0.0628217	0.120034	0.177904
</S>	0.0247854	0.0182243	0.0125652	0.012796	0.0151674	0.014405	0.00910359	0.020692	0.0620178	0.234041	0.576203
