 	obateme	nous	a	raconté	ce	qu'	il	a	vu	à	ekyembe	</S>
a66	0.245931	0.137338	0.101707	0.0649212	0.0799729	0.10501	0.0812869	0.0705369	0.0471082	0.0260254	0.0215413	0.0186215
a87	0.36656	0.154916	0.119828	0.0564893	0.0404668	0.0408322	0.0300476	0.0329366	0.0332528	0.0376272	0.0430367	0.0440065
a23	0.478593	0.178903	0.0819554	0.0319145	0.022959	0.023342	0.0218647	0.025243	0.0281028	0.0291411	0.0319717	0.0460092
a79	0.31207	0.0835363	0.0523356	0.0420041	0.0534714	0.0524158	0.0340041	0.0385965	0.0467903	0.0648407	0.086729	0.133206
a4	0.325857	0.121286	0.0906032	0.0499651	0.0342937	0.0266956	0.0205056	0.0292103	0.0438747	0.072407	0.087595	0.0977076
a98	0.334392	0.228472	0.219845	0.0843858	0.0314644	0.016555	0.0109948	0.0118484	0.0145832	0.0182457	0.0169576	0.0122552
a47	0.180443	0.177219	0.251666	0.126931	0.0527887	0.028218	0.0211179	0.0233387	0.0278025	0.0376164	0.040484	0.0323743
a36	0.119535	0.17109	0.300792	0.143891	0.0709342	0.035808	0.0224552	0.0227923	0.0253361	0.0299817	0.0283728	0.0290123
a21	0.108995	0.133681	0.243391	0.145454	0.104457	0.059036	0.0348435	0.0302686	0.0303837	0.0349888	0.0362378	0.0382626
a92	0.102576	0.152228	0.197503	0.139575	0.140875	0.0946966	0.0491204	0.0343054	0.025468	0.020346	0.0190042	0.0243013
a37	0.0306332	0.0716926	0.135445	0.153058	0.199094	0.145737	0.0800906	0.0598869	0.0414108	0.0275594	0.0244743	0.0309181
a85	0.0215365	0.0482085	0.109576	0.153456	0.21999	0.170566	0.0929261	0.0629848	0.0403439	0.0257547	0.0239802	0.0306774
a5	0.00397577	0.0123364	0.0531359	0.133428	0.225801	0.192182	0.128782	0.0887304	0.0565233	0.0322836	0.0302378	0.0425834
a21	0.0084187	0.0185103	0.0522612	0.116385	0.224521	0.206163	0.132378	0.0859828	0.0508679	0.0303663	0.0275875	0.0465585
a12	0.00675878	0.013843	0.0336343	0.0737519	0.134898	0.162473	0.158059	0.121572	0.0899144	0.0581039	0.0546302	0.0923617
a18	0.00252187	0.00568708	0.0181116	0.0616521	0.121451	0.174768	0.192616	0.159029	0.103688	0.0537508	0.0411586	0.0655645
a0	0.00336857	0.00604611	0.0163812	0.0400022	0.0908724	0.166174	0.194958	0.181132	0.118847	0.0602173	0.047644	0.0743566
a88	0.00472317	0.00740713	0.0163015	0.0305719	0.0596043	0.108945	0.152235	0.187275	0.141944	0.0819594	0.0732363	0.135797
a71	0.00320631	0.0048173	0.00993639	0.0192846	0.0417456	0.0819138	0.128545	0.178229	0.162378	0.111528	0.097783	0.160633
a38	0.00634489	0.00810483	0.0102503	0.0115524	0.0252548	0.061004	0.111828	0.188849	0.180041	0.124373	0.110445	0.161953
a90	0.00625236	0.0075767	0.00957652	0.0132356	0.0304301	0.0544403	0.0893638	0.157856	0.171118	0.125435	0.114041	0.220676
a21	0.00127068	0.0020237	0.00591268	0.0177927	0.0246079	0.0365883	0.080027	0.139698	0.182413	0.173001	0.13505	0.201615
a12	0.00159882	0.00247855	0.00539601	0.014298	0.0216766	0.0333484	0.0628927	0.103317	0.14974	0.177332	0.158192	0.269731
a18	0.000490902	0.000791437	0.00258403	0.00875235	0.0171261	0.0258746	0.0408651	0.0695937	0.109634	0.172909	0.192874	0.358505
a21	0.000779771	0.00115752	0.0020114	0.00317684	0.00572135	0.0111701	0.0202108	0.0428905	0.0682731	0.119856	0.200691	0.524062
a56	0.000459063	0.000659451	0.00177308	0.00523065	0.00894154	0.0155336	0.0297579	0.0549146	0.0975144	0.185577	0.225779	0.37386
a93	0.000301554	0.000398281	0.000981423	0.00297959	0.00603889	0.0106931	0.0187952	0.0351162	0.0652888	0.143149	0.245199	0.471059
a70	0.00016607	0.000298397	0.000848442	0.00257294	0.00561139	0.00999388	0.0176075	0.0334274	0.0561366	0.120258	0.195151	0.557929
a62	0.000214218	0.000348761	0.000863561	0.00239724	0.00533259	0.0102168	0.0170167	0.0293155	0.0471971	0.10604	0.18291	0.598147
a88	0.000239433	0.000341716	0.000711361	0.00204829	0.0043818	0.00929451	0.017134	0.0307281	0.0509962	0.116042	0.206502	0.56158
a50	0.000158677	0.000248597	0.000519982	0.00129569	0.0023864	0.00513209	0.00876673	0.0153409	0.0267753	0.0729061	0.201061	0.665408
a83	0.000453646	0.000615335	0.00111022	0.00203399	0.00269015	0.00464783	0.00840267	0.0161123	0.0316072	0.0834798	0.234785	0.614062
a9	0.000286619	0.000368811	0.000642584	0.00119684	0.00174504	0.00342907	0.0073946	0.0157695	0.0319418	0.0842497	0.226296	0.626679
a87	0.0017527	0.00256531	0.00371045	0.00374384	0.00473498	0.0075952	0.0163068	0.0307636	0.0540138	0.107485	0.234983	0.532345
a23	0.0770005	0.0736695	0.0736782	0.0510045	0.0405479	0.0399898	0.0513818	0.0615391	0.0811483	0.104944	0.141848	0.203249
a87	0.0381741	0.0309919	0.0253184	0.0174922	0.0188748	0.0266804	0.0404254	0.0544081	0.0778496	0.125397	0.181459	0.362929
</S>	0.00579583	0.00481671	0.00555419	0.00741621	0.0108736	0.0169289	0.0302221	0.0386898	0.0504097	0.0889772	0.169575	0.57074
