 	ceux-ci	sont	des	habits	à	vendre	ceux-là	sont	à	porter	pour	tes	cadets	toi	</S>
a66	0.128525	0.0835306	0.0687829	0.0826305	0.107943	0.110386	0.0987569	0.082451	0.0623581	0.0631097	0.029596	0.0282481	0.0200303	0.0170488	0.0166035
a87	0.111607	0.0822576	0.0778357	0.069315	0.0505526	0.0396838	0.03376	0.0530841	0.0567108	0.0753722	0.0897077	0.0874335	0.0782866	0.0525047	0.0418883
a23	0.431458	0.110461	0.0682405	0.0411972	0.0258041	0.0214762	0.0175549	0.0218776	0.0241042	0.0296881	0.0441746	0.0566007	0.0456458	0.0350374	0.0266798
a99	0.385402	0.171584	0.118994	0.0601547	0.0242333	0.013199	0.0112649	0.0145503	0.01567	0.020594	0.0336711	0.0449498	0.0376246	0.024405	0.0237044
a61	0.284353	0.124414	0.0826116	0.0488156	0.0305705	0.0185395	0.018697	0.0287855	0.0419508	0.0411507	0.0560523	0.0794774	0.0557918	0.0426066	0.0461832
a31	0.189029	0.116989	0.0839418	0.0585159	0.0402138	0.027225	0.0229207	0.0285126	0.0339873	0.0275417	0.0477657	0.0830802	0.109565	0.0670621	0.0636501
a88	0.242259	0.183298	0.140732	0.0872152	0.0486845	0.0305332	0.0222274	0.0227713	0.0278386	0.025991	0.0284149	0.0442312	0.0390219	0.0289161	0.0278655
a75	0.191969	0.16841	0.147392	0.103646	0.0650616	0.0463621	0.0380358	0.0343948	0.0370032	0.0349137	0.0258935	0.0300296	0.0255602	0.0241724	0.0271569
a85	0.104284	0.116067	0.122143	0.124638	0.0873247	0.0616144	0.0528707	0.0472265	0.0410384	0.0378388	0.0321068	0.0409098	0.0427797	0.0419625	0.0471962
a5	0.0670433	0.0899466	0.116375	0.140831	0.102992	0.0862869	0.0792172	0.063379	0.04713	0.0380609	0.0233819	0.0263938	0.0321257	0.0357328	0.051104
a85	0.112338	0.128347	0.160931	0.155172	0.102939	0.0795016	0.0593322	0.0430511	0.0327026	0.0314639	0.0195969	0.020373	0.01803	0.0172934	0.0189276
a5	0.0456022	0.0688761	0.0925208	0.123405	0.0991932	0.0987795	0.0930351	0.0792714	0.0615842	0.0542146	0.0294243	0.0316486	0.0375319	0.0383058	0.0466067
a47	0.0346147	0.0607112	0.101348	0.146752	0.125478	0.132523	0.110222	0.0768656	0.0534767	0.0529586	0.02287	0.0199384	0.0190834	0.0200064	0.0231513
a88	0.0262897	0.0447094	0.0752216	0.127652	0.134901	0.142833	0.12475	0.086037	0.0604199	0.0600744	0.0251346	0.0199954	0.0202724	0.0227974	0.0289128
a62	0.0296786	0.0402206	0.0551122	0.0925391	0.121342	0.121279	0.123917	0.102451	0.0869082	0.0810546	0.036586	0.0284012	0.0206434	0.0263503	0.0335165
a61	0.0177397	0.0259971	0.0441708	0.0858234	0.106107	0.120201	0.128182	0.111466	0.098579	0.107296	0.0421276	0.0308567	0.0233383	0.0275118	0.0306032
a21	0.0184521	0.0246001	0.0367483	0.0680921	0.0861802	0.10977	0.128995	0.118735	0.111081	0.120962	0.0435084	0.0336109	0.0292923	0.0327727	0.0372013
a5	0.0297514	0.0308358	0.0361598	0.0557272	0.0729095	0.100588	0.114177	0.107201	0.107903	0.131032	0.0463379	0.0362587	0.0382995	0.043061	0.0497581
a36	0.0144939	0.0192281	0.0266441	0.0481845	0.0587084	0.0852729	0.106898	0.106338	0.12274	0.143127	0.0549348	0.0431646	0.0408715	0.0563421	0.0730531
a27	0.0320794	0.0321515	0.0327949	0.0439779	0.0488005	0.0559061	0.084047	0.104628	0.139102	0.174559	0.0606814	0.0437554	0.036607	0.050066	0.0608447
a57	0.0970419	0.0703679	0.0684584	0.0765997	0.0669714	0.074402	0.0755357	0.0717636	0.0716844	0.0908872	0.0460177	0.0419457	0.0367008	0.0556056	0.0560179
a87	0.0752909	0.0459399	0.0447412	0.0543177	0.0589441	0.0637129	0.0694859	0.0747593	0.0785828	0.103451	0.073639	0.0682045	0.0608146	0.0679312	0.0601852
a23	0.105401	0.0491689	0.0316705	0.0284882	0.0367625	0.0390477	0.039884	0.049775	0.0571516	0.0649912	0.0759644	0.0961838	0.13638	0.108693	0.0804384
a99	0.0149181	0.0114781	0.0105272	0.0192439	0.0276436	0.0413965	0.0519745	0.0682091	0.071646	0.0714417	0.127056	0.13831	0.162013	0.0951592	0.088984
a83	0.00447452	0.00661073	0.00846095	0.0169265	0.0351199	0.0362414	0.0478932	0.0883406	0.129538	0.0959851	0.132734	0.134837	0.0816242	0.0776934	0.103521
a61	0.00400461	0.00583229	0.00829373	0.0151048	0.0322424	0.031953	0.0326606	0.0553257	0.0928126	0.0613549	0.123187	0.173784	0.105678	0.115655	0.142111
a24	0.00489742	0.00615953	0.00900687	0.0163409	0.0269763	0.0332595	0.0308329	0.0416864	0.0620452	0.0524461	0.101512	0.148659	0.14616	0.153063	0.166956
a47	0.00635448	0.00846707	0.0106509	0.0176758	0.0288061	0.0384677	0.0506341	0.0708536	0.111778	0.0936099	0.129062	0.139118	0.0856673	0.10074	0.108116
a88	0.00796548	0.0100946	0.0116989	0.0198505	0.0307424	0.0373373	0.046823	0.0621358	0.0944265	0.0871691	0.139295	0.153185	0.0959335	0.100732	0.102611
a71	0.00360704	0.0050109	0.00726708	0.0143269	0.018436	0.0264612	0.0348648	0.0466955	0.0771397	0.0756411	0.12575	0.145959	0.121358	0.143539	0.153943
a83	0.00823277	0.00891732	0.00926028	0.0157658	0.0254566	0.0314867	0.0462846	0.0695679	0.129571	0.125086	0.150168	0.123471	0.060528	0.0876512	0.108554
a61	0.00367442	0.00396424	0.00462286	0.00829642	0.0135034	0.0171659	0.0248423	0.0396605	0.0826626	0.0831326	0.154272	0.174431	0.0998061	0.138118	0.151847
