 	il	n'	a	plus	qu'	un	an	à	vivre	</S>
a23	0.21405	0.174897	0.131812	0.120426	0.109346	0.0909701	0.0495695	0.0401337	0.0368043	0.0319922
a87	0.218291	0.137497	0.113522	0.0777806	0.0731426	0.0690776	0.0659637	0.0659056	0.0804562	0.0983639
a10	0.108881	0.0880144	0.0850019	0.0628709	0.0627933	0.0670902	0.100679	0.103957	0.140597	0.180115
a57	0.127957	0.115763	0.114611	0.0830685	0.0732246	0.0771701	0.106392	0.0958775	0.0965377	0.109399
a9	0.154613	0.127488	0.099878	0.0573911	0.0457602	0.0578214	0.113532	0.115898	0.10898	0.118638
a97	0.158274	0.144463	0.111711	0.0629127	0.044796	0.0543179	0.101466	0.111865	0.104368	0.105826
a79	0.209084	0.14614	0.108268	0.0635836	0.0504302	0.0652859	0.0876767	0.0884852	0.0837072	0.097339
a20	0.261718	0.18688	0.105693	0.0493155	0.0358762	0.0369972	0.0615592	0.0783609	0.0770805	0.10652
a94	0.411889	0.247123	0.123536	0.0567058	0.0426373	0.0304503	0.0275153	0.0239821	0.017411	0.0187495
a20	0.30004	0.25407	0.170743	0.0791646	0.0601905	0.0421172	0.0343053	0.0278648	0.0169233	0.0145814
a94	0.20688	0.19163	0.164568	0.117873	0.104136	0.0764557	0.0566595	0.0415168	0.0226378	0.0176432
a66	0.192082	0.184235	0.166652	0.11711	0.108868	0.0840273	0.0601892	0.0425078	0.0244039	0.0199246
a98	0.143391	0.142437	0.150458	0.124081	0.120476	0.0905536	0.0739524	0.0646992	0.0471118	0.0428392
a14	0.11252	0.132436	0.160869	0.137935	0.129882	0.0994582	0.0795821	0.066241	0.0432221	0.0378549
a30	0.112994	0.127854	0.15296	0.127635	0.121302	0.0939021	0.0824351	0.0751603	0.0526772	0.0530795
a73	0.058114	0.0698411	0.10429	0.119007	0.128551	0.120223	0.129012	0.117563	0.0753001	0.0780976
a76	0.0248594	0.0269486	0.042665	0.0630004	0.0894725	0.127329	0.214418	0.185168	0.115592	0.110547
a73	0.0528422	0.0508963	0.0657392	0.093233	0.116367	0.122758	0.149725	0.138221	0.10973	0.100488
a84	0.0462797	0.0463723	0.0610563	0.0869192	0.104999	0.102376	0.138457	0.157687	0.131878	0.123976
a15	0.0172876	0.0152114	0.0239751	0.049063	0.0885049	0.133704	0.219147	0.190103	0.131555	0.131449
a44	0.0170147	0.0164976	0.0202633	0.0305411	0.0485843	0.07846	0.193067	0.222656	0.191077	0.181839
a75	0.0223867	0.0208986	0.0253294	0.0400838	0.0699092	0.101751	0.174333	0.198278	0.168612	0.17842
a35	0.0330713	0.0289071	0.0296322	0.0385613	0.0563521	0.0717241	0.130619	0.182779	0.194452	0.233903
a66	0.0273822	0.0253651	0.0292715	0.0417163	0.0644205	0.08151	0.130101	0.179641	0.189284	0.231308
a38	0.0163877	0.013651	0.0192061	0.0366927	0.0712799	0.129861	0.208114	0.201892	0.14846	0.154456
a76	0.0242431	0.0179316	0.0213869	0.0345766	0.0619643	0.109095	0.19146	0.192454	0.158467	0.188422
a90	0.027847	0.0244939	0.025835	0.0354615	0.0480526	0.0638707	0.126521	0.178886	0.207182	0.261849
a13	0.0301872	0.0237864	0.0270466	0.0398442	0.0628644	0.0974421	0.169717	0.188576	0.172477	0.18806
a38	0.025265	0.0182313	0.0210042	0.033723	0.0531339	0.0785013	0.151439	0.17166	0.194587	0.252455
a76	0.0221118	0.0152724	0.0173787	0.0294602	0.0481769	0.0711075	0.142969	0.161991	0.200574	0.290958
a90	0.0241755	0.0170777	0.0171475	0.0255458	0.0393065	0.0592016	0.112755	0.147279	0.222607	0.334904
a57	0.0157859	0.0131227	0.0156157	0.0236657	0.0367328	0.0605057	0.13911	0.179732	0.2219	0.29383
a9	0.0101829	0.00702253	0.00813498	0.0157404	0.0264756	0.0462713	0.120079	0.149627	0.238565	0.377902
a38	0.00890973	0.00500749	0.00457729	0.00721082	0.0123193	0.0262421	0.088066	0.126729	0.257085	0.463854
a53	0.00601518	0.0034186	0.00312861	0.00481485	0.0083543	0.0170838	0.0603026	0.093778	0.254664	0.54844
a76	0.00686649	0.00356196	0.00370927	0.00619636	0.0131786	0.0270604	0.0732207	0.106061	0.239334	0.520811
a90	0.00730592	0.00507696	0.00545774	0.00822693	0.014007	0.0254025	0.0746819	0.119559	0.23757	0.502712
a9	0.00495498	0.00378433	0.00474465	0.00780457	0.0134899	0.0255461	0.078845	0.121125	0.210524	0.529181
a87	0.00300082	0.00172622	0.00216274	0.00428229	0.00867437	0.0160458	0.0551335	0.0986945	0.223162	0.587117
a79	0.00294806	0.00160477	0.00170745	0.00311797	0.00596218	0.0119474	0.0522843	0.0938165	0.23261	0.594001
a4	0.0095788	0.00464681	0.00495233	0.00711933	0.0141133	0.0305555	0.0825318	0.132125	0.259152	0.455225
a13	0.00715583	0.00407862	0.00407903	0.00592097	0.0110055	0.0231063	0.0780526	0.146813	0.279566	0.440222
a9	0.00423842	0.00243883	0.00293935	0.00461915	0.00952076	0.0221011	0.0946253	0.165704	0.276208	0.417605
a87	0.00309	0.00184085	0.00228962	0.00449302	0.00980657	0.0230308	0.0846319	0.121773	0.254734	0.49431
</S>	0.0134789	0.00759459	0.00829049	0.0128573	0.0240616	0.0433202	0.112892	0.121426	0.216939	0.43914
