 	il	répare	la	bretelle	du	fusil	</S>
a10	0.237832	0.151252	0.113387	0.122538	0.138878	0.121242	0.114871
a79	0.13814	0.0915835	0.0985999	0.129381	0.186559	0.171643	0.184094
a15	0.235188	0.155362	0.110899	0.107718	0.131749	0.122068	0.137015
a98	0.249669	0.20206	0.154865	0.122108	0.106945	0.0833666	0.0809869
a73	0.481394	0.250196	0.0963684	0.0562319	0.0420731	0.0391395	0.0345977
a37	0.502044	0.266273	0.0963797	0.0523674	0.0309834	0.0278276	0.0241249
a92	0.465554	0.293996	0.105099	0.0543006	0.02989	0.0262998	0.0248615
a44	0.24199	0.190467	0.137267	0.128598	0.102605	0.106534	0.0925403
a11	0.310766	0.299602	0.165437	0.0972089	0.0462629	0.0420628	0.0386603
a31	0.224732	0.292388	0.211377	0.130257	0.0585439	0.0460207	0.0366806
a61	0.165253	0.230439	0.231152	0.176523	0.086093	0.0644877	0.0460519
a75	0.118618	0.16545	0.214814	0.197223	0.127081	0.102726	0.0740874
a41	0.0646326	0.0995142	0.153972	0.185766	0.154917	0.169791	0.171407
a37	0.0304511	0.0446356	0.0875486	0.150145	0.184625	0.243585	0.259009
a66	0.0380033	0.045553	0.0836169	0.1422	0.191016	0.249667	0.249945
a75	0.0118733	0.0189688	0.0444492	0.0930052	0.164092	0.284973	0.382638
a56	0.0120272	0.0143055	0.0295452	0.0701682	0.151017	0.296461	0.426477
a25	0.0108632	0.0138073	0.030207	0.0635625	0.147804	0.289169	0.444588
a44	0.00641629	0.00927804	0.0210586	0.0452515	0.129894	0.297472	0.490629
a84	0.00370286	0.0056733	0.0171801	0.0460273	0.135699	0.292336	0.499382
a54	0.00126185	0.00150221	0.00678241	0.0366105	0.141695	0.301945	0.510202
a73	0.001024	0.00139729	0.00526505	0.0211801	0.114544	0.291498	0.565091
a2	0.000859997	0.00181841	0.00774509	0.0249625	0.110811	0.289333	0.56447
a57	0.0228506	0.0282744	0.0575348	0.111444	0.168643	0.25648	0.354774
a87	0.111178	0.0769143	0.0827022	0.128208	0.173909	0.212765	0.214322
a10	0.123313	0.0801889	0.0796313	0.141168	0.199111	0.199033	0.177556
a84	0.0756801	0.0412287	0.0484752	0.0939515	0.18685	0.267171	0.286644
</S>	0.0483657	0.0323032	0.0463089	0.085247	0.173209	0.27025	0.344316
