 	ils	ont	cou	vert	la	maison	avec	du	chaume	</S>
a66	0.267921	0.207319	0.140436	0.0903535	0.0746413	0.0619091	0.0532182	0.0432805	0.0340343	0.0268877
a87	0.244727	0.145701	0.119384	0.114092	0.102734	0.109356	0.0642082	0.0447334	0.0392557	0.015809
a99	0.184834	0.158979	0.181687	0.151523	0.102889	0.0750063	0.0416004	0.0351037	0.0389256	0.0294521
a54	0.17558	0.175733	0.210701	0.169503	0.0806418	0.0482474	0.0332751	0.0333732	0.047127	0.0258172
a47	0.198588	0.177287	0.17213	0.168497	0.100809	0.0586343	0.0402829	0.032253	0.0330722	0.0184459
a0	0.175676	0.203618	0.17845	0.168166	0.108666	0.057046	0.0378351	0.0301527	0.0270883	0.0133023
a94	0.12264	0.168129	0.208387	0.230356	0.118869	0.061888	0.040204	0.0286658	0.0142597	0.00660082
a93	0.0687393	0.0859581	0.125467	0.242455	0.176498	0.12085	0.0748792	0.0491579	0.0362814	0.0197151
a96	0.0626649	0.0840211	0.130181	0.252207	0.189414	0.126669	0.0706423	0.0380163	0.027532	0.0186524
a18	0.0612894	0.0730525	0.109315	0.221577	0.187349	0.14004	0.0827539	0.0484691	0.046649	0.0295053
a47	0.0349415	0.0450209	0.0682347	0.126181	0.13873	0.132769	0.126156	0.108727	0.113048	0.106192
a61	0.0274631	0.0336706	0.050459	0.08646	0.117565	0.122866	0.136609	0.127513	0.151495	0.1459
a75	0.0159418	0.0147453	0.0182836	0.0330202	0.0668978	0.120326	0.178874	0.186783	0.205107	0.160021
a92	0.00599119	0.00572122	0.00784825	0.0162554	0.0502983	0.119833	0.203545	0.221571	0.199962	0.168975
a37	0.00420307	0.00388006	0.00534679	0.0105968	0.0321468	0.0768753	0.145602	0.205778	0.256614	0.258958
a43	0.00231216	0.00208115	0.00237032	0.00345493	0.00909132	0.0233338	0.0595875	0.135373	0.344597	0.417799
a21	0.00065146	0.00052016	0.000462245	0.000583445	0.00196519	0.0062064	0.0221275	0.0874451	0.400433	0.479605
a47	0.000435856	0.000349832	0.000366625	0.00057522	0.00214982	0.00710754	0.0238244	0.0823912	0.353853	0.528947
a43	0.000434053	0.000304304	0.00028725	0.00044358	0.00183453	0.0064337	0.0221761	0.082854	0.3882	0.497032
a21	0.00187151	0.00156156	0.00128946	0.00198446	0.00791908	0.0203053	0.0478703	0.123095	0.377192	0.416911
a12	0.000483013	0.000358726	0.000333121	0.000572946	0.00231674	0.00776591	0.0243115	0.0763975	0.336805	0.550656
a18	0.00041131	0.000324277	0.000309915	0.000492033	0.0020913	0.00725195	0.0238045	0.077047	0.316693	0.571574
a25	0.0143571	0.00896734	0.00614642	0.00758019	0.0189838	0.0404698	0.0818777	0.156246	0.326436	0.338935
a87	0.132447	0.0817633	0.0675243	0.0574151	0.0666609	0.0811584	0.0832472	0.0970741	0.161276	0.171434
a23	0.17855	0.118866	0.112959	0.085332	0.0859372	0.0991581	0.0814906	0.0785202	0.085229	0.0739586
a97	0.0157001	0.00889128	0.00872302	0.00941986	0.0145165	0.0364719	0.0695896	0.146319	0.329511	0.360858
</S>	0.00415108	0.00234779	0.0021789	0.00276398	0.00531036	0.0210305	0.0511016	0.125881	0.408881	0.376354
