 	je	fais	sortir	les	cabris	de	leur	enclos	</S>
a66	0.259992	0.172549	0.114043	0.12071	0.127578	0.0967752	0.0707828	0.0226317	0.0149382
a87	0.409631	0.22483	0.141832	0.064272	0.0565991	0.0421296	0.0305975	0.0160096	0.0140988
a23	0.526785	0.254337	0.104885	0.0390581	0.0277615	0.0144565	0.00994229	0.00894682	0.0138277
a13	0.429878	0.223675	0.116799	0.0571426	0.050727	0.0330206	0.0270217	0.0234025	0.0383336
a54	0.273166	0.19193	0.151368	0.0725046	0.0697094	0.0559961	0.0481579	0.0597404	0.0774274
a5	0.261782	0.249348	0.160104	0.0790156	0.0711949	0.0580863	0.042235	0.0370885	0.0411454
a12	0.210565	0.27881	0.241809	0.099844	0.0697106	0.0363597	0.0247852	0.0194829	0.0186338
a18	0.150302	0.191342	0.239207	0.158821	0.122998	0.0670489	0.0371661	0.0184257	0.0146884
a26	0.0853952	0.125411	0.232194	0.196091	0.149728	0.0850846	0.0528356	0.0388637	0.0343961
a44	0.0927022	0.117143	0.194804	0.190304	0.154377	0.0892078	0.0548901	0.0508437	0.0557293
a11	0.0779006	0.112786	0.208641	0.196496	0.153846	0.0971591	0.0563994	0.0461768	0.0505952
a75	0.0627423	0.0818134	0.171584	0.224963	0.188801	0.114837	0.0560577	0.0446935	0.0545082
a47	0.0363769	0.049626	0.106729	0.177251	0.175031	0.157417	0.112344	0.0891392	0.0960841
a7	0.0387956	0.0526616	0.118118	0.179743	0.159981	0.122842	0.103597	0.0961924	0.12807
a44	0.0386771	0.0444969	0.0855036	0.200388	0.221041	0.174756	0.104008	0.0599121	0.0712167
a93	0.0385269	0.0408004	0.0608936	0.146582	0.190974	0.182849	0.128856	0.0945116	0.116007
a43	0.0379526	0.0411996	0.0642039	0.138895	0.18063	0.182607	0.143033	0.104357	0.107121
a11	0.0269698	0.0286485	0.0459734	0.108701	0.162431	0.20214	0.165698	0.124274	0.135165
a0	0.0269346	0.0280889	0.0401438	0.0737655	0.115996	0.184506	0.170496	0.15122	0.20885
a62	0.0247438	0.0255198	0.0381711	0.0631996	0.0920297	0.158211	0.18086	0.195903	0.221362
a88	0.0133341	0.013053	0.0222114	0.0562195	0.0923686	0.16949	0.204897	0.209587	0.21884
a54	0.0119427	0.0124574	0.018679	0.03002	0.0460514	0.107839	0.181384	0.277965	0.313661
a15	0.00173129	0.00198814	0.00449139	0.0153693	0.0284442	0.0657502	0.140285	0.296207	0.445733
a37	0.00118216	0.00127341	0.00290631	0.00958564	0.0182276	0.0467388	0.122338	0.324262	0.473485
a6	0.00412428	0.00378342	0.00469267	0.00723903	0.0120461	0.0316205	0.0935994	0.327707	0.515188
a7	0.0011386	0.000956885	0.00143124	0.00412442	0.00835423	0.0269359	0.100194	0.331378	0.525487
a36	0.000802484	0.000696849	0.000870718	0.00171692	0.00266682	0.00812167	0.0391224	0.281928	0.664074
a2	0.00419956	0.00377329	0.00452068	0.00582277	0.00690894	0.0152479	0.0491218	0.318851	0.591554
a57	0.0480443	0.0396474	0.0368494	0.0396442	0.0371044	0.0547805	0.112637	0.282991	0.348302
a87	0.178617	0.0955513	0.0594423	0.0564669	0.0557932	0.0752713	0.132473	0.180173	0.166212
a23	0.264482	0.13398	0.0643763	0.0579405	0.0658947	0.0872395	0.12547	0.107293	0.0933242
a87	0.223703	0.117228	0.0504934	0.0433106	0.0421875	0.0661095	0.109197	0.146845	0.200926
</S>	0.0521806	0.0305287	0.0182203	0.0287847	0.0352895	0.053922	0.0980125	0.230299	0.452762
