 	le	féticheur	a	induit	cette	femme	en	erreur	</S>
a87	0.131427	0.233757	0.281063	0.210315	0.0880271	0.0285802	0.0113576	0.00823533	0.00723783
a23	0.399624	0.304229	0.177125	0.0421177	0.0219128	0.0122566	0.0115527	0.0147352	0.0164476
a70	0.106761	0.152955	0.277267	0.154771	0.100654	0.057438	0.0376639	0.0405101	0.0719806
a75	0.177801	0.189159	0.230126	0.155612	0.103185	0.0511956	0.0303369	0.0285461	0.0340382
a47	0.256093	0.21657	0.219345	0.143373	0.067255	0.0420085	0.0203499	0.0171123	0.0178934
a92	0.180624	0.170951	0.255639	0.160895	0.0873882	0.0519826	0.0324238	0.0269755	0.03312
a75	0.116687	0.137098	0.21012	0.163265	0.119595	0.0919432	0.0482342	0.0488505	0.0642073
a85	0.135232	0.145241	0.232048	0.177103	0.123541	0.079734	0.0326308	0.0384769	0.0359935
a37	0.165556	0.141661	0.219828	0.128083	0.100613	0.097339	0.0547863	0.0439563	0.0481787
a96	0.233159	0.199579	0.253263	0.159521	0.0765684	0.0307117	0.0127976	0.0171155	0.0172838
a66	0.123505	0.145087	0.198465	0.25158	0.130975	0.0592898	0.0263413	0.031113	0.0336447
a61	0.0936289	0.107478	0.153958	0.260973	0.199705	0.0788776	0.030481	0.0339614	0.0409371
a75	0.0640432	0.0692046	0.0910213	0.197274	0.247104	0.154782	0.0575137	0.0542273	0.0648292
a34	0.0928681	0.0851346	0.0908392	0.113007	0.1119	0.101137	0.105216	0.138415	0.161483
a0	0.0510181	0.0544786	0.0628582	0.095129	0.185167	0.201565	0.1054	0.105233	0.139151
a93	0.0228462	0.0237785	0.0280092	0.0486508	0.128668	0.201341	0.168857	0.168508	0.209342
a62	0.0039453	0.004227	0.00586978	0.0115013	0.0404528	0.102003	0.159908	0.314126	0.357966
a93	0.000848042	0.000719741	0.000951258	0.00442279	0.0205509	0.0766561	0.18625	0.368498	0.341103
a34	0.000550773	0.00048549	0.000689193	0.00398062	0.0187512	0.0659399	0.163859	0.396632	0.349112
a93	0.000288717	0.000268877	0.000399178	0.00210991	0.00848091	0.0389946	0.14676	0.367536	0.435162
a13	0.000402844	0.000332367	0.000526362	0.00345943	0.0108197	0.038785	0.147334	0.36154	0.4368
a9	0.00351297	0.00166357	0.00168777	0.00541071	0.0176593	0.0646375	0.150666	0.383137	0.371625
a3	0.035215	0.028644	0.0247895	0.0220261	0.0396856	0.075655	0.13643	0.319227	0.318327
a87	0.141884	0.146572	0.144281	0.0907429	0.0651515	0.0684191	0.0785045	0.123482	0.140963
a23	0.117517	0.105896	0.108732	0.108793	0.133735	0.110797	0.0829422	0.105322	0.126267
a99	0.0192596	0.0194312	0.016722	0.0128393	0.0178239	0.0398461	0.103354	0.238518	0.532206
a97	0.00506728	0.00621388	0.00824949	0.0102789	0.0148863	0.0358239	0.0909508	0.2498	0.578729
</S>	0.00365397	0.00485534	0.00609827	0.00598835	0.00618983	0.0161754	0.0684295	0.256174	0.632435
