 	il	pleut	et	il	y	a	des	éclairs	</S>
a57	0.189008	0.131916	0.096171	0.102573	0.141895	0.141324	0.0720896	0.069046	0.0559774
a82	0.162679	0.113606	0.0636118	0.0624916	0.0768779	0.075794	0.0740394	0.163086	0.207814
a57	0.37652	0.20396	0.0766819	0.0568024	0.0608021	0.0510547	0.0352314	0.0617168	0.0772306
a82	0.378024	0.213141	0.0808323	0.058413	0.0642427	0.0544972	0.0389053	0.0520555	0.0598892
a38	0.285075	0.182794	0.100991	0.0859057	0.0902925	0.0795089	0.0613911	0.0627066	0.0513357
a35	0.254838	0.137564	0.101575	0.0975784	0.106025	0.0945889	0.0857109	0.0766905	0.0454287
a34	0.262747	0.164877	0.117304	0.0822549	0.0776012	0.0756003	0.0841245	0.0698074	0.0656848
a90	0.216937	0.189965	0.145159	0.0875661	0.0809334	0.0765925	0.0760993	0.0573919	0.0693558
a15	0.175006	0.152671	0.139216	0.083252	0.0739349	0.0771093	0.0901929	0.0831717	0.125447
a85	0.184484	0.138708	0.152643	0.0996995	0.0921789	0.0859623	0.0801844	0.0704688	0.0956708
a37	0.216264	0.165987	0.167772	0.118098	0.103416	0.0832181	0.0574625	0.039439	0.0483431
a85	0.148925	0.132087	0.150252	0.103722	0.0943838	0.0872644	0.0753935	0.0875	0.120472
a73	0.137085	0.115114	0.144759	0.115571	0.107794	0.100411	0.0811743	0.0828882	0.115204
a44	0.100813	0.0758483	0.115706	0.100869	0.0967099	0.099774	0.0882531	0.129358	0.192669
a26	0.0936948	0.0611458	0.0871354	0.0832552	0.0806641	0.0892682	0.0860206	0.157081	0.261735
a57	0.0255786	0.0200356	0.0358182	0.0526023	0.0659299	0.0897177	0.102998	0.23408	0.37324
a3	0.0206517	0.0177695	0.0294298	0.0387803	0.0524971	0.082967	0.109902	0.263806	0.384196
a99	0.0363275	0.0316692	0.0380921	0.0468921	0.0628913	0.0880983	0.102558	0.226859	0.366612
a50	0.0490496	0.0348872	0.0361148	0.0480501	0.0670247	0.115649	0.13551	0.205883	0.307833
a83	0.00593056	0.00304466	0.00438209	0.009679	0.0187717	0.0483087	0.112329	0.285514	0.512041
a18	0.00629081	0.00340426	0.00537988	0.0101287	0.0171453	0.0420723	0.0958722	0.309153	0.510553
a90	0.0030016	0.00167281	0.00309178	0.00648802	0.0114994	0.0326767	0.0882875	0.349603	0.503679
a56	0.00316771	0.0020479	0.00318731	0.00579651	0.00964335	0.0248701	0.065123	0.276087	0.610077
a75	0.00128701	0.000833164	0.00151815	0.00302431	0.00524769	0.0150709	0.0493357	0.28539	0.638293
a47	0.00659442	0.00413156	0.00687918	0.0106831	0.0162076	0.0342685	0.0752102	0.292031	0.553994
a34	0.00737647	0.00302971	0.00472659	0.00684659	0.00979096	0.02168	0.0579947	0.288546	0.600009
a21	0.00280333	0.00114299	0.00166133	0.00279231	0.00444687	0.011143	0.0361713	0.272397	0.667442
a47	0.00636852	0.00275907	0.00347296	0.0050546	0.00638088	0.0114311	0.0313326	0.271291	0.661909
a62	0.00463618	0.00207944	0.0035182	0.00603227	0.00754517	0.0132806	0.0377535	0.290441	0.634714
a61	0.0100566	0.00572966	0.00795477	0.0120026	0.0133561	0.0192265	0.043012	0.250082	0.638579
a12	0.0120782	0.00661865	0.00920264	0.0134037	0.0150791	0.0220021	0.0481873	0.261051	0.612377
a88	0.0134638	0.00772014	0.0125891	0.018814	0.020937	0.0297717	0.0622544	0.251374	0.583076
a71	0.0215065	0.0124595	0.0214239	0.0277155	0.0305303	0.043774	0.0853814	0.26682	0.490389
a9	0.0935587	0.0444769	0.0505544	0.0539326	0.0562296	0.0690555	0.0985574	0.201171	0.332464
a99	0.224639	0.0988156	0.0586767	0.0507901	0.0575375	0.0593609	0.0656673	0.120565	0.263948
a97	0.127306	0.0752927	0.0442543	0.0394897	0.04143	0.0396859	0.0550712	0.159261	0.41821
a99	0.106009	0.060812	0.0327562	0.0308279	0.0400131	0.0468929	0.0654578	0.188852	0.428379
a97	0.136941	0.0639488	0.0314197	0.0263392	0.0277058	0.0316274	0.0503151	0.171703	0.46
a99	0.0904833	0.0521466	0.0330473	0.0321628	0.0400665	0.0434162	0.0591896	0.1949	0.454587
a97	0.119395	0.0594644	0.0363653	0.0333806	0.0397211	0.0417795	0.056938	0.18687	0.426086
</S>	0.13049	0.0729392	0.0450785	0.0406383	0.0475246	0.0447164	0.0556856	0.169193	0.393735
