 	cette	maladie	l'	a	rendu	pâle	</S>
a85	0.383994	0.182106	0.14471	0.11208	0.0907353	0.0469109	0.0394641
a66	0.418517	0.239521	0.140624	0.081511	0.0438401	0.040881	0.0351059
a87	0.42294	0.283161	0.113859	0.0491458	0.0301182	0.0440602	0.0567164
a23	0.313781	0.20824	0.157132	0.106657	0.0771217	0.0666222	0.0704455
a9	0.430905	0.282306	0.125048	0.0504728	0.038284	0.0377742	0.0352106
a53	0.274126	0.263368	0.183112	0.0920091	0.0734296	0.0642147	0.0497403
a44	0.281981	0.220413	0.129641	0.089355	0.0818427	0.0962784	0.100488
a96	0.150767	0.189699	0.157912	0.130948	0.0933383	0.124051	0.153285
a88	0.146909	0.176299	0.139087	0.11451	0.0936163	0.138045	0.191535
a31	0.126401	0.146553	0.128595	0.111506	0.0986352	0.152076	0.236233
a88	0.13663	0.144239	0.142162	0.136467	0.111616	0.133885	0.195001
a11	0.112023	0.106302	0.123474	0.140892	0.137462	0.151234	0.228614
a70	0.0716958	0.0564026	0.0846637	0.126021	0.174379	0.199806	0.287032
a93	0.0621908	0.0453886	0.0743039	0.139483	0.20008	0.198847	0.279707
a11	0.0447611	0.0313806	0.0530841	0.110315	0.197157	0.226242	0.33706
a0	0.0149684	0.0105665	0.0174308	0.0456384	0.142316	0.273705	0.495375
a54	0.00811155	0.00739627	0.0133968	0.0366559	0.106879	0.269407	0.558153
a69	0.00998165	0.00632509	0.0126556	0.0421026	0.126163	0.248279	0.554493
a84	0.00539141	0.00322325	0.00658723	0.0215693	0.0809345	0.23133	0.650964
a87	0.00343639	0.00290544	0.0048975	0.0147423	0.0562548	0.23466	0.683104
a23	0.12938	0.0678845	0.0511999	0.0526636	0.111327	0.227176	0.360369
a10	0.114193	0.0479457	0.0460756	0.0698137	0.166828	0.262786	0.292358
</S>	0.0342116	0.0168605	0.0225709	0.0452748	0.116755	0.29858	0.465747
