 	les	anciens	du	villages	se	sont	réunis	pour	la	palabre	</S>
a23	0.323724	0.238358	0.0944882	0.0860552	0.0859039	0.0625916	0.0436478	0.0227446	0.0141323	0.0146239	0.0137302
a87	0.222088	0.244378	0.163829	0.104746	0.0611026	0.0299691	0.0224129	0.0231791	0.0249941	0.0490699	0.0542321
a10	0.0864738	0.125058	0.147284	0.126385	0.0885534	0.0571175	0.0406451	0.0418494	0.055371	0.113012	0.11825
a87	0.15517	0.179044	0.158401	0.111758	0.0657517	0.036235	0.0268297	0.0271824	0.0421093	0.100309	0.097211
a23	0.130822	0.161478	0.14413	0.121717	0.0875327	0.0553368	0.0444423	0.0400196	0.0549615	0.0895089	0.0700508
a50	0.159862	0.208973	0.157339	0.0739647	0.0352923	0.0182066	0.021814	0.036234	0.0622421	0.133492	0.0925801
a98	0.296491	0.32885	0.193552	0.0856764	0.0378566	0.0115259	0.0103855	0.00941047	0.00990373	0.00997628	0.00637239
a66	0.240472	0.284986	0.211525	0.107468	0.0635666	0.0245481	0.016966	0.0126708	0.0148686	0.0161252	0.00680273
a38	0.243487	0.278192	0.205268	0.105703	0.0635667	0.0266893	0.0181444	0.0141268	0.0173838	0.0188839	0.00855514
a90	0.145924	0.203187	0.187936	0.138507	0.115967	0.0635192	0.0424028	0.0306654	0.0318731	0.0270686	0.0129499
a35	0.122273	0.169691	0.182427	0.147917	0.124443	0.0782553	0.0560071	0.0404411	0.035062	0.0277612	0.0157235
a90	0.11971	0.163329	0.199096	0.161735	0.126529	0.0836885	0.0572889	0.0375921	0.025049	0.0163443	0.00963744
a54	0.0962996	0.12812	0.192738	0.162504	0.129173	0.0931581	0.0669311	0.0514129	0.0364802	0.0259002	0.0172836
a14	0.0739173	0.0892613	0.143783	0.143338	0.126454	0.102266	0.0849043	0.0753771	0.05937	0.0555984	0.0457316
a44	0.0600261	0.0592927	0.114487	0.130103	0.121544	0.107733	0.0961013	0.0990509	0.0801579	0.0730988	0.0584063
a57	0.0577275	0.057615	0.0972688	0.141236	0.152627	0.130559	0.0910329	0.0726556	0.0620752	0.0732025	0.0640013
a97	0.0166477	0.0229435	0.0569057	0.0924533	0.120903	0.123932	0.112998	0.108367	0.0954858	0.124699	0.124664
a53	0.00861299	0.0144773	0.039494	0.0552347	0.0829193	0.0959577	0.140492	0.181319	0.156178	0.119082	0.106234
a93	0.0203863	0.0218189	0.0408082	0.0677114	0.107491	0.111166	0.114731	0.102553	0.128387	0.166723	0.118224
a4	0.0288888	0.0254283	0.0356363	0.0538739	0.0818024	0.0947935	0.0931328	0.105777	0.13444	0.189926	0.156301
a13	0.0411409	0.0382823	0.0503014	0.0543089	0.072707	0.0739382	0.0725151	0.0852958	0.110059	0.19823	0.203221
a9	0.0286406	0.0299451	0.0438967	0.0472777	0.0655378	0.0669122	0.0741373	0.102777	0.135192	0.205249	0.200435
a87	0.0200802	0.0203958	0.0286755	0.0422892	0.0754051	0.102073	0.121245	0.124098	0.121375	0.162969	0.181396
a23	0.0163645	0.0119288	0.0177788	0.0296743	0.0418204	0.0608812	0.101307	0.132173	0.155771	0.210708	0.221592
a35	0.0119485	0.00987641	0.0138882	0.0230976	0.0294078	0.0404593	0.0643294	0.0934176	0.139358	0.259526	0.314691
a94	0.00517993	0.005341	0.0135634	0.0214267	0.0305039	0.0389629	0.0740445	0.109132	0.164269	0.25525	0.282326
a98	0.00557016	0.00647719	0.0176017	0.0256793	0.0353454	0.0493401	0.0752032	0.124517	0.166259	0.230502	0.263504
a71	0.00285169	0.0034603	0.00800054	0.0139651	0.0212713	0.0292631	0.0456573	0.0907959	0.130062	0.2589	0.395773
a9	0.00103098	0.00124804	0.00278736	0.004638	0.00809898	0.0147792	0.0283015	0.0568401	0.101613	0.27268	0.507983
a38	0.0006732	0.000787191	0.00183909	0.00316136	0.00480958	0.00880347	0.0206709	0.0593035	0.115123	0.280431	0.504398
a41	0.000938028	0.00131007	0.00305483	0.00429395	0.00667089	0.0108261	0.0246804	0.0654124	0.130832	0.282197	0.469784
a35	0.00314228	0.00331901	0.00641067	0.0091765	0.0139656	0.0263047	0.0427646	0.0809326	0.117038	0.261558	0.435388
