 	le	panier	qu'	il	a	fabriqué	pour	transporter	du	poisson	n'	est	pas	solide	</S>
a10	0.126648	0.0636173	0.0436611	0.0514303	0.0648177	0.0637473	0.0664204	0.114739	0.119379	0.0794228	0.0742634	0.0474398	0.0322218	0.0296504	0.0225414
a87	0.13501	0.035383	0.0231795	0.029044	0.030261	0.0260798	0.0224463	0.0222826	0.0282482	0.0384434	0.0790026	0.101909	0.106568	0.163748	0.158395
a79	0.185999	0.0918977	0.0617614	0.0533862	0.0482633	0.0390115	0.0227672	0.0164176	0.0125791	0.019464	0.0352292	0.0560911	0.0734698	0.110225	0.173438
a5	0.189386	0.111122	0.0658742	0.0423803	0.037608	0.042851	0.0397242	0.0335438	0.0267649	0.0270212	0.0374847	0.0497361	0.0600796	0.0987554	0.137668
a96	0.400855	0.270621	0.11526	0.0392857	0.0230851	0.0252153	0.0195963	0.0229259	0.0144981	0.0106935	0.00964347	0.00958196	0.0086311	0.0105006	0.0196068
a18	0.311044	0.307812	0.144354	0.0447098	0.0309784	0.0399363	0.0272704	0.0266504	0.0163544	0.0117133	0.00961651	0.00836237	0.00672339	0.00607882	0.0083956
a61	0.194641	0.224496	0.165351	0.0722739	0.0600887	0.0665094	0.0407535	0.0346047	0.0297158	0.0255443	0.022511	0.0195759	0.0147552	0.0128885	0.0162908
a21	0.168908	0.216532	0.180253	0.0929305	0.0765546	0.0859023	0.0519928	0.0377585	0.0231269	0.0173323	0.0131195	0.0102102	0.00723379	0.00776689	0.0103777
a47	0.0936596	0.123879	0.147148	0.116414	0.118134	0.119977	0.0894574	0.066328	0.0361843	0.0262691	0.0185502	0.0132996	0.00969108	0.0101127	0.0108956
a88	0.084512	0.0984317	0.13329	0.117951	0.122306	0.126819	0.102076	0.0861659	0.0450201	0.0278377	0.0182197	0.0119342	0.00882231	0.00802436	0.00858937
a71	0.0470204	0.0582782	0.0978981	0.141135	0.162292	0.159773	0.106988	0.0759815	0.0381719	0.028891	0.0221102	0.0168498	0.0127162	0.0130325	0.0188622
a75	0.0309463	0.034798	0.0612669	0.114539	0.144157	0.156287	0.11617	0.0835606	0.0520039	0.0506509	0.0381445	0.0301768	0.025315	0.0269031	0.0350815
a56	0.0451238	0.0532799	0.0746387	0.0995736	0.132463	0.144583	0.131822	0.121389	0.0695731	0.0439532	0.0270874	0.0179302	0.0125745	0.0114934	0.0145153
a96	0.0437393	0.0517154	0.0655863	0.0855436	0.126989	0.146174	0.137487	0.119919	0.0758076	0.0508681	0.0327104	0.0208296	0.0139479	0.0126775	0.0160048
a93	0.0260636	0.0302963	0.0422934	0.0713326	0.123569	0.137513	0.152375	0.123451	0.092314	0.0700782	0.0465268	0.0298433	0.0186552	0.01602	0.0196686
a90	0.0137402	0.0146761	0.0248096	0.0644774	0.137663	0.146212	0.175059	0.136203	0.089597	0.06883	0.041297	0.0279125	0.0182741	0.0173119	0.0239382
a98	0.0116794	0.0136555	0.0229602	0.0559811	0.126094	0.152697	0.187842	0.150387	0.0965173	0.0655005	0.0357926	0.0253656	0.0185936	0.0163735	0.0205608
a92	0.0164813	0.0173006	0.0277774	0.0545728	0.103781	0.126621	0.165992	0.142792	0.103327	0.0810546	0.0419645	0.0307198	0.0276406	0.0271607	0.0328145
a96	0.0214527	0.0243622	0.036687	0.067083	0.114452	0.130568	0.148622	0.119248	0.0903483	0.0729471	0.0423717	0.0329249	0.0317056	0.032176	0.0350518
