 	le	furoncle	qu'	il	avait	à	la	cuisse	est	crevé	</S>
a66	0.296317	0.138051	0.0616624	0.0885937	0.0912961	0.0880403	0.0882331	0.07165	0.0338618	0.0216695	0.0206247
a87	0.303972	0.185365	0.0944048	0.0629891	0.0452003	0.0427144	0.0581619	0.0686265	0.0520306	0.0462456	0.0402895
a97	0.467661	0.227306	0.0590443	0.0312956	0.0198055	0.0202124	0.0233711	0.0321807	0.0332601	0.0477923	0.0380708
a87	0.475683	0.283544	0.0492513	0.0238386	0.0151658	0.0136917	0.0178992	0.0252349	0.0296918	0.036355	0.0296456
a97	0.371224	0.265504	0.0487857	0.0220279	0.0157882	0.0168227	0.0295387	0.0449792	0.0563064	0.0673906	0.0616329
a87	0.400094	0.204244	0.0441402	0.021436	0.016371	0.018023	0.0320642	0.0484834	0.0669415	0.0845566	0.0636466
a97	0.477618	0.212301	0.037895	0.0173103	0.0130874	0.0138538	0.0228993	0.0344439	0.050975	0.0695862	0.050031
a83	0.563766	0.207232	0.0386031	0.0175127	0.0119298	0.0114108	0.0164541	0.0238845	0.0346051	0.0453009	0.0293007
a9	0.346985	0.368704	0.0659282	0.0316229	0.0243135	0.0211265	0.0230074	0.0280644	0.0304655	0.0407226	0.01906
a50	0.259825	0.317616	0.137526	0.0817741	0.0440297	0.0293383	0.0240009	0.0234594	0.023799	0.035868	0.0227631
a21	0.147452	0.314815	0.203008	0.11418	0.056988	0.0362928	0.0270644	0.0239359	0.0218725	0.0321975	0.0221942
a12	0.108378	0.341022	0.249918	0.137119	0.0642877	0.03501	0.0204834	0.0151908	0.0104849	0.0119118	0.00619454
a31	0.0935707	0.253424	0.271245	0.163811	0.0823662	0.0487866	0.0284362	0.0202965	0.0135031	0.0147515	0.00980884
a88	0.0926368	0.173212	0.204674	0.180469	0.118506	0.0777502	0.0448229	0.0327345	0.0236078	0.0268704	0.024716
a31	0.0507258	0.112213	0.184267	0.194317	0.159078	0.118539	0.0640133	0.0393588	0.0219203	0.0259056	0.0296613
a61	0.044809	0.0963795	0.166462	0.201013	0.169703	0.131848	0.0768266	0.0431881	0.0220866	0.0231592	0.0245262
a75	0.0313966	0.0569944	0.127736	0.204817	0.192161	0.155113	0.0950772	0.0543531	0.0276907	0.0274771	0.0271847
a79	0.0263046	0.0431482	0.0930213	0.176187	0.175376	0.150136	0.113598	0.0759154	0.0457909	0.0478597	0.0526628
a44	0.016248	0.0266207	0.0625092	0.150151	0.195236	0.18973	0.137885	0.0795824	0.040904	0.0441505	0.0569829
a75	0.0183775	0.0279978	0.0496872	0.131826	0.176158	0.190597	0.143522	0.0900467	0.0474353	0.0501582	0.0741952
a5	0.011588	0.0144514	0.0243043	0.0723474	0.115523	0.139856	0.139192	0.108908	0.0900413	0.106774	0.177015
a37	0.0124561	0.0154608	0.0245039	0.0908021	0.140234	0.16939	0.14751	0.102975	0.0680636	0.0772577	0.151346
a21	0.0125263	0.0147253	0.0204035	0.0684829	0.114114	0.154075	0.140847	0.106446	0.0765919	0.0940827	0.197705
a12	0.0127251	0.0137993	0.0232817	0.0644651	0.101471	0.144793	0.146272	0.122139	0.0868602	0.0906972	0.193497
a18	0.00836343	0.010126	0.0166158	0.0433553	0.0701423	0.11517	0.131549	0.123721	0.106358	0.119932	0.254668
a50	0.00419754	0.00664766	0.00812644	0.0219643	0.0379046	0.0775205	0.10001	0.122824	0.118501	0.152335	0.349969
a83	0.0037961	0.00509225	0.00580061	0.0140314	0.0211858	0.0481649	0.0786349	0.120997	0.142523	0.1675	0.392274
a88	0.00109135	0.00173782	0.00260408	0.0081194	0.0152108	0.0366892	0.0610489	0.0973411	0.141713	0.209118	0.425326
a0	0.000321876	0.000563026	0.000924714	0.00299009	0.00648951	0.0186427	0.0360677	0.0666351	0.136416	0.226795	0.504154
a93	0.000310378	0.000508727	0.000901944	0.00274053	0.00636602	0.0180032	0.033228	0.0602503	0.126179	0.217954	0.533557
a13	0.000177097	0.000263049	0.00060198	0.00227371	0.00592572	0.0169142	0.0354276	0.0652498	0.145744	0.240005	0.487418
a38	0.000109201	0.000210913	0.00051249	0.00175439	0.00511369	0.0156908	0.0319467	0.0585549	0.129777	0.224556	0.531774
