 	les	poules	se	battaient	à	coups	de	bec	</S>
a23	0.423477	0.211014	0.10593	0.0857099	0.0759411	0.0289465	0.0190406	0.0206917	0.0292495
a87	0.395458	0.17434	0.0576453	0.0363058	0.0844672	0.0626092	0.0521208	0.0598532	0.0772006
a40	0.269608	0.203201	0.0918361	0.0544589	0.0749748	0.0524937	0.0632347	0.0865052	0.103688
a73	0.376979	0.234895	0.0529597	0.0391802	0.0513227	0.0274611	0.033102	0.0646841	0.119416
a84	0.477072	0.34116	0.0575347	0.0426233	0.0382214	0.0140852	0.00944508	0.0088355	0.0110225
a10	0.322112	0.300288	0.118271	0.109372	0.0762389	0.0256206	0.0165275	0.0150336	0.0165363
a76	0.194248	0.229152	0.115872	0.159316	0.0999333	0.0473587	0.0426258	0.0503174	0.0611771
a94	0.225674	0.282002	0.135657	0.130253	0.101134	0.0505683	0.0279943	0.0243331	0.0223848
a32	0.21205	0.264781	0.162076	0.156302	0.108054	0.0382909	0.0212752	0.0189184	0.0182529
a76	0.138455	0.209337	0.189313	0.204093	0.14487	0.0513713	0.0238703	0.0198209	0.0188691
a94	0.154154	0.215147	0.180437	0.177044	0.128916	0.0604585	0.0346499	0.0261537	0.0230406
a20	0.112939	0.1856	0.202288	0.19233	0.158433	0.0671216	0.0327588	0.0247449	0.0237839
a73	0.116964	0.18133	0.169662	0.170868	0.139468	0.0829143	0.0521361	0.0435455	0.0431115
a84	0.0912169	0.143727	0.174484	0.191341	0.173633	0.0893386	0.0467711	0.0415987	0.0478899
a76	0.0406754	0.076114	0.136562	0.166849	0.205121	0.128229	0.0777726	0.0771437	0.0915331
a94	0.0432727	0.0621712	0.0794036	0.108976	0.134455	0.149723	0.130054	0.146321	0.145623
a76	0.0431178	0.0555529	0.0688499	0.0802194	0.124446	0.183631	0.143668	0.14021	0.160306
a94	0.0395747	0.0491341	0.0596743	0.0763445	0.115724	0.180344	0.150492	0.164476	0.164236
a20	0.0370282	0.0406576	0.0408241	0.0456378	0.0782908	0.165071	0.184367	0.189994	0.21813
a73	0.0343432	0.0393	0.0441526	0.055608	0.0830576	0.137831	0.153072	0.203728	0.248908
a58	0.0141382	0.0191255	0.0309492	0.0453879	0.0781326	0.151775	0.1605	0.2175	0.282492
a38	0.0116156	0.0176166	0.0262284	0.0352362	0.0729926	0.155196	0.190449	0.229546	0.26112
a24	0.00644078	0.00925083	0.0141178	0.0183628	0.0428586	0.105289	0.184755	0.269345	0.34958
a41	0.00780087	0.00819367	0.0132035	0.0162651	0.0310275	0.0740036	0.16437	0.281426	0.40371
a73	0.00704475	0.00977057	0.0179045	0.0212052	0.0389896	0.0856339	0.202317	0.273769	0.343366
a84	0.00416964	0.00630983	0.0108908	0.0133795	0.0292058	0.0651978	0.163034	0.302033	0.40578
a87	0.00381398	0.00438719	0.00640643	0.00863788	0.0147991	0.0437642	0.103524	0.292558	0.522108
</S>	0.00219333	0.00229531	0.00321434	0.00412993	0.00669729	0.0267176	0.10388	0.301588	0.549284
