 	donne-moi	une	aiguille	pour	coudre	mon	pagne	</S>
a23	0.170117	0.122344	0.116585	0.118202	0.132657	0.153078	0.120171	0.0668463
a87	0.122526	0.123964	0.135769	0.127549	0.133584	0.154725	0.123226	0.0786572
a10	0.154737	0.113339	0.108256	0.0885642	0.0877416	0.167424	0.164872	0.115066
a87	0.157075	0.10297	0.094935	0.0816117	0.0782786	0.191662	0.184683	0.108784
a79	0.22487	0.128014	0.0989142	0.076983	0.0743867	0.167444	0.152706	0.0766817
a41	0.357697	0.189996	0.119537	0.0735058	0.0422335	0.0695638	0.0651419	0.082325
a35	0.393624	0.227715	0.155937	0.104417	0.0331394	0.0328977	0.0288566	0.0234121
a75	0.26351	0.223115	0.199598	0.147958	0.064546	0.0476316	0.0301336	0.0235082
a35	0.225099	0.209497	0.191168	0.15846	0.0895559	0.0576802	0.0375385	0.0310017
a57	0.207934	0.205365	0.196926	0.162961	0.103045	0.0612033	0.0351099	0.0274568
a38	0.151958	0.179912	0.206279	0.152091	0.107123	0.0778988	0.060979	0.0637587
a90	0.14978	0.168179	0.197348	0.155516	0.12353	0.0795732	0.0588145	0.0672603
a94	0.163847	0.173342	0.181315	0.157238	0.138132	0.085109	0.0558567	0.0451604
a35	0.143919	0.159526	0.163653	0.132478	0.115959	0.0981389	0.0929345	0.0933916
a98	0.111895	0.139992	0.15628	0.141239	0.134417	0.116676	0.101305	0.0981961
a14	0.115492	0.136137	0.140965	0.124271	0.1143	0.118942	0.121805	0.128087
a35	0.082035	0.105556	0.119474	0.104726	0.114862	0.137317	0.153553	0.182476
a26	0.0552829	0.0673752	0.0771265	0.0699999	0.0965122	0.134892	0.2014	0.297411
a66	0.0198216	0.0244457	0.0307562	0.0323621	0.0606841	0.111045	0.224288	0.496597
a38	0.0166111	0.0184811	0.0216302	0.0218961	0.0422095	0.0983765	0.220705	0.56009
a14	0.0220475	0.0235345	0.0237917	0.0208674	0.035798	0.0925342	0.209327	0.572099
a35	0.0132971	0.013895	0.0150497	0.0139627	0.030663	0.0979006	0.219113	0.596119
a66	0.0115167	0.0110835	0.0117999	0.00987353	0.020257	0.0724798	0.192527	0.670463
a26	0.0171548	0.0158822	0.0176405	0.0140946	0.0251549	0.0786326	0.172142	0.659298
a66	0.0188469	0.0146872	0.0150064	0.0125661	0.0259379	0.0857242	0.184621	0.64261
a25	0.0296526	0.0224079	0.0252618	0.0202254	0.0416504	0.100452	0.159348	0.601002
a97	0.0450886	0.0323782	0.0370702	0.0334158	0.075943	0.10583	0.144162	0.526113
a83	0.0571601	0.0398772	0.0443142	0.0379459	0.0908043	0.125922	0.173323	0.430653
a66	0.0427257	0.0332207	0.0408066	0.034373	0.0748499	0.109238	0.151084	0.513701
a25	0.0221608	0.0191942	0.0271218	0.0243133	0.0592917	0.0979367	0.156867	0.593115
a38	0.0313694	0.0260812	0.032814	0.0284791	0.0630279	0.0862787	0.132921	0.599028
a75	0.0297373	0.0229817	0.0286183	0.0225944	0.0523741	0.0838051	0.137013	0.622877
a14	0.0122026	0.010115	0.0115808	0.010615	0.0265947	0.0619543	0.13167	0.735268
a2	0.0086112	0.00754096	0.00912356	0.008853	0.021517	0.0695355	0.172389	0.70243
a57	0.0283511	0.0224006	0.0277931	0.0253501	0.0590276	0.11303	0.17064	0.553408
a87	0.0737434	0.0589102	0.0629476	0.0503889	0.0908111	0.119448	0.153271	0.390479
</S>	0.0586539	0.0455194	0.0465423	0.0339884	0.0721055	0.11295	0.184668	0.445572
