 	approche-toi	d'	ici	</S>
a23	0.458359	0.211554	0.178051	0.152036
a83	0.668145	0.203835	0.0745979	0.053422
a76	0.523752	0.241418	0.126862	0.107968
a69	0.68052	0.204227	0.072724	0.0425295
a44	0.643203	0.205268	0.0876933	0.063836
a75	0.402851	0.227335	0.199934	0.169879
a5	0.311893	0.250995	0.215657	0.221455
a61	0.237577	0.198079	0.251251	0.313093
a21	0.19581	0.207999	0.279561	0.316629
a5	0.150807	0.198509	0.291475	0.359209
a85	0.143855	0.187149	0.29041	0.378586
a79	0.0603214	0.120813	0.294562	0.524303
a90	0.0467608	0.105592	0.277525	0.570122
a98	0.0373339	0.0922599	0.246382	0.624024
a85	0.0395075	0.106044	0.247522	0.606927
a61	0.0397004	0.106964	0.257047	0.596289
a66	0.0329466	0.0966773	0.261281	0.609095
a25	0.033577	0.0752418	0.213024	0.678157
a87	0.0522782	0.0952063	0.182284	0.670232
a23	0.314865	0.225829	0.213469	0.245837
a10	0.2625	0.213415	0.241712	0.282374
</S>	0.109384	0.169501	0.266657	0.454459
