 	nous	partons	faire	la	pêche	au	harpon	au	ruisseau	vouma	</S>
a66	0.161167	0.13863	0.151042	0.139163	0.119869	0.0844895	0.0731785	0.064558	0.0383926	0.0168806	0.0126289
a87	0.300438	0.257463	0.148938	0.0942041	0.0600976	0.0408463	0.034855	0.032372	0.0181674	0.00657773	0.00604019
a23	0.207772	0.243633	0.152442	0.131006	0.102391	0.0632449	0.0431456	0.0248905	0.0146936	0.00817922	0.00860219
a82	0.231911	0.304452	0.117219	0.0940867	0.0967525	0.0713186	0.0406321	0.0165446	0.0103411	0.00792662	0.0088149
a99	0.213828	0.321479	0.101419	0.0844437	0.095253	0.0691689	0.0374754	0.0222362	0.0189976	0.0163461	0.0193525
a0	0.167701	0.175855	0.0965433	0.0926942	0.116544	0.105851	0.0765327	0.0575099	0.048388	0.0323337	0.0300483
a75	0.0887268	0.0736046	0.0737098	0.0889764	0.119963	0.134542	0.107672	0.101095	0.089647	0.0659036	0.056159
a92	0.0645228	0.0804311	0.103777	0.130097	0.163262	0.154558	0.102677	0.0692535	0.0546763	0.0421272	0.034618
a44	0.0746952	0.100272	0.120561	0.129623	0.146417	0.137036	0.098292	0.0593318	0.0430186	0.0437155	0.0470381
a56	0.0512627	0.0811634	0.113104	0.130963	0.162304	0.152193	0.105136	0.0553873	0.0397125	0.0452969	0.0634768
a12	0.0559349	0.0863337	0.12886	0.142142	0.155369	0.142294	0.1069	0.0613414	0.0382961	0.0377345	0.0447943
a47	0.0563618	0.0802533	0.131656	0.133898	0.128773	0.120372	0.108087	0.0803705	0.0520926	0.0496053	0.0585297
a96	0.0511565	0.0689104	0.118161	0.117518	0.118822	0.116249	0.110355	0.0879772	0.0615055	0.063463	0.0858825
a11	0.0239191	0.0345434	0.0841293	0.0940453	0.0964758	0.102421	0.119836	0.116064	0.0920841	0.0981606	0.138322
a93	0.00886882	0.0133793	0.0382643	0.0598659	0.0727664	0.100793	0.154899	0.159202	0.129585	0.12178	0.140596
a4	0.00738096	0.0085793	0.0250803	0.039992	0.0509251	0.0750449	0.129927	0.180103	0.178405	0.153491	0.151072
a93	0.00506938	0.00472709	0.0117215	0.0178497	0.0229148	0.0349944	0.0670559	0.129111	0.199001	0.241631	0.265924
a96	0.00360315	0.00321339	0.00875547	0.0125657	0.0151753	0.0216816	0.0412654	0.0882906	0.185734	0.287779	0.331936
a54	0.000859902	0.000834167	0.00162937	0.0023405	0.00301902	0.00562369	0.0152192	0.0402151	0.119759	0.295937	0.514563
a7	0.000153255	0.000143394	0.000215834	0.000301108	0.000383871	0.000817277	0.00328797	0.0125742	0.0631471	0.269924	0.649052
a84	9.26659e-05	7.28353e-05	8.10012e-05	0.000116765	0.000147166	0.000319939	0.00126899	0.00578485	0.0356997	0.229005	0.727412
a57	0.009965	0.00752176	0.00577902	0.00679339	0.00552888	0.0069747	0.0167894	0.0375131	0.0812804	0.236881	0.584973
a87	0.126641	0.0836258	0.0752433	0.0805842	0.0650636	0.0543357	0.0656876	0.0608038	0.0784407	0.125356	0.184218
a23	0.132679	0.0935702	0.0812808	0.081488	0.0648546	0.0583754	0.0793031	0.0853206	0.1032	0.111669	0.108259
a97	0.0815573	0.0444482	0.0392731	0.0395843	0.0313984	0.0292745	0.0499352	0.0757164	0.139504	0.219436	0.249873
a26	0.0348241	0.0293331	0.0313299	0.038507	0.0346737	0.0306239	0.0405013	0.0540469	0.106724	0.237959	0.361477
a3	0.0285562	0.0325421	0.0433444	0.0530766	0.0465587	0.0360344	0.0386089	0.0485184	0.094973	0.220192	0.357595
a99	0.0419664	0.057098	0.0620969	0.0747773	0.0640747	0.0534875	0.0578438	0.0503355	0.0766825	0.177045	0.284593
a97	0.0337032	0.0399277	0.0498752	0.0663848	0.0637765	0.0583872	0.0657944	0.0667297	0.0949922	0.185345	0.275084
a87	0.0649639	0.0750713	0.0841861	0.0989575	0.0834932	0.0667025	0.0646416	0.0550471	0.0713391	0.139263	0.196335
a23	0.0740856	0.083015	0.0924735	0.110325	0.095492	0.0793596	0.0737938	0.0578701	0.0651731	0.114013	0.1544
a9	0.0476443	0.0393127	0.0453539	0.0619436	0.0598205	0.0557114	0.0608847	0.0673182	0.0983815	0.185504	0.278125
a97	0.0473308	0.0416701	0.0514221	0.058513	0.0484299	0.0369941	0.0365439	0.0503783	0.0943437	0.20647	0.327904
</S>	0.0588198	0.0610242	0.0675929	0.0700738	0.0562526	0.0423308	0.0440701	0.051355	0.0815502	0.173957	0.292973
