 	pendant	la	grande	saison	des	pluies	les	forêts	marécageuses	deviennent	inondées	</S>
a15	0.281631	0.210322	0.139828	0.0840336	0.0580133	0.0551872	0.0465885	0.0426573	0.0293779	0.0201895	0.0150346	0.0171373
a66	0.251769	0.199383	0.171515	0.13005	0.0584452	0.0287432	0.0150817	0.0170917	0.0182154	0.0271079	0.0361015	0.0464957
a87	0.384234	0.255796	0.216175	0.075796	0.0178057	0.00712385	0.00385419	0.00439416	0.00565416	0.00631495	0.0100338	0.0128183
a23	0.374053	0.27433	0.23197	0.0649598	0.0122892	0.00431321	0.00293327	0.00392154	0.0055925	0.00686949	0.00831492	0.0104534
a94	0.414025	0.24916	0.177928	0.0545926	0.014823	0.00633553	0.0063838	0.0076512	0.0106236	0.0105606	0.0211716	0.0267463
a70	0.454446	0.20405	0.119167	0.0556877	0.0263762	0.0175149	0.0182996	0.017856	0.014419	0.0156656	0.0263197	0.0301976
a18	0.307604	0.194791	0.133443	0.103538	0.0743315	0.0538855	0.0388031	0.0258168	0.0178828	0.0122994	0.0238769	0.0137277
a38	0.106098	0.0903295	0.0941444	0.127295	0.138127	0.1092	0.0808488	0.0599001	0.0518074	0.0423515	0.0628427	0.0370552
a54	0.072552	0.0681216	0.0753412	0.11925	0.142508	0.122353	0.0930099	0.071943	0.0676768	0.0552501	0.0698303	0.0421637
a36	0.0466849	0.0494291	0.0588347	0.0912253	0.104842	0.132499	0.12148	0.0975991	0.0859083	0.0639271	0.0813235	0.0662474
a7	0.0324729	0.0260425	0.0252285	0.0487214	0.0882987	0.122989	0.124239	0.106564	0.116113	0.0878863	0.108868	0.112577
a20	0.0154203	0.0135898	0.0153743	0.0362016	0.0842001	0.137755	0.143917	0.102877	0.0913746	0.0848235	0.123755	0.150713
a44	0.010815	0.0105908	0.0138445	0.0310704	0.0705782	0.152202	0.198462	0.130317	0.0765616	0.0712063	0.101648	0.132704
a35	0.0165565	0.0125168	0.0109261	0.0184304	0.0495226	0.129558	0.177872	0.127752	0.0893636	0.0892173	0.117949	0.160335
a37	0.0181367	0.0137418	0.0125189	0.0215394	0.0575247	0.153391	0.21116	0.154343	0.0808407	0.0743691	0.0876449	0.11479
a70	0.0141111	0.00969248	0.00801935	0.0129842	0.0339118	0.101891	0.170541	0.170407	0.114482	0.110827	0.110773	0.142361
a99	0.0118797	0.00797253	0.00620124	0.00849973	0.0188182	0.0553992	0.1176	0.155916	0.129823	0.148648	0.143671	0.195572
a66	0.0075726	0.00473504	0.00332089	0.00427341	0.00915043	0.0333019	0.0924245	0.135179	0.123194	0.153742	0.157837	0.275268
a9	0.00859569	0.0057408	0.00415802	0.00407338	0.0053912	0.0111753	0.025889	0.0504396	0.0757389	0.16754	0.185381	0.455877
a99	0.024147	0.0127071	0.00925544	0.0104879	0.011385	0.0135677	0.0236452	0.0463261	0.0843541	0.163239	0.159573	0.441313
a87	0.0178185	0.0100161	0.00842587	0.00953658	0.0104715	0.0125432	0.0194882	0.0363907	0.075399	0.148021	0.171799	0.480091
a23	0.109209	0.0635216	0.0576569	0.0466157	0.0433595	0.0513737	0.0716696	0.0682012	0.0830677	0.100172	0.0946736	0.21048
a97	0.0629335	0.0449717	0.0464713	0.0534241	0.0590439	0.0937546	0.108525	0.0865677	0.078937	0.105271	0.11575	0.14435
a87	0.0209192	0.0172986	0.0216928	0.0297768	0.0437	0.107066	0.173624	0.120637	0.0903848	0.110472	0.129065	0.135364
</S>	0.0506532	0.0484941	0.0629934	0.0601016	0.0651098	0.124483	0.179365	0.122071	0.0730718	0.0639358	0.0689485	0.0807725
