 	la	patte	de	l'	éléphant	est	grande	</S>
a66	0.337218	0.144317	0.0494268	0.0495244	0.0829626	0.137383	0.129198	0.0699696
a87	0.240738	0.0626451	0.0987203	0.158573	0.20513	0.134089	0.0708997	0.0292055
a23	0.507463	0.232804	0.112286	0.0498073	0.0358184	0.0268642	0.0211861	0.0137706
a18	0.310122	0.2765	0.141621	0.116593	0.081476	0.0315511	0.0224703	0.0196666
a9	0.461422	0.250604	0.0998624	0.0670073	0.0462394	0.027109	0.0219687	0.0257874
a24	0.37543	0.211664	0.134377	0.128859	0.0847793	0.0294372	0.0171784	0.0182738
a31	0.282024	0.226975	0.175031	0.154605	0.094612	0.03192	0.0181869	0.0166463
a18	0.177713	0.219725	0.243699	0.183729	0.110462	0.033538	0.0177535	0.0133803
a61	0.0735388	0.135792	0.211058	0.233217	0.189923	0.0821751	0.0430212	0.0312744
a21	0.0880342	0.158191	0.305013	0.20317	0.141509	0.0546909	0.0286587	0.0207337
a5	0.077287	0.0906428	0.199067	0.223126	0.206838	0.105915	0.0551369	0.0419879
a75	0.0462949	0.0374454	0.086127	0.185815	0.224939	0.192582	0.129281	0.0975151
a47	0.0196527	0.0128008	0.0346012	0.10917	0.211611	0.275035	0.202619	0.134511
a31	0.00436804	0.00263273	0.00733072	0.0400269	0.130391	0.263788	0.272719	0.278743
a47	0.00435658	0.0022214	0.00364099	0.0178693	0.0620771	0.198409	0.267019	0.444407
a62	0.00365928	0.00149484	0.00257608	0.01081	0.031233	0.136186	0.222309	0.591732
a34	0.00198578	0.000692796	0.00176012	0.00574167	0.0142489	0.0809765	0.210541	0.684053
a21	0.00162685	0.000684226	0.00223928	0.00778369	0.0242084	0.122921	0.247404	0.593133
a12	0.000939659	0.000392434	0.00137921	0.00496694	0.0162829	0.0975534	0.247073	0.631413
a18	0.000730258	0.00043562	0.00205227	0.00751676	0.0216922	0.103476	0.24702	0.617077
a25	0.00830035	0.00383932	0.0101975	0.0266493	0.0513923	0.150806	0.242643	0.506172
a87	0.0487696	0.0201404	0.0364721	0.0723086	0.104406	0.160921	0.204013	0.352969
a23	0.433572	0.142807	0.0930516	0.0768129	0.0701285	0.0613324	0.0575243	0.064772
a10	0.0893516	0.0282237	0.0199305	0.0210936	0.032655	0.0892837	0.220789	0.498673
a87	0.00495315	0.0024744	0.00394028	0.00839246	0.0223913	0.11414	0.275111	0.568597
</S>	0.00754786	0.00317128	0.00407871	0.00711413	0.0201553	0.108498	0.274094	0.575341
