 	le	chasseur	a	dépouillé	la	gazelle	</S>
a66	0.393307	0.182769	0.133835	0.129831	0.0824443	0.0476669	0.0301468
a87	0.29696	0.149872	0.126973	0.104037	0.0968182	0.107157	0.118183
a10	0.408954	0.214553	0.100956	0.0657743	0.0490978	0.0616543	0.0990112
a97	0.456325	0.258102	0.0940226	0.0450646	0.0310737	0.046264	0.0691483
a10	0.448174	0.264279	0.0906739	0.0434901	0.0337277	0.0497469	0.0699077
a53	0.474205	0.265269	0.0955796	0.0488812	0.0319948	0.0372398	0.0468307
a90	0.46098	0.310707	0.104295	0.0468163	0.0196646	0.0228361	0.0347012
a4	0.377174	0.356689	0.145778	0.0671146	0.0206517	0.0156433	0.0169494
a70	0.290424	0.356602	0.189205	0.0974051	0.0287664	0.0184051	0.0191922
a75	0.253373	0.34029	0.216646	0.121582	0.0320891	0.0173926	0.0186278
a21	0.159029	0.26873	0.268779	0.210677	0.0471843	0.023194	0.0224057
a75	0.143063	0.220828	0.276542	0.266498	0.052375	0.0220583	0.0186359
a47	0.114229	0.183187	0.245571	0.26568	0.0896752	0.057598	0.0440594
a7	0.0742676	0.128849	0.213542	0.303754	0.140115	0.0763521	0.0631198
a54	0.0947498	0.125063	0.189963	0.237971	0.149316	0.0972216	0.105716
a85	0.0640948	0.0833664	0.147812	0.212245	0.152407	0.144125	0.19595
a5	0.0252317	0.0367511	0.0840714	0.15944	0.214683	0.222783	0.25704
a61	0.0551662	0.0612872	0.098481	0.151541	0.231202	0.201221	0.201102
a37	0.0385421	0.0421546	0.0625085	0.099805	0.214802	0.25862	0.283567
a43	0.0235219	0.0260122	0.0335167	0.0531341	0.142773	0.262492	0.45855
a21	0.0180506	0.0204527	0.0259783	0.0428264	0.108575	0.239526	0.544591
a12	0.00718105	0.00828187	0.013311	0.0293027	0.0962266	0.261556	0.584141
a43	0.00533378	0.00643844	0.00984715	0.0221733	0.0742731	0.231859	0.650075
a47	0.00151	0.00183104	0.00301682	0.00671374	0.0321484	0.166761	0.788019
a88	0.00273169	0.0032864	0.00521682	0.011054	0.0438393	0.183523	0.750348
a38	0.00108551	0.00114625	0.00226161	0.0057656	0.0280175	0.181858	0.779866
a93	0.00616091	0.00493429	0.00838715	0.0161678	0.0610489	0.250235	0.653066
a70	0.00128837	0.00128189	0.00244195	0.00490922	0.0279392	0.190672	0.771468
a93	0.00146407	0.00142485	0.00289354	0.00621208	0.0328922	0.198599	0.756514
a13	0.00077471	0.000749727	0.00147187	0.00335189	0.0219198	0.15921	0.812522
a18	0.00473772	0.00500292	0.0087523	0.0181502	0.0638325	0.231904	0.667621
a9	0.0284123	0.025641	0.0315559	0.0489954	0.109169	0.239732	0.516495
a3	0.111495	0.0667131	0.0556298	0.0596506	0.104237	0.200204	0.402069
a38	0.140959	0.0780569	0.0580299	0.0503835	0.0789959	0.183685	0.40989
a97	0.0369935	0.0215821	0.0222428	0.0211011	0.0463657	0.211465	0.64025
</S>	0.0363124	0.0194795	0.0181464	0.0180801	0.0521897	0.240773	0.615019
