 	la	tempête	a	fait	couler	notre	pirogue	à	pic	</S>
a15	0.154949	0.140559	0.13157	0.109991	0.0973912	0.111021	0.100865	0.0803661	0.0457921	0.0274948
a82	0.0539965	0.10873	0.119424	0.127757	0.129336	0.181924	0.14523	0.0852342	0.0312851	0.0170839
a3	0.140626	0.154055	0.111972	0.0986894	0.0971174	0.106403	0.113783	0.0899463	0.0571888	0.0302181
a82	0.177639	0.162988	0.117247	0.103563	0.107907	0.110629	0.0856661	0.0649007	0.0462908	0.0231691
a10	0.140202	0.134323	0.112205	0.114617	0.134606	0.13908	0.0996667	0.0659899	0.0384024	0.0209072
a87	0.143499	0.145253	0.122747	0.127438	0.139665	0.132526	0.0886927	0.0526341	0.0285918	0.0189525
a23	0.10979	0.146121	0.12663	0.142044	0.152313	0.132644	0.0900911	0.0553813	0.0292446	0.0157401
a62	0.147134	0.128763	0.114414	0.129641	0.13828	0.124983	0.0840639	0.0573796	0.0442238	0.0311181
a88	0.365621	0.173123	0.125741	0.109314	0.0929528	0.0516835	0.027499	0.0179568	0.0172912	0.0188171
a43	0.355624	0.150322	0.128398	0.111919	0.0882443	0.0547192	0.0329962	0.0236354	0.0263023	0.0278396
a56	0.274597	0.140379	0.133914	0.120029	0.100747	0.0671666	0.0421807	0.0322358	0.042698	0.0460522
a75	0.265274	0.156393	0.158059	0.128003	0.112099	0.0633783	0.0346404	0.0244177	0.0292862	0.0284495
a85	0.242835	0.160209	0.159166	0.134589	0.129363	0.0715509	0.0354928	0.0207074	0.0231541	0.0229329
a92	0.227204	0.171013	0.141246	0.118307	0.120525	0.0771328	0.0427746	0.0265606	0.0323877	0.0428497
a56	0.170959	0.145821	0.132947	0.111862	0.121402	0.100141	0.0672802	0.045998	0.0512716	0.0523173
a62	0.140237	0.172547	0.151133	0.111996	0.0857382	0.0811467	0.0668547	0.0517568	0.0613458	0.0772439
a75	0.10742	0.156304	0.122427	0.0839301	0.0560729	0.0562839	0.0629466	0.0674608	0.130622	0.156533
a85	0.0669978	0.1132	0.0839862	0.0643511	0.0433584	0.062257	0.0968305	0.0886998	0.135774	0.244545
a6	0.0564132	0.099549	0.0722651	0.053671	0.0286808	0.0436861	0.0799955	0.106399	0.181544	0.277797
a37	0.0305178	0.0509588	0.0356326	0.0258892	0.013842	0.0201859	0.0404138	0.0697246	0.229084	0.483751
a43	0.0129959	0.0205657	0.0139572	0.0102928	0.0057366	0.00810827	0.0185864	0.0417996	0.235706	0.632252
a0	0.00476951	0.00803712	0.00609872	0.00525526	0.00358314	0.0069017	0.0147833	0.0319121	0.207343	0.711316
a24	0.00266137	0.00415142	0.00408277	0.00409332	0.00291552	0.00660188	0.0140638	0.0351772	0.225503	0.70075
a9	0.00269768	0.00341898	0.00365975	0.00351555	0.00233907	0.00716895	0.0195739	0.0572704	0.268299	0.632057
a10	0.0748523	0.0702719	0.0567185	0.0450698	0.0303629	0.0442723	0.0581246	0.0730262	0.166201	0.381101
a9	0.137319	0.110322	0.0714308	0.0559598	0.0456704	0.060904	0.0812958	0.0793418	0.105821	0.251935
a10	0.114944	0.105501	0.0749685	0.0598408	0.04425	0.0561079	0.0829384	0.0978238	0.144168	0.219457
a87	0.0735817	0.0687881	0.0519124	0.0423429	0.0285799	0.0427298	0.0742701	0.112637	0.254738	0.25042
a23	0.0599909	0.0631946	0.0495298	0.0449964	0.033175	0.0500812	0.0822251	0.120817	0.259812	0.236178
a87	0.020058	0.0296896	0.0228899	0.0220161	0.0193502	0.0281897	0.0638552	0.106351	0.295269	0.392331
</S>	0.013596	0.0201547	0.0174417	0.0197439	0.0182512	0.0292413	0.0622997	0.118368	0.296531	0.404372
