 	le	soleil	paraît	le	jour	et	la	lune	la	nuit	</S>
a85	0.230478	0.11855	0.108412	0.134293	0.129772	0.102571	0.0721129	0.0364162	0.0254911	0.0213555	0.0205478
a66	0.277773	0.165257	0.0983794	0.0884562	0.0740653	0.0657469	0.0555017	0.050043	0.0479601	0.0414615	0.0353561
a87	0.185808	0.169161	0.0987781	0.0816185	0.0590691	0.0524593	0.0426823	0.0473047	0.0584609	0.0814028	0.123255
a97	0.228349	0.181623	0.10212	0.0808266	0.0631153	0.0571967	0.0510393	0.0480429	0.0573232	0.0604179	0.0699459
a83	0.214211	0.168224	0.0805541	0.0656679	0.0555635	0.0592632	0.0600151	0.0644577	0.080888	0.0759212	0.0752342
a50	0.228306	0.16899	0.0903457	0.0651629	0.06254	0.053456	0.0625352	0.075837	0.0680358	0.0605278	0.064264
a83	0.260009	0.268906	0.156466	0.0849227	0.0513296	0.0375952	0.0334936	0.0313998	0.0263453	0.0247185	0.0248136
a71	0.245309	0.297469	0.164473	0.0789621	0.045067	0.0328763	0.0286226	0.0261189	0.024177	0.0260419	0.0308823
a75	0.190631	0.233937	0.157862	0.0928975	0.0643409	0.04808	0.0404703	0.0347869	0.0346318	0.0421915	0.0601705
a41	0.134221	0.206993	0.172533	0.128805	0.0773484	0.0548846	0.0467761	0.0411536	0.0393662	0.0431815	0.054737
a92	0.126779	0.188946	0.159702	0.121039	0.0786607	0.0623141	0.0557671	0.0486975	0.0463841	0.0484286	0.0632815
a75	0.144759	0.178352	0.152964	0.118036	0.0849138	0.0740917	0.0629371	0.0459626	0.0404382	0.0431543	0.0543912
a5	0.106232	0.123729	0.149591	0.139407	0.108198	0.0977866	0.0837316	0.0564655	0.0465444	0.0428431	0.0454725
a12	0.0788232	0.0960002	0.183668	0.185604	0.126729	0.0970862	0.0684296	0.044229	0.0386643	0.0379103	0.0428561
a18	0.0491899	0.0546676	0.136642	0.18305	0.145078	0.118938	0.0824871	0.0570442	0.0539785	0.0555855	0.0633391
a75	0.020435	0.0245335	0.070962	0.148076	0.163072	0.131816	0.0967995	0.0782999	0.0757706	0.0854814	0.104754
a85	0.0149013	0.0137258	0.0353171	0.0877446	0.120759	0.141804	0.133288	0.11296	0.106277	0.107754	0.125469
a92	0.00918149	0.00852654	0.0226738	0.0631612	0.0936158	0.122195	0.125566	0.128653	0.128565	0.136731	0.161131
a98	0.00688352	0.0068772	0.020068	0.0614328	0.10745	0.139668	0.14357	0.134102	0.12047	0.12041	0.139069
a85	0.00657805	0.00625616	0.0166597	0.0524994	0.0995972	0.131488	0.138992	0.150131	0.133702	0.127891	0.136206
a47	0.00698863	0.00623195	0.0136131	0.0362981	0.0732327	0.100183	0.116492	0.15327	0.146813	0.156347	0.190532
a37	0.00711791	0.00663194	0.0120252	0.0286498	0.0590595	0.0823421	0.0950187	0.129786	0.143801	0.169439	0.266128
a56	0.00471478	0.00402674	0.00781575	0.0198408	0.0575431	0.0785642	0.087459	0.113893	0.124402	0.178968	0.322773
a0	0.00258957	0.00205675	0.00540424	0.0163208	0.0505292	0.0799727	0.0954841	0.131714	0.154931	0.196751	0.264248
a24	0.00248978	0.00185306	0.00307718	0.00690025	0.0184436	0.0304713	0.042834	0.0821769	0.128186	0.236229	0.447338
a83	0.0076865	0.00484831	0.00588189	0.0099299	0.0208193	0.0314587	0.0428415	0.0782224	0.137893	0.250861	0.409558
a9	0.00343467	0.00242801	0.00323594	0.00615643	0.0144756	0.0240264	0.0363192	0.0805589	0.141812	0.259957	0.427597
a99	0.0345639	0.0200976	0.0202193	0.0263113	0.0391711	0.0477235	0.0575948	0.0809867	0.123027	0.206473	0.343831
a97	0.0460149	0.0255201	0.0208375	0.0268079	0.0361463	0.0494119	0.0624951	0.0921952	0.156722	0.222432	0.261417
a83	0.0689157	0.0371323	0.0247221	0.029206	0.0447914	0.0679416	0.0821055	0.107728	0.164753	0.187554	0.185151
a38	0.028256	0.0161074	0.00875858	0.0098759	0.0197903	0.0378563	0.0551475	0.090274	0.156205	0.2432	0.33453
a75	0.00715083	0.00480998	0.00431911	0.00698647	0.0185214	0.0343986	0.0521643	0.0910137	0.148081	0.248859	0.383695
a6	0.000491579	0.000487555	0.00120166	0.00377173	0.0141755	0.0313494	0.0548981	0.102113	0.162583	0.261545	0.367384
a0	0.000178795	0.000202905	0.000600355	0.00215046	0.00897431	0.0197572	0.0383792	0.0854683	0.142179	0.263443	0.438666
a47	0.000434876	0.000386296	0.000840517	0.00217722	0.0083534	0.0180433	0.0317682	0.0661859	0.116209	0.250628	0.504973
a96	0.000542857	0.00054059	0.00106326	0.00256043	0.00906094	0.0195813	0.0356514	0.0836137	0.139886	0.255514	0.451986
a21	0.000780329	0.000644505	0.00115962	0.00259071	0.00872681	0.0180726	0.0308828	0.0697635	0.124386	0.255924	0.487069
a75	0.000445764	0.000426412	0.00106393	0.00295478	0.00940819	0.0206133	0.0361973	0.0867793	0.158039	0.268722	0.41535
a85	0.000253143	0.000271991	0.000573694	0.00150632	0.00516069	0.011856	0.0236707	0.0624628	0.135126	0.273062	0.486057
a6	0.00023852	0.000258351	0.000530277	0.00157651	0.00631532	0.0148062	0.0284568	0.0711114	0.13258	0.258042	0.486085
a36	0.000676958	0.00075583	0.00128434	0.00262567	0.00879712	0.0180913	0.0306363	0.0640633	0.121326	0.250482	0.501261
a54	0.00176919	0.00189958	0.00241415	0.00330188	0.00604147	0.00954106	0.0166093	0.0412771	0.0930518	0.242766	0.581329
a47	0.00225829	0.00253705	0.00281729	0.00412054	0.00786727	0.0128896	0.0199232	0.0448337	0.0960037	0.249928	0.556821
a7	0.000592657	0.000721154	0.00117465	0.00229385	0.00519849	0.0106612	0.0167201	0.0418102	0.0964387	0.258067	0.566322
a4	0.00875299	0.00759044	0.00887706	0.0103964	0.0165492	0.0242703	0.0360252	0.0672259	0.131471	0.260716	0.428126
a13	0.012198	0.0117202	0.0122	0.0137461	0.0169509	0.0237161	0.0328304	0.0625293	0.121292	0.242	0.450817
a9	0.0363622	0.031003	0.0325081	0.033782	0.0377369	0.041208	0.0460521	0.066889	0.1144	0.212894	0.347164
a97	0.0712142	0.0439342	0.0320945	0.0294839	0.0305525	0.0385748	0.0466546	0.0729935	0.132625	0.209736	0.292136
a99	0.0834943	0.0429908	0.0241717	0.022179	0.0252389	0.0381265	0.0502482	0.0778594	0.149223	0.215197	0.271271
a97	0.0496873	0.0315483	0.0102037	0.00952476	0.0127078	0.0244469	0.0331299	0.0631392	0.129194	0.233626	0.402792
a99	0.0281056	0.0180374	0.00892766	0.0112355	0.0185632	0.0311773	0.0389067	0.0692716	0.127663	0.230708	0.417404
a97	0.0246079	0.0206617	0.0093533	0.0103998	0.016988	0.0288699	0.0369818	0.0660046	0.11364	0.217705	0.454788
</S>	0.029935	0.0227504	0.01338	0.0176022	0.0216255	0.0320345	0.0391948	0.0675411	0.11944	0.21506	0.421437
