 	je	lui	ai	appris	à	lire	et	à	écrire	en	mbochi	</S>
a66	0.130336	0.0908097	0.0836011	0.0869659	0.119535	0.135145	0.108839	0.0993461	0.085268	0.0325645	0.0156899	0.0119003
a87	0.0944285	0.0788066	0.0811433	0.0867232	0.0850404	0.0872969	0.0984999	0.12047	0.108727	0.0619421	0.0538491	0.0430729
a57	0.321325	0.175418	0.0913074	0.0516808	0.0388066	0.0411937	0.0396206	0.0416822	0.0489728	0.0424198	0.0538106	0.0537624
a97	0.337983	0.218103	0.110663	0.0749632	0.0532291	0.0453687	0.0274457	0.0218588	0.0219056	0.021958	0.0332577	0.0332641
a83	0.294796	0.189747	0.113105	0.0814152	0.0575522	0.0493447	0.0377958	0.0330544	0.0307832	0.0274704	0.0400098	0.0449269
a11	0.280375	0.193017	0.118411	0.0532607	0.0532857	0.0614627	0.0301624	0.0287587	0.0342256	0.0389469	0.0504812	0.0576137
a31	0.279914	0.268578	0.181687	0.0820833	0.0574123	0.0492157	0.0194284	0.0139609	0.0129376	0.00955098	0.00987202	0.0153606
a24	0.23185	0.275277	0.206043	0.090619	0.056856	0.0533455	0.020431	0.0157776	0.0171833	0.0112518	0.00888348	0.0124827
a61	0.193449	0.225205	0.194914	0.110867	0.0793734	0.0762933	0.036839	0.0274945	0.0236	0.0119099	0.00825709	0.0117971
a21	0.179952	0.200287	0.177717	0.121159	0.0939815	0.0896289	0.0440629	0.0305809	0.0272765	0.0134348	0.00902005	0.0128994
a47	0.17261	0.185714	0.173914	0.119061	0.10486	0.103592	0.0464047	0.0309256	0.0280543	0.0136585	0.00946803	0.0117382
a31	0.0704913	0.0831429	0.101776	0.122871	0.156394	0.177719	0.111556	0.0728247	0.0481978	0.0229687	0.0147367	0.0173225
a24	0.0903131	0.099267	0.113328	0.120432	0.141136	0.143501	0.109769	0.0762863	0.0493295	0.0225638	0.0156425	0.0184315
a62	0.0293977	0.0345744	0.0496059	0.0883485	0.138222	0.169112	0.171192	0.139396	0.0954225	0.0373185	0.0220962	0.0253147
a24	0.0227702	0.0262081	0.0384095	0.0778259	0.13105	0.164303	0.180268	0.152675	0.105178	0.045931	0.026598	0.0287836
a47	0.0129036	0.0149677	0.0222044	0.0538257	0.0995716	0.139141	0.165805	0.154142	0.131309	0.0818093	0.0576445	0.0666764
a88	0.023392	0.026786	0.0382124	0.0748409	0.133473	0.16898	0.181607	0.158219	0.102253	0.039221	0.023103	0.0299127
a43	0.0119343	0.0134431	0.0188966	0.043458	0.0912088	0.131523	0.178367	0.176175	0.149588	0.0817621	0.0484421	0.0552019
a21	0.0119347	0.0137956	0.0195666	0.0415531	0.0893836	0.129126	0.179026	0.17873	0.150616	0.0847599	0.0484443	0.053064
a5	0.0321257	0.034857	0.0391645	0.0608751	0.0887818	0.0955364	0.148759	0.156971	0.17465	0.0894408	0.0426561	0.0361828
a37	0.0126184	0.0146581	0.0191195	0.0366417	0.0642321	0.0799882	0.1519	0.184569	0.199197	0.103332	0.0594385	0.0743059
a21	0.0078104	0.00884124	0.0114828	0.0241696	0.0466575	0.0627788	0.127399	0.182691	0.205967	0.132739	0.0839588	0.105506
a5	0.0237786	0.024954	0.0266833	0.0431858	0.0559593	0.0530471	0.12064	0.158755	0.207933	0.12373	0.0762582	0.085076
a61	0.0128725	0.0148164	0.0185125	0.0377155	0.0572447	0.0550952	0.111465	0.14596	0.18693	0.126719	0.0958968	0.136772
a75	0.00657918	0.00727641	0.0087723	0.0196581	0.0342598	0.040645	0.0884603	0.12941	0.201522	0.17512	0.131239	0.157059
a85	0.00786544	0.0084942	0.0106211	0.0244917	0.0367196	0.0353403	0.0975807	0.125691	0.166096	0.138382	0.1303	0.218419
a41	0.00851844	0.00879948	0.010533	0.0191838	0.0266829	0.0252504	0.0895659	0.126696	0.166921	0.151861	0.150404	0.215585
a37	0.0059806	0.00623828	0.00729606	0.0174079	0.0236424	0.02344	0.068992	0.100378	0.146138	0.159133	0.163219	0.278135
a26	0.0039752	0.0040768	0.004795	0.013145	0.0178005	0.0167108	0.0439643	0.0646718	0.0831548	0.128568	0.19812	0.421018
a85	0.00277967	0.00249172	0.00256203	0.00470988	0.0069807	0.00872294	0.0231293	0.0415034	0.0710171	0.152184	0.268962	0.414957
a6	0.00291272	0.00280957	0.00337635	0.00914915	0.0115576	0.0104146	0.025004	0.0347939	0.0522015	0.110867	0.225774	0.51114
a37	0.00240366	0.00236556	0.00277888	0.007145	0.00929427	0.00820796	0.0255669	0.0377317	0.0560594	0.115513	0.227664	0.50527
a85	0.00118004	0.00112568	0.00121216	0.00275099	0.00389772	0.004123	0.0119089	0.0192262	0.0290202	0.0774852	0.232427	0.615643
a5	0.00259682	0.00261805	0.00318966	0.0066133	0.00736722	0.00596009	0.0192443	0.0295821	0.0473412	0.113792	0.261099	0.500596
a37	0.00122163	0.00113436	0.00117704	0.00235629	0.00343713	0.0037248	0.0138162	0.0219015	0.0378954	0.0862511	0.23273	0.594355
a96	0.000729034	0.000693216	0.000758942	0.00168664	0.00271353	0.00321226	0.0115709	0.0180074	0.030568	0.0707744	0.212824	0.646462
a90	0.000490636	0.000459142	0.000502767	0.000919922	0.00165228	0.00249393	0.00884418	0.0150712	0.0312283	0.0786606	0.228143	0.631534
a44	0.000223773	0.000214059	0.000244161	0.000491748	0.000941174	0.00151675	0.00612142	0.011114	0.0252914	0.0703536	0.21459	0.668897
a43	0.000189749	0.000176781	0.000204101	0.000421933	0.000744831	0.00121765	0.00452065	0.00886173	0.0195475	0.0690851	0.247277	0.647753
a32	0.000186679	0.000178137	0.000209307	0.000421528	0.000719775	0.00111453	0.00434033	0.00834365	0.016691	0.0550569	0.213963	0.698775
a38	0.000533498	0.000491945	0.000567243	0.000892681	0.00123388	0.00164032	0.00576913	0.0102982	0.0196954	0.0730447	0.255804	0.630029
a57	0.00317761	0.00265493	0.00272189	0.00263846	0.00313982	0.00422309	0.0119694	0.0184572	0.0298315	0.0813463	0.253243	0.586597
a3	0.0271033	0.0189798	0.0161253	0.0143328	0.0128162	0.011359	0.0237868	0.0296992	0.0422291	0.0988825	0.248415	0.456271
a97	0.0760327	0.0420297	0.0268974	0.0226125	0.0179891	0.0140836	0.0226415	0.0306112	0.0523915	0.104476	0.254475	0.33576
a3	0.0894427	0.0550089	0.0363025	0.0306359	0.0242381	0.0191661	0.0264823	0.0389219	0.0661032	0.104307	0.230325	0.279066
a97	0.109487	0.0644472	0.0397669	0.0282083	0.0242162	0.0245315	0.0438026	0.0624541	0.0883259	0.0908547	0.185583	0.238322
</S>	0.1264	0.0686346	0.0413108	0.026264	0.022011	0.024729	0.0453879	0.0610328	0.0799379	0.079585	0.176182	0.248525
