 	je	ne	peux	pas	te	montrer	l'	endroit	où	je	garde	mon	argent	</S>
a15	0.117384	0.103223	0.0802225	0.111343	0.114275	0.0983455	0.110802	0.102201	0.0594732	0.0399545	0.0225173	0.0157939	0.013168	0.0112972
a66	0.327207	0.209955	0.0739606	0.037249	0.0400957	0.0213098	0.0325147	0.0651397	0.043654	0.0355751	0.0247892	0.0300836	0.0304122	0.0280541
a87	0.39207	0.173688	0.0676792	0.0482978	0.0442102	0.0518346	0.0442338	0.0559452	0.0296412	0.0228757	0.0129922	0.0140523	0.0185986	0.0238815
a23	0.348887	0.237067	0.0882731	0.0529311	0.0395817	0.0573042	0.0394832	0.0469585	0.025777	0.0210952	0.0119692	0.00995811	0.00968294	0.0110314
a83	0.383142	0.1977	0.0695014	0.0333203	0.024181	0.0658903	0.0466003	0.0637322	0.0304522	0.0216886	0.0159716	0.0162694	0.0156761	0.0158741
a96	0.220303	0.131916	0.10415	0.070435	0.091879	0.141007	0.0727502	0.0723729	0.0303294	0.0149978	0.0104226	0.0117952	0.0133085	0.0143335
a56	0.183769	0.131647	0.115387	0.0748815	0.0853293	0.159875	0.0871406	0.103342	0.0318146	0.0111462	0.00571548	0.00433795	0.00292339	0.00268973
a44	0.152526	0.102838	0.0891709	0.0741624	0.0876628	0.138916	0.103495	0.139163	0.0573308	0.0268062	0.0122953	0.00754175	0.00435745	0.00373323
a56	0.103514	0.0637379	0.0778925	0.0728987	0.0881692	0.139259	0.121349	0.139257	0.0797388	0.0487367	0.0270429	0.0175744	0.0110894	0.00974056
a47	0.0627862	0.0513642	0.0718634	0.0752212	0.0900583	0.0982237	0.130054	0.152517	0.107667	0.0726495	0.0370445	0.0227583	0.015279	0.0125134
a62	0.0741052	0.0654356	0.0908441	0.0897009	0.0986995	0.115337	0.117378	0.130971	0.0770865	0.056573	0.033452	0.0217447	0.0151932	0.0134786
a31	0.0467586	0.0482392	0.0819529	0.107605	0.123343	0.109123	0.135031	0.14251	0.081636	0.0501712	0.0251184	0.0182087	0.0153868	0.0149154
a0	0.0304787	0.0330246	0.066003	0.107148	0.127103	0.081904	0.126052	0.143832	0.104305	0.0686451	0.0361583	0.0273234	0.0245376	0.0234848
a75	0.0257931	0.0219066	0.0336875	0.0696935	0.0731262	0.0496649	0.1037	0.126383	0.141713	0.137091	0.0784627	0.0536488	0.0434951	0.0416351
a92	0.0054564	0.00532941	0.00922885	0.0221975	0.0218669	0.0102615	0.0324628	0.0471685	0.0985106	0.136032	0.150546	0.156008	0.155815	0.149116
a85	0.00707289	0.00702361	0.0117823	0.0292896	0.0298252	0.012007	0.0304558	0.0388521	0.0786146	0.117098	0.150452	0.157925	0.165547	0.164054
a98	0.00297831	0.00303106	0.00527005	0.0131135	0.0151384	0.00582319	0.0159011	0.0205724	0.0649456	0.104137	0.143871	0.167006	0.206069	0.232144
a92	0.00214492	0.00226993	0.00416174	0.0143465	0.0195997	0.00482073	0.0178739	0.0221809	0.0713608	0.104596	0.163995	0.179465	0.197553	0.195632
a37	0.00180062	0.00161396	0.00243314	0.00802182	0.0104928	0.00320453	0.00830165	0.0100391	0.0403784	0.0730639	0.167432	0.224973	0.242128	0.206117
a90	0.00172325	0.00122155	0.00162783	0.00363385	0.00471824	0.0021927	0.00382622	0.00399797	0.0152681	0.0378782	0.122709	0.219601	0.289016	0.292586
a79	0.000688549	0.00046541	0.000597505	0.00114349	0.00140198	0.000793364	0.00117286	0.00134043	0.0072019	0.0270222	0.109323	0.215356	0.300346	0.333147
a90	0.000186123	0.000124207	0.000169686	0.000424082	0.000698255	0.0003375	0.000705297	0.000868216	0.00467478	0.0163495	0.0761041	0.19194	0.312486	0.394932
a79	0.000261722	0.000197758	0.00025125	0.000501521	0.000668782	0.000355125	0.000690052	0.000932647	0.00478817	0.0174231	0.0759106	0.179985	0.304417	0.413617
a44	0.000135577	8.59063e-05	0.000109048	0.000245181	0.000374231	0.000166047	0.000350507	0.00044039	0.00213285	0.00836768	0.047863	0.149144	0.307117	0.483468
a26	0.000152461	7.12715e-05	9.52651e-05	0.00017873	0.000250666	7.86687e-05	0.000132524	0.000164457	0.000979007	0.00505889	0.0342594	0.132562	0.326884	0.499132
a7	0.00736499	0.00229718	0.00294267	0.00538147	0.00791187	0.00158659	0.00371091	0.00427882	0.010171	0.0138093	0.0395552	0.125123	0.300525	0.475343
a2	0.00487374	0.00164141	0.00164953	0.00224562	0.0035209	0.00111894	0.00182826	0.00264353	0.00634317	0.00992802	0.0272587	0.0880169	0.279335	0.569596
a57	0.0593085	0.0220501	0.0139262	0.0173976	0.0308506	0.011868	0.021903	0.0263678	0.0313432	0.0309136	0.0592324	0.116465	0.222592	0.335782
a87	0.132641	0.0590815	0.0333963	0.0336886	0.0508935	0.0251082	0.0336767	0.0408001	0.0286475	0.027326	0.0482013	0.0972725	0.177713	0.211554
a23	0.130376	0.0641559	0.0568833	0.0479764	0.0646502	0.0293458	0.0352304	0.0436295	0.034117	0.0327815	0.060626	0.110793	0.14517	0.144265
a99	0.016008	0.00620163	0.00402624	0.00303798	0.00453413	0.00234813	0.00313191	0.00478644	0.00854854	0.0211363	0.0903694	0.22275	0.267331	0.34579
a97	0.0185897	0.0070866	0.00515609	0.00641255	0.00778805	0.00387372	0.0113736	0.0163914	0.0328329	0.0541069	0.108476	0.16477	0.217529	0.345613
</S>	0.00339209	0.00130991	0.000953975	0.00147421	0.00204568	0.00135074	0.00360633	0.00615941	0.0139598	0.0283089	0.0670403	0.14182	0.246684	0.481894
