 	ma	femme	est	enceinte	</S>
a66	0.370004	0.237739	0.177328	0.120934	0.0939948
a87	0.246587	0.183637	0.175148	0.170109	0.224518
a23	0.501721	0.198947	0.108073	0.0808967	0.110362
a54	0.460701	0.231302	0.12435	0.08375	0.0998973
a98	0.46059	0.227042	0.121907	0.0890978	0.101362
a15	0.45858	0.274065	0.13182	0.0638392	0.0716954
a79	0.251716	0.246151	0.204577	0.143429	0.154126
a25	0.309638	0.249246	0.196902	0.11862	0.125594
a98	0.296246	0.239149	0.197881	0.12668	0.140044
a73	0.187557	0.219019	0.221537	0.174738	0.197149
a75	0.153021	0.186573	0.207789	0.201543	0.251074
a92	0.109431	0.148265	0.207743	0.246639	0.287923
a37	0.100646	0.13773	0.19978	0.250899	0.310945
a44	0.0922898	0.136425	0.200572	0.255564	0.31515
a90	0.0586541	0.0962286	0.16691	0.287138	0.391069
a98	0.0302664	0.0537677	0.107861	0.283706	0.524398
a79	0.022679	0.0390898	0.0860543	0.303796	0.548381
a21	0.0174326	0.030129	0.0696053	0.297634	0.585199
a12	0.0185353	0.0273245	0.0610129	0.266097	0.62703
a96	0.014087	0.0202309	0.0412441	0.205201	0.719238
a66	0.00777396	0.0122046	0.028014	0.179954	0.772054
a71	0.038694	0.048084	0.0739076	0.219615	0.6197
a3	0.11115	0.112719	0.128571	0.235341	0.41222
a97	0.271547	0.179445	0.14343	0.169969	0.23561
a87	0.290415	0.17826	0.131058	0.153803	0.246465
a23	0.234843	0.148527	0.128742	0.172325	0.315563
a38	0.103625	0.0861928	0.104735	0.217919	0.487529
a37	0.109406	0.104444	0.139184	0.229061	0.417905
</S>	0.110208	0.108604	0.138735	0.221035	0.421418
