 	la	mante	religieuse	a	un	gros	ventre	</S>
a87	0.178971	0.128596	0.138373	0.129114	0.150743	0.136296	0.0845829	0.0533238
a99	0.174866	0.116612	0.109345	0.126729	0.125602	0.132996	0.112872	0.100978
a11	0.221536	0.170237	0.13807	0.127486	0.0978794	0.081768	0.076253	0.086771
a75	0.260135	0.217421	0.191367	0.14402	0.0888995	0.0517501	0.0258857	0.0205208
a12	0.319228	0.277618	0.189886	0.116268	0.0511645	0.0267204	0.0120804	0.00703358
a43	0.301273	0.312361	0.190819	0.115158	0.0452022	0.0214247	0.00860052	0.00516173
a75	0.212303	0.286746	0.19213	0.15617	0.0771013	0.0427454	0.0201818	0.012623
a92	0.236581	0.251316	0.181999	0.140637	0.0796439	0.0554858	0.0323032	0.0220349
a66	0.158651	0.173271	0.178448	0.166893	0.119861	0.0974949	0.0621291	0.0432521
a61	0.0914813	0.0849974	0.106865	0.12406	0.139303	0.147005	0.155701	0.150587
a31	0.0919529	0.0833166	0.103606	0.115705	0.134582	0.146399	0.163947	0.160492
a32	0.0570769	0.0526651	0.0692867	0.0846964	0.129032	0.17009	0.225931	0.211221
a11	0.0310895	0.0235382	0.0350307	0.0424685	0.0906877	0.161364	0.279684	0.336137
a96	0.0262342	0.0200734	0.0313309	0.0369596	0.0797355	0.147877	0.281426	0.376363
a62	0.0143846	0.0124277	0.0200738	0.0253304	0.0556368	0.124537	0.292531	0.455078
a21	0.00929831	0.00929429	0.0135169	0.017854	0.0377424	0.0989714	0.290946	0.522376
a18	0.0106616	0.0102735	0.015672	0.0197118	0.038663	0.0960041	0.258051	0.550963
a25	0.00591341	0.00445991	0.00713377	0.0102698	0.027788	0.0788908	0.256178	0.609366
a87	0.0184004	0.0143643	0.0190059	0.022652	0.0446865	0.0872266	0.226766	0.566899
a23	0.183466	0.102185	0.0881819	0.0824368	0.0916625	0.108814	0.144691	0.198563
a87	0.112381	0.0647916	0.0533228	0.0469178	0.0623342	0.109444	0.2331	0.317708
a23	0.0509801	0.0321232	0.0332144	0.0309324	0.0534953	0.111853	0.253749	0.433653
a87	0.0672873	0.039775	0.0381518	0.0333943	0.056132	0.110533	0.250939	0.403788
</S>	0.0627572	0.039052	0.0384361	0.0321315	0.0547345	0.107042	0.247454	0.418393
