 	celui	qui	a	perdu	la	raison	dit	de	n'	importe	quoi	</S>
a66	0.148856	0.110007	0.0897636	0.0945807	0.138068	0.119161	0.116273	0.106055	0.0435993	0.0153502	0.0100704	0.00821492
a87	0.300227	0.172789	0.0979049	0.0848322	0.0719904	0.0267626	0.0384471	0.0635467	0.0536349	0.0373407	0.0296066	0.0229174
a23	0.315016	0.192296	0.126191	0.109276	0.0905385	0.0518403	0.0259271	0.0214364	0.0172165	0.0146454	0.0145021	0.0211159
a87	0.187439	0.162959	0.138198	0.124896	0.100876	0.0869719	0.0448702	0.0298417	0.0271159	0.0224589	0.0253075	0.0490659
a10	0.171664	0.154698	0.147666	0.149322	0.125226	0.0905999	0.0445563	0.0331177	0.0264077	0.0182034	0.0166147	0.0219253
a87	0.152747	0.142867	0.146535	0.142714	0.115841	0.0967376	0.0517948	0.0425034	0.0358747	0.0251048	0.0224955	0.0247852
a99	0.164363	0.149121	0.142703	0.133758	0.100775	0.0827995	0.0521969	0.0482512	0.0445642	0.0300291	0.0257984	0.0256412
a83	0.18369	0.175606	0.16553	0.139156	0.0903805	0.0574488	0.0314286	0.0421783	0.0451101	0.0297977	0.0225031	0.0171705
a93	0.166179	0.1835	0.191714	0.136475	0.0744599	0.0528741	0.0287221	0.0352981	0.0450003	0.032215	0.0301969	0.0233646
a56	0.124602	0.209098	0.243682	0.152655	0.0739615	0.0701826	0.0307813	0.0211926	0.0219152	0.0182742	0.0175254	0.0161311
a21	0.120273	0.192459	0.224935	0.157403	0.0871361	0.0825951	0.0398251	0.0214328	0.0182825	0.0170406	0.018192	0.0204257
a92	0.105701	0.145795	0.191979	0.140278	0.0795852	0.0912447	0.0693917	0.0413502	0.0328916	0.0320882	0.0346618	0.0350335
a5	0.0920045	0.116762	0.157803	0.135335	0.0919575	0.107355	0.0909357	0.0575593	0.0358636	0.0352223	0.0394107	0.0397924
a36	0.0935897	0.098419	0.124807	0.129148	0.10348	0.127077	0.11582	0.0654378	0.0356411	0.0321689	0.0371908	0.037221
a56	0.0418365	0.0490878	0.0816782	0.126507	0.118855	0.145432	0.160668	0.0896956	0.0479009	0.041514	0.0469494	0.0498756
a90	0.0463608	0.0472423	0.0721711	0.1158	0.126948	0.155653	0.16802	0.0905754	0.0396024	0.0337953	0.0437389	0.060092
a98	0.0203185	0.0219914	0.0381001	0.0766924	0.110178	0.147284	0.200177	0.13303	0.0592171	0.0469516	0.0626349	0.0834257
a85	0.00762266	0.00966089	0.0210105	0.0498345	0.0708915	0.0845693	0.184258	0.205921	0.118296	0.0708388	0.0790991	0.0979988
a6	0.00656244	0.00808498	0.0163591	0.0360179	0.0543935	0.071029	0.165508	0.158098	0.103608	0.0841431	0.119555	0.176642
a0	0.00903267	0.010578	0.0180076	0.0344795	0.0638238	0.0796003	0.159144	0.144941	0.0942526	0.0763104	0.111568	0.198263
a21	0.0119674	0.010288	0.0119465	0.0176644	0.032043	0.0409144	0.102121	0.125877	0.104355	0.0964976	0.142416	0.303909
a85	0.00450361	0.00431282	0.00507418	0.00667573	0.0111316	0.0184036	0.0523637	0.0754079	0.121491	0.168394	0.231376	0.300866
a6	0.00135452	0.00175094	0.00276837	0.00446502	0.00514076	0.00550405	0.0208672	0.0390677	0.0752798	0.142096	0.269925	0.43178
a36	0.000914793	0.00104129	0.00167315	0.00257552	0.00388316	0.00521747	0.0177748	0.0370881	0.0751922	0.12486	0.226838	0.502941
a61	0.00428429	0.00378296	0.00397252	0.00473401	0.00581802	0.00535095	0.0114339	0.0187063	0.0324872	0.054864	0.125192	0.729374
a88	0.00137525	0.00110666	0.00116393	0.00136065	0.00177731	0.00232127	0.00758918	0.0191068	0.0508528	0.101757	0.196961	0.614628
a38	0.000606923	0.000411867	0.000434734	0.000540305	0.000678248	0.000827566	0.00357409	0.0105484	0.0271183	0.0515643	0.132306	0.771389
a88	0.00248059	0.00143805	0.00125906	0.00146076	0.00196025	0.00190377	0.00629631	0.0227238	0.0475764	0.0696708	0.156488	0.686742
a9	0.00271181	0.00169484	0.00146878	0.00185246	0.00243095	0.00191281	0.00651316	0.0233694	0.0523443	0.0703584	0.152661	0.682682
a99	0.0802364	0.0450667	0.0351406	0.0369787	0.0403383	0.0257197	0.0460474	0.0634881	0.0684526	0.07465	0.121836	0.362046
a87	0.0902213	0.0482258	0.0308913	0.0286589	0.0318347	0.024267	0.0410748	0.0559652	0.0699336	0.0824672	0.142926	0.353534
a23	0.209483	0.0958832	0.0529536	0.0544835	0.0594447	0.0355346	0.0387806	0.0431206	0.0543989	0.0553728	0.0904455	0.210099
a87	0.0545678	0.0286137	0.0137666	0.0118601	0.0102916	0.00641767	0.00916219	0.0171678	0.043021	0.0802727	0.164837	0.560021
</S>	0.00699884	0.00432721	0.00313948	0.00359936	0.00357049	0.00264925	0.0063507	0.0152723	0.0347569	0.0733479	0.184061	0.661927
